Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,22.58332633972168,36.25,37.375,35.625,37.375,1334400
2000-01-04,21.687774658203125,34.8125,35.96875,34.625,35.9375,1484800
2000-01-05,21.921401977539062,35.1875,35.375,34.25,34.84375,1569800
2000-01-06,22.096609115600586,35.46875,35.8125,35.0,35.3125,1708400
2000-01-07,22.52491569519043,36.15625,36.15625,35.09375,35.34375,1449400
2000-01-10,23.537275314331055,37.78125,37.96875,36.25,36.25,3457800
2000-01-11,23.654083251953125,37.96875,38.3125,37.28125,37.96875,2610000
2000-01-12,24.140792846679688,38.75,39.46875,38.0,38.0,2820000
2000-01-13,24.549640655517578,39.40625,40.34375,38.375,38.6875,3322600
2000-01-14,25.9318904876709,41.625,41.6875,40.3125,40.5,2132600
2000-01-18,24.27707290649414,38.96875,40.875,38.875,40.875,1874400
2000-01-19,24.413347244262695,39.1875,39.6875,38.8125,39.0,2348000
2000-01-20,24.19919776916504,38.84375,39.5,38.75,39.5,1469800
2000-01-21,24.91952896118164,40.0,40.0,39.0625,39.25,1648800
2000-01-24,24.91952896118164,40.0,40.71875,39.71875,40.0,3477600
2000-01-25,23.673553466796875,38.0,40.28125,37.9375,40.0,2054600
2000-01-26,22.56385612487793,36.21875,37.875,36.21875,37.875,2922200
2000-01-27,23.634614944458008,37.9375,38.78125,36.71875,36.75,2284800
2000-01-28,23.790369033813477,38.1875,38.34375,37.4375,38.0625,1270400
2000-01-31,24.958471298217773,40.0625,40.46875,38.53125,39.0,1837400
2000-02-01,25.153139114379883,40.375,40.75,39.1875,40.0625,2032200
2000-02-02,24.70538330078125,39.65625,40.6875,38.75,40.34375,1879600
2000-02-03,25.036334991455078,40.1875,41.40625,39.40625,39.90625,2607400
2000-02-04,23.4399356842041,37.625,40.25,36.3125,40.1875,4407600
2000-02-07,24.91952896118164,40.0,40.25,38.25,38.5,2595600
2000-02-08,26.301782608032227,42.21875,42.9375,40.375,40.625,3109200
2000-02-09,26.749561309814453,42.9375,43.25,41.59375,42.21875,2093200
2000-02-10,25.815078735351562,41.4375,42.875,41.1875,42.5,1584600
2000-02-11,25.542509078979492,41.0,41.28125,40.375,40.75,1046600
2000-02-14,26.632755279541016,42.75,42.84375,40.6875,41.0,1931800
2000-02-15,26.905292510986328,43.1875,43.84375,42.3125,42.75,1828000
2000-02-16,27.469877243041992,44.09375,44.6875,42.875,43.0625,1986000
2000-02-17,27.392017364501953,43.96875,44.71875,43.625,44.125,1082400
2000-02-18,27.41147232055664,44.0,44.5,43.6875,44.0,1339200
2000-02-22,26.769023895263672,42.96875,44.0,42.34375,43.875,1125000
2000-02-23,26.22391700744629,42.09375,42.75,41.0,42.75,1886200
2000-02-24,26.43805694580078,42.4375,42.71875,41.65625,42.5,1634200
2000-02-25,26.321258544921875,42.25,42.5,41.375,42.4375,972400
2000-02-28,26.73008918762207,42.90625,42.90625,42.25,42.375,1162800
2000-02-29,26.107099533081055,41.90625,43.21875,41.65625,42.90625,1580000
2000-03-01,25.523048400878906,40.96875,42.1875,40.4375,41.90625,1697600
2000-03-02,27.138925552368164,43.5625,43.71875,41.1875,41.25,1947200
2000-03-03,27.08052635192871,43.46875,44.25,43.0,43.875,2172400
2000-03-06,25.347837448120117,40.6875,42.5,37.0,42.5,6996800
2000-03-07,24.80270767211914,39.8125,41.625,39.6875,41.0625,2509400
2000-03-08,24.37441062927246,39.125,39.875,38.6875,39.8125,2753800
2000-03-09,23.537275314331055,37.78125,39.875,37.375,39.875,2170800
2000-03-10,22.739072799682617,36.5,39.0,34.75,36.0,3729800
2000-03-13,22.739072799682617,36.5,37.0,35.15625,35.875,2579200
2000-03-14,22.38863754272461,35.9375,37.0,35.0625,36.875,1799400
2000-03-15,23.16737174987793,37.1875,37.375,35.53125,35.8125,2036800
2000-03-16,24.958471298217773,40.0625,41.0,37.9375,38.375,2875400
2000-03-17,24.257612228393555,38.9375,40.03125,37.375,40.0,3874200
2000-03-20,23.94611930847168,38.4375,39.84375,37.53125,38.9375,1934400
2000-03-21,23.245254516601562,37.3125,38.25,37.25,38.25,1659600
2000-03-22,22.485984802246094,36.09375,37.4375,35.3125,37.375,3595000
2000-03-23,22.992168426513672,36.90625,37.625,36.53125,36.59375,2630800
2000-03-24,23.59567642211914,37.875,37.875,36.25,36.8125,2296200
2000-03-27,23.147911071777344,37.15625,38.4375,37.03125,38.0,1151000
2000-03-28,22.680660247802734,36.40625,37.21875,35.625,36.0,2158400
2000-03-29,23.47886848449707,37.6875,38.34375,36.0,36.0,1710600
2000-03-30,24.80270767211914,39.8125,42.25,37.125,37.6875,3232400
2000-03-31,24.530166625976562,39.375,40.40625,38.71875,39.8125,2332400
2000-04-03,24.257612228393555,38.9375,39.8125,37.65625,39.40625,1643000
2000-04-04,23.147911071777344,37.15625,40.1875,35.5625,38.9375,2779400
2000-04-05,23.537275314331055,37.78125,38.875,37.34375,37.75,1507800
2000-04-06,23.556737899780273,37.8125,38.5,37.5,37.8125,1077600
