Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,5.845275402069092,9.0,9.65625,9.0,9.65625,134000
2000-01-04,5.845275402069092,9.0,9.28125,8.875,8.875,68200
2000-01-05,5.946755886077881,9.15625,9.25,9.0,9.0,70000
2000-01-06,6.14971399307251,9.46875,9.5,9.03125,9.09375,78600
2000-01-07,6.048233509063721,9.3125,9.46875,9.25,9.4375,71800
2000-01-10,6.027935981750488,9.28125,9.34375,9.1875,9.34375,67000
2000-01-11,6.007643699645996,9.25,9.34375,9.25,9.3125,68200
2000-01-12,6.048233509063721,9.3125,9.3125,9.21875,9.25,93000
2000-01-13,6.129419803619385,9.4375,9.5,9.25,9.3125,94400
2000-01-14,6.007643699645996,9.25,9.5,9.25,9.5,118000
2000-01-18,5.885867118835449,9.0625,9.1875,8.9375,9.1875,74000
2000-01-19,5.90616512298584,9.09375,9.21875,9.0,9.0625,106000
2000-01-20,5.824975490570068,8.96875,9.3125,8.875,9.125,77400
2000-01-21,5.90616512298584,9.09375,9.1875,8.875,9.03125,111200
2000-01-24,5.804683208465576,8.9375,9.28125,8.9375,9.28125,120400
2000-01-25,5.561130046844482,8.5625,8.96875,8.5625,8.96875,67200
2000-01-26,5.764090538024902,8.875,8.875,8.5625,8.59375,91200
2000-01-27,5.865570068359375,9.03125,9.09375,8.9375,8.9375,83000
2000-01-28,5.723499774932861,8.8125,9.15625,8.75,9.03125,90800
2000-01-31,5.865570068359375,9.03125,9.1875,8.84375,8.84375,114600
2000-02-01,5.703202247619629,8.78125,9.0,8.65625,9.0,59000
2000-02-02,5.723499774932861,8.8125,8.9375,8.65625,8.71875,122200
2000-02-03,5.723499774932861,8.8125,8.875,8.6875,8.8125,61600
2000-02-04,5.642312049865723,8.6875,8.78125,8.5625,8.78125,101400
2000-02-07,5.642312049865723,8.6875,8.6875,8.5,8.5625,62200
2000-02-08,5.561130046844482,8.5625,8.84375,8.5,8.78125,70800
2000-02-09,5.479945659637451,8.4375,8.8125,8.3125,8.625,98800
2000-02-10,5.479945659637451,8.4375,8.5,8.21875,8.40625,522200
2000-02-11,5.195801258087158,8.0,8.53125,7.96875,8.4375,135000
2000-02-14,5.337871551513672,8.21875,8.25,7.90625,7.96875,56200
2000-02-15,5.479945659637451,8.4375,8.4375,8.15625,8.3125,76200
2000-02-16,5.276984214782715,8.125,8.53125,8.125,8.4375,86000
2000-02-17,5.35816764831543,8.25,8.46875,8.1875,8.21875,82400
2000-02-18,5.175502300262451,7.96875,8.28125,7.9375,8.28125,60400
2000-02-22,5.175502300262451,7.96875,8.0,7.8125,7.96875,123800
2000-02-23,5.114614963531494,7.875,8.09375,7.6875,8.03125,95600
2000-02-24,4.9928388595581055,7.6875,7.9375,7.65625,7.875,41400
2000-02-25,4.972543716430664,7.65625,7.75,7.625,7.71875,63600
2000-02-28,4.972543716430664,7.65625,7.78125,7.5,7.625,110800
2000-02-29,4.891356945037842,7.53125,8.09375,7.53125,7.65625,194800
2000-03-01,4.728987693786621,7.28125,7.53125,7.28125,7.5,123200
