Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,26.343894958496094,39.0,39.625,38.3125,39.375,659800
2000-01-04,25.752845764160156,38.125,38.9375,38.0,38.875,1160500
2000-01-05,26.512765884399414,39.25,39.5,38.1875,38.75,2717300
2000-01-06,27.441551208496094,40.625,40.75,38.9375,39.125,3123600
2000-01-07,28.87696075439453,42.75,42.75,40.5,40.5,1656500
2000-01-10,20.348962783813477,30.125,34.75,28.125,33.0,8579700
2000-01-11,19.082427978515625,28.25,29.625,27.375,29.625,6606700
2000-01-12,18.829132080078125,27.875,28.625,27.5,28.5,3032500
2000-01-13,20.517841339111328,30.375,30.375,27.9375,28.375,2635700
2000-01-14,20.222318649291992,29.9375,30.375,29.5,30.25,1803200
2000-01-18,19.420175552368164,28.75,29.375,28.6875,29.25,1500900
2000-01-19,18.44916343688965,27.3125,28.9375,27.0625,28.25,2813500
2000-01-20,17.81590461730957,26.375,27.4375,25.625,27.3125,1381500
2000-01-21,17.267065048217773,25.5625,26.75,25.0625,26.75,1159600
2000-01-24,16.380495071411133,24.25,26.1875,23.9375,25.75,1436500
2000-01-25,15.831669807434082,23.4375,24.625,22.75,24.375,2220700
2000-01-26,17.055973052978516,25.25,25.25,23.0,23.0,2251400
2000-01-27,17.858116149902344,26.4375,27.25,26.0625,26.125,2533300
2000-01-28,17.478153228759766,25.875,26.4375,24.84375,26.4375,1010200
2000-01-31,17.478153228759766,25.875,25.875,24.9375,25.875,648300
2000-02-01,17.773683547973633,26.3125,26.75,25.875,26.125,820300
2000-02-02,18.44916343688965,27.3125,27.3125,26.25,26.3125,1255700
2000-02-03,18.44916343688965,27.3125,27.625,26.4375,27.1875,1131600
2000-02-04,18.507038116455078,27.1875,27.5625,26.9375,27.1875,656000
2000-02-07,18.804838180541992,27.625,27.6875,27.0,27.0625,871300
2000-02-08,18.081581115722656,26.5625,28.4375,25.625,27.875,1039200
2000-02-09,16.635047912597656,24.4375,26.4375,24.25,26.375,833900
2000-02-10,15.954340934753418,23.4375,25.0625,23.4375,24.5,1069400
2000-02-11,16.294694900512695,23.9375,24.1875,23.6875,24.0,1159600
2000-02-14,16.592512130737305,24.375,24.9375,23.25,23.6875,1587800
2000-02-15,16.209604263305664,23.8125,24.6875,23.4375,24.375,1196500
2000-02-16,15.911782264709473,23.375,24.0,23.0625,23.9375,813400
2000-02-17,15.741605758666992,23.125,23.5,23.0,23.5,1216200
2000-02-18,15.443794250488281,22.6875,23.4375,22.6875,23.0625,1048400
2000-02-22,15.613980293273926,22.9375,23.1875,22.75,22.75,1085100
2000-02-23,15.231069564819336,22.375,23.1875,22.375,22.8125,1797600
2000-02-24,15.060888290405273,22.125,22.8125,21.8125,22.5,1126000
2000-02-25,14.550353050231934,21.375,22.125,21.375,22.125,1334800
2000-02-28,14.635442733764648,21.5,21.9375,21.375,21.625,769800
2000-02-29,14.337624549865723,21.0625,21.4375,20.6875,21.375,1226300
2000-03-01,15.699061393737793,23.0625,23.375,20.9375,21.0,1215600
