Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,37.43426513671875,71.375,72.375,71.375,72.25,420200
2000-01-04,36.942588806152344,70.4375,70.9375,68.3125,68.625,642700
2000-01-05,38.155433654785156,72.75,73.875,70.125,70.125,477700
2000-01-06,39.4993896484375,75.3125,75.4375,71.875,72.0,536100
2000-01-07,39.63052749633789,75.5625,76.625,74.625,75.3125,679900
2000-01-10,40.908935546875,78.0,78.125,75.625,75.8125,883400
2000-01-11,40.679466247558594,77.5625,78.5,76.875,77.75,724100
2000-01-12,40.318885803222656,76.875,77.3125,75.9375,77.3125,603400
2000-01-13,39.99110794067383,76.25,77.1875,74.375,76.875,374800
2000-01-14,40.12222671508789,76.5,76.625,74.25,76.5,349300
2000-01-18,39.30271911621094,74.9375,75.6875,73.25,74.6875,490200
2000-01-19,36.024757385253906,68.6875,73.25,67.125,73.0,1630200
2000-01-20,34.87746810913086,66.5,68.25,66.375,68.25,815700
2000-01-21,36.45089340209961,69.5,69.5,67.25,67.25,473700
2000-01-24,35.30362319946289,67.3125,69.3125,67.125,69.25,261900
2000-01-25,35.79529571533203,68.25,68.375,66.875,67.3125,382200
2000-01-26,36.123111724853516,68.875,70.6875,67.3125,68.25,425700
2000-01-27,35.89363479614258,68.4375,70.5625,67.625,69.125,289100
2000-01-28,34.87746810913086,66.5,68.4375,66.5,68.4375,259800
2000-01-31,35.533077239990234,67.75,68.5,65.375,66.5,303900
2000-02-01,35.1724967956543,67.0625,67.25,66.125,67.25,293300
2000-02-02,34.94303512573242,66.625,67.375,66.1875,67.3125,261800
2000-02-03,34.64802169799805,66.0625,67.75,66.0,66.125,363500
2000-02-04,35.20528030395508,67.125,67.9375,64.5,66.0,418800
2000-02-07,34.516902923583984,65.8125,67.125,64.3125,67.125,291400
2000-02-08,34.48412322998047,65.75,66.0,64.5,65.5625,207200
2000-02-09,33.89409637451172,64.625,65.5,64.0,65.5,182400
2000-02-10,34.09076690673828,65.0,65.0625,63.375,64.625,247100
2000-02-11,33.27125549316406,63.4375,65.75,62.625,65.0625,236100
2000-02-14,34.45132827758789,65.6875,66.0,62.6875,63.4375,272600
2000-02-15,35.40196228027344,67.5,67.75,64.875,65.5625,353100
2000-02-16,34.45132827758789,65.6875,67.75,64.125,67.75,208700
2000-02-17,35.1069450378418,66.9375,66.9375,64.1875,65.5625,237600
2000-02-18,33.172935485839844,63.25,66.875,61.875,66.875,327800
2000-02-22,33.9268684387207,64.6875,65.25,63.25,63.25,278800
2000-02-23,33.828529357910156,64.5,65.5,63.375,64.5,330000
2000-02-24,32.4517822265625,61.875,64.5,60.875,64.5,404200
2000-02-25,31.861757278442383,60.75,61.375,59.6875,61.25,362400
