Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,8.96231460571289,20.25,21.9375,19.8125,21.9375,1468700
2000-01-04,8.96231460571289,20.25,21.375,19.625,20.0625,2082300
2000-01-05,9.01763916015625,20.375,21.375,20.0,20.375,1833700
2000-01-06,9.87514591217041,22.3125,22.375,20.6875,20.6875,2234700
2000-01-07,10.539018630981445,23.8125,24.1875,22.3125,22.75,2810600
2000-01-10,10.20707893371582,23.0625,23.875,22.375,23.875,2274100
2000-01-11,10.428367614746094,23.5625,24.0,22.8125,23.75,2001100
2000-01-12,9.958126068115234,22.5,23.3125,22.375,23.0625,1358000
2000-01-13,9.958126068115234,22.5,23.3125,22.4375,22.5,1534800
2000-01-14,10.068777084350586,22.75,22.875,21.9375,22.5625,1824700
2000-01-18,10.456034660339355,23.625,23.625,22.25,22.5,4190800
2000-01-19,10.37304973602295,23.4375,24.25,22.8125,23.5625,2186500
2000-01-20,9.792159080505371,22.125,23.0,22.0625,23.0,1822500
2000-01-21,10.068777084350586,22.75,23.9375,22.0,23.25,3546500
2000-01-24,10.20707893371582,23.0625,23.25,22.75,23.25,2326700
2000-01-25,10.124092102050781,22.875,23.5,22.125,23.0,1747500
2000-01-26,10.068777084350586,22.75,24.0,22.6875,23.5,2050900
2000-01-27,9.543205261230469,21.5625,23.375,21.0,22.75,1144500
2000-01-28,9.211267471313477,20.8125,22.375,20.5625,21.875,1303300
2000-01-31,10.926273345947266,24.6875,25.0625,22.8125,23.5,5190700
2000-02-01,10.677321434020996,24.125,24.8125,22.9375,24.6875,3709300
2000-02-02,10.400712013244629,23.5,24.5,23.1875,24.125,1526300
2000-02-03,10.61864185333252,23.875,24.125,23.25,23.6875,2807900
2000-02-04,10.007096290588379,22.5,24.0625,22.0625,23.625,1786500
2000-02-07,10.36846923828125,23.3125,23.875,21.75,21.875,1412600
2000-02-08,10.062686920166016,22.625,23.4375,22.0,23.375,1625500
2000-02-09,9.673527717590332,21.75,23.25,21.625,22.375,1009200
2000-02-10,10.034900665283203,22.5625,23.0625,21.625,21.625,2774000
2000-02-11,10.118288040161133,22.75,24.0625,22.75,22.875,1823500
2000-02-14,10.61864185333252,23.875,24.0,22.1875,23.0,1687800
2000-02-15,11.341377258300781,25.5,25.625,24.125,24.125,3528200
2000-02-16,11.257984161376953,25.3125,26.125,24.875,25.25,2550100
2000-02-17,11.285783767700195,25.375,25.75,23.625,25.0,2205600
2000-02-18,10.924416542053223,24.5625,25.375,24.3125,25.375,1343500
2000-02-22,10.785430908203125,24.25,25.125,23.8125,24.75,1394200
2000-02-23,10.674240112304688,24.0,24.5,23.9375,24.25,1498400
2000-02-24,11.035599708557129,24.8125,25.4375,23.875,24.0,1854400
2000-02-25,10.702035903930664,24.0625,24.875,23.8125,24.8125,1666700
2000-02-28,11.174592018127441,25.125,25.75,23.8125,23.8125,2230700
2000-02-29,11.508163452148438,25.875,26.375,25.5625,25.75,2715800
