Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,9.788395881652832,16.625,17.5,16.625,17.4375,64600
2000-01-04,9.346814155578613,15.875,16.625,15.625,16.625,81900
2000-01-05,9.27321720123291,15.75,15.75,15.0,15.75,38100
2000-01-06,9.420412063598633,16.0,16.25,15.75,15.75,41200
2000-01-07,9.346814155578613,15.875,16.25,15.75,15.875,34700
2000-01-10,9.420412063598633,16.0,16.5,16.0,16.5,94200
2000-01-11,9.677999496459961,16.4375,16.875,16.0,16.125,39700
2000-01-12,10.082781791687012,17.125,17.125,16.5,16.5,25100
2000-01-13,9.972386360168457,16.9375,17.5,16.875,17.25,62000
2000-01-14,10.303572654724121,17.5,17.75,16.875,17.0,183100
2000-01-18,10.597960472106934,18.0,18.25,17.75,17.75,77300
2000-01-19,10.745157241821289,18.25,18.375,17.9375,18.0,34500
2000-01-20,10.303572654724121,17.5,18.25,17.375,18.25,42200
2000-01-21,10.229976654052734,17.375,17.5,17.25,17.4375,16000
2000-01-24,10.082781791687012,17.125,17.5,17.0,17.5,10700
2000-01-25,10.156381607055664,17.25,17.5,17.0625,17.125,19200
2000-01-26,10.266773223876953,17.4375,17.5,17.25,17.25,16600
2000-01-27,10.303572654724121,17.5,18.0,17.4375,17.4375,33600
2000-01-28,10.229976654052734,17.375,17.625,17.3125,17.625,3900
2000-01-31,10.303572654724121,17.5,17.5,17.125,17.125,53900
2000-02-01,10.450766563415527,17.75,17.75,17.375,17.375,15400
2000-02-02,10.561162948608398,17.9375,18.125,17.875,18.0,92700
2000-02-03,10.597960472106934,18.0,18.125,17.9375,18.0625,35200
2000-02-04,10.855547904968262,18.4375,18.5625,18.125,18.125,51500
2000-02-07,10.892351150512695,18.5,18.5625,18.375,18.4375,25200
2000-02-08,10.92914867401123,18.5625,18.875,18.5,18.5,45300
2000-02-09,10.818753242492676,18.375,18.75,18.375,18.75,9100
2000-02-10,10.524360656738281,17.875,18.5,17.875,18.5,9700
2000-02-11,10.561162948608398,17.9375,18.0,17.875,17.875,24700
2000-02-14,10.597960472106934,18.0,18.0625,17.875,18.0625,7100
2000-02-15,10.524360656738281,17.875,18.0,17.875,17.875,4900
2000-02-16,10.892351150512695,18.5,18.5,17.875,17.875,69000
2000-02-17,10.818753242492676,18.375,18.6875,18.3125,18.5,28100
2000-02-18,10.892351150512695,18.5,18.5625,18.375,18.375,5000
2000-02-22,10.92914867401123,18.5625,18.8125,18.5625,18.625,10700
2000-02-23,11.076348304748535,18.8125,18.9375,18.5625,18.5625,5700
2000-02-24,11.186737060546875,19.0,19.125,18.875,18.875,61800
2000-02-25,11.333928108215332,19.25,19.25,19.0,19.0,41400
2000-02-28,11.849104881286621,20.125,20.125,19.25,19.25,35700
2000-02-29,12.879469871520996,21.875,21.875,21.625,21.75,79900
2000-03-01,12.805864334106445,21.75,22.75,21.75,22.5,140600
2000-03-02,12.989866256713867,22.0625,22.25,22.0,22.0,26600
2000-03-03,13.02665901184082,22.125,22.125,22.0625,22.125,17300
2000-03-06,12.989866256713867,22.0625,22.25,22.0625,22.0625,9900
2000-03-07,12.953065872192383,22.0,22.125,21.75,22.125,26200
2000-03-08,12.953065872192383,22.0,22.1875,22.0,22.0,31700
2000-03-09,12.953065872192383,22.0,22.0,21.75,21.875,7800
2000-03-10,13.02665901184082,22.125,22.125,21.9375,22.0,5200
2000-03-13,13.468243598937988,22.875,23.125,22.25,22.375,27900
2000-03-14,13.468243598937988,22.875,23.0,22.875,22.875,1300
2000-03-15,14.204216957092285,24.125,24.125,22.625,23.125,29000
2000-03-16,14.351411819458008,24.375,25.0,24.125,24.125,19500
2000-03-17,14.572195053100586,24.75,24.75,23.375,23.375,73300
2000-03-20,14.13061809539795,24.0,24.25,23.875,24.0,134700
2000-03-21,14.13061809539795,24.0,24.0,23.75,23.75,172200
2000-03-22,13.321046829223633,22.625,23.75,22.625,23.75,35900
2000-03-23,13.247447967529297,22.5,22.625,22.5,22.625,1300
2000-03-24,13.210653305053711,22.4375,22.5,22.375,22.5,5600
2000-03-27,12.989866256713867,22.0625,22.1875,22.0,22.1875,19600
2000-03-28,11.775511741638184,20.0,22.0625,19.75,22.0625,42600
2000-03-29,11.62831974029541,19.75,19.875,19.75,19.75,77000
2000-03-30,12.03310489654541,20.4375,20.5,19.8125,19.8125,18700
2000-03-31,11.922704696655273,20.25,20.4375,20.25,20.4375,23500
2000-04-03,12.143498420715332,20.625,20.6875,20.25,20.25,4000
2000-04-04,12.217096328735352,20.75,20.875,20.625,20.625,77700
2000-04-05,12.621882438659668,21.4375,21.4375,20.625,20.75,32700
2000-04-06,13.173856735229492,22.375,22.4375,21.125,21.375,12500
2000-04-07,14.277812004089355,24.25,24.4375,22.25,22.25,44500
2000-04-10,14.13061809539795,24.0,24.25,24.0,24.25,16100
2000-04-11,14.167412757873535,24.0625,24.125,24.0,24.125,6300
2000-04-12,14.057025909423828,23.875,24.0,23.8125,24.0,3800
2000-04-13,13.762628555297852,23.375,23.75,23.375,23.75,4900
2000-04-14,13.541845321655273,23.0,23.25,23.0,23.25,10200
2000-04-17,13.210653305053711,22.4375,22.875,22.375,22.875,15500
2000-04-18,12.916265487670898,21.9375,22.3125,21.875,22.3125,2900
2000-04-19,12.36428451538086,21.0,21.9375,21.0,21.8125,20400
2000-04-20,12.437888145446777,21.125,21.15625,20.9375,21.0,78800
2000-04-24,12.73227596282959,21.625,21.625,21.0,21.0625,15100
2000-04-25,14.13061809539795,24.0,24.5,21.6875,21.875,74600
2000-04-26,14.204216957092285,24.125,24.25,23.8125,24.25,67700
2000-04-27,14.314618110656738,24.3125,24.375,24.0,24.0,12600
2000-04-28,15.308172225952148,26.0,26.0,24.375,24.5,43100
2000-05-01,14.13061809539795,24.0,26.5,24.0,26.25,97500
2000-05-02,14.020223617553711,23.8125,24.125,23.75,24.125,6100
2000-05-03,14.277812004089355,24.25,24.375,23.5625,23.5625,23000
2000-05-04,13.909829139709473,23.625,24.0,23.625,24.0,6300
2000-05-05,13.946617126464844,23.6875,23.875,23.5,23.5,6200
2000-05-08,14.13061809539795,24.0,24.125,23.5,23.5625,20400
2000-05-09,14.351411819458008,24.375,24.375,24.0625,24.125,19900
2000-05-10,14.75618839263916,25.0625,25.0625,24.375,24.5,23400
2000-05-11,14.866582870483398,25.25,25.75,25.125,25.125,30200
2000-05-12,15.16097354888916,25.75,25.75,24.875,25.0,32300
2000-05-15,15.16097354888916,25.75,26.5,25.625,25.75,73700
2000-05-16,15.455354690551758,26.25,26.5,25.625,25.8125,26100
2000-05-17,15.528959274291992,26.375,26.5,26.25,26.375,5300
2000-05-18,15.418561935424805,26.1875,26.375,26.0625,26.375,9400
2000-05-19,15.381765365600586,26.125,26.1875,26.0,26.1875,38200
2000-05-22,15.197775840759277,25.8125,26.0,25.8125,26.0,6700
2000-05-23,13.983421325683594,23.75,25.375,23.75,25.375,63200
2000-05-24,13.689030647277832,23.25,23.625,23.0,23.25,33100
2000-05-25,13.762628555297852,23.375,23.5,23.375,23.375,12500
2000-05-26,13.689030647277832,23.25,23.625,23.25,23.375,64800
2000-05-30,13.689030647277832,23.25,23.25,22.8125,23.25,89000
2000-05-31,14.167412757873535,24.0625,24.1875,23.25,23.25,68300
2000-06-01,14.351411819458008,24.375,24.75,24.0625,24.0625,38200
2000-06-02,15.16097354888916,25.75,26.0,24.5,24.5,62400
2000-06-05,15.823348045349121,26.875,27.0,25.375,25.625,145400
2000-06-06,15.56576156616211,26.4375,26.875,26.375,26.875,61200
2000-06-07,15.27137279510498,25.9375,26.4375,25.9375,26.4375,16400
2000-06-08,14.976978302001953,25.4375,25.8125,25.375,25.8125,32200
2000-06-09,14.976978302001953,25.4375,25.4375,25.25,25.375,29700
2000-06-12,14.866582870483398,25.25,25.4375,24.5,25.4375,75500
2000-06-13,15.308172225952148,26.0,26.0,24.75,24.75,185700
2000-06-14,15.786543846130371,26.8125,26.9375,26.0,26.0,162900
2000-06-15,16.191328048706055,27.5,28.0,27.0625,27.0625,104300
2000-06-16,17.074501037597656,29.0,29.25,27.5,27.5,222700
2000-06-19,16.964099884033203,28.8125,29.375,28.75,29.25,197500
2000-06-20,16.74330711364746,28.4375,28.625,28.0,28.625,68600
2000-06-21,17.221683502197266,29.25,29.25,28.5,28.5,35700
2000-06-22,18.178455352783203,30.875,31.375,29.0,29.1875,53000
2000-06-23,17.773662567138672,30.1875,30.90625,30.0,30.875,53900
2000-06-26,18.252042770385742,31.0,31.0,29.75,30.0,85500
2000-06-27,19.06161117553711,32.375,32.625,31.125,31.25,58000
2000-06-28,20.607145309448242,35.0,36.0,32.0,32.375,128800
2000-06-29,19.20880889892578,32.625,35.0,32.625,35.0,292000
2000-06-30,17.074501037597656,29.0,34.0,29.0,32.875,583600
2000-07-03,17.221683502197266,29.25,29.625,29.125,29.1875,80300
2000-07-05,17.2952823638916,29.375,29.5,28.375,29.25,80400
2000-07-06,17.000898361206055,28.875,29.25,28.75,29.125,56000
2000-07-07,17.51607322692871,29.75,29.75,28.3125,28.625,36300
2000-07-10,18.840824127197266,32.0,32.125,29.875,29.875,76900
2000-07-11,19.650394439697266,33.375,33.8125,32.125,32.125,106000
2000-07-12,20.165563583374023,34.25,34.25,32.3125,33.0625,286500
2000-07-13,19.834375381469727,33.6875,34.25,33.6875,34.25,87400
2000-07-14,19.944772720336914,33.875,33.875,33.4375,33.6875,13700
2000-07-17,19.466398239135742,33.0625,34.0,33.0625,33.875,49800
2000-07-18,19.024812698364258,32.3125,32.875,31.5625,32.875,60500
2000-07-19,18.91441535949707,32.125,32.3125,31.9375,32.3125,98500
2000-07-20,19.172006607055664,32.5625,32.625,32.0625,32.1875,28000
2000-07-21,19.907976150512695,33.8125,33.875,32.6875,32.6875,20000
2000-07-24,20.05516242980957,34.0625,36.375,33.8125,33.8125,103000
2000-07-25,19.871177673339844,33.75,34.5,33.75,34.125,76600
2000-07-26,20.05516242980957,34.0625,34.375,33.8125,33.8125,62200
2000-07-27,20.05516242980957,34.0625,34.0625,34.0,34.0,18100
2000-07-28,20.01837730407715,34.0,34.3125,34.0,34.3125,129100
2000-07-31,19.871177673339844,33.75,34.0,33.6875,33.9375,69000
2000-08-01,19.797582626342773,33.625,33.75,33.5625,33.75,4900
2000-08-02,19.760786056518555,33.5625,33.625,33.5,33.5625,4400
2000-08-03,19.797582626342773,33.625,33.75,33.5,33.625,26700
2000-08-04,19.871177673339844,33.75,33.75,33.6875,33.75,14900
2000-08-07,19.06161117553711,32.375,33.875,31.125,33.875,77600
2000-08-08,19.355998992919922,32.875,33.0,32.5,32.5,16000
2000-08-09,19.944772720336914,33.875,33.875,32.0,33.0,57000
2000-08-10,19.797582626342773,33.625,33.875,33.5,33.875,15600
2000-08-11,19.613582611083984,33.3125,33.5,33.25,33.5,8300
2000-08-14,19.72398567199707,33.5,33.625,33.3125,33.375,16400
2000-08-15,19.650394439697266,33.375,33.625,33.3125,33.5,17600
2000-08-16,19.834375381469727,33.6875,33.6875,33.5,33.5,36700
2000-08-17,20.45995330810547,34.75,34.875,33.6875,33.6875,34400
2000-08-18,20.386354446411133,34.625,34.75,34.5,34.75,20400
2000-08-21,20.533546447753906,34.875,35.0,34.5625,34.5625,15200
2000-08-22,20.827930450439453,35.375,35.5,35.0,35.0,6200
2000-08-23,20.45995330810547,34.75,35.4375,34.625,35.375,8500
2000-08-24,20.607145309448242,35.0,35.0625,34.5625,34.75,92100
2000-08-25,20.791141510009766,35.3125,35.375,34.875,34.875,33300
2000-08-28,20.791141510009766,35.3125,35.5,35.25,35.3125,31200
2000-08-29,22.447072982788086,38.125,38.5,35.25,35.25,24900
2000-08-30,22.37347412109375,38.0,39.0,37.25,38.25,36300
2000-08-31,24.139799118041992,41.0,41.0,38.0,38.0,45700
2000-09-01,24.54458999633789,41.6875,42.625,41.25,41.25,38900
2000-09-05,24.434192657470703,41.5,41.75,41.125,41.4375,17500
2000-09-06,23.80861473083496,40.4375,41.375,40.375,41.25,21100
2000-09-07,21.56391143798828,36.625,39.75,35.5,39.625,241400
2000-09-08,21.78470230102539,37.0,37.0625,36.0,36.5,59900
2000-09-11,22.741466522216797,38.625,38.625,37.25,37.25,40900
2000-09-12,22.888656616210938,38.875,39.0,38.375,38.75,41300
2000-09-13,22.925451278686523,38.9375,38.9375,38.75,38.75,7300
2000-09-14,22.741466522216797,38.625,39.125,38.625,38.875,21800
2000-09-15,22.37347412109375,38.0,38.5,37.875,38.375,66200
2000-09-18,22.37347412109375,38.0,38.375,37.625,37.875,97200
2000-09-19,22.594266891479492,38.375,38.375,37.8125,38.0,20000
2000-09-20,22.520675659179688,38.25,38.25,38.0,38.125,22100
2000-09-21,21.490314483642578,36.5,38.0,36.5,38.0,21400
