Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,9.02222728729248,30.6875,31.125,30.5,31.125,59900
2000-01-04,8.875222206115723,30.1875,30.75,30.125,30.6875,95800
2000-01-05,8.948726654052734,30.4375,30.5625,30.125,30.1875,101000
2000-01-06,9.11410140991211,31.0,31.125,30.3125,30.5625,143100
2000-01-07,9.444854736328125,32.125,32.25,30.9375,30.9375,139000
2000-01-10,9.518355369567871,32.375,32.4375,31.9375,32.125,189100
2000-01-11,9.426483154296875,32.0625,32.4375,31.875,32.375,85300
2000-01-12,9.2794771194458,31.5625,32.1875,31.4375,32.1875,61100
2000-01-13,9.334602355957031,31.75,31.8125,31.5,31.5625,40800
2000-01-14,9.2794771194458,31.5625,31.875,31.25,31.625,64400
2000-01-18,9.187601089477539,31.25,31.625,31.125,31.625,73000
2000-01-19,9.187601089477539,31.25,31.375,31.0,31.125,100500
2000-01-20,9.077353477478027,30.875,31.3125,30.8125,31.0625,158700
2000-01-21,8.985479354858398,30.5625,31.0,30.25,30.875,272300
2000-01-24,8.948726654052734,30.4375,31.0,30.4375,30.75,117100
2000-01-25,8.985479354858398,30.5625,30.75,30.4375,30.6875,135300
2000-01-26,9.02222728729248,30.6875,31.0,30.5,30.5,119700
2000-01-27,8.985479354858398,30.5625,30.6875,30.5,30.625,118600
2000-01-28,8.948726654052734,30.4375,30.6875,30.125,30.5625,228200
2000-01-31,8.820100784301758,30.0,30.5,30.0,30.5,127900
2000-02-01,8.764972686767578,29.8125,30.4375,29.0,30.125,2240200
2000-02-02,8.801726341247559,29.9375,30.125,29.75,30.125,428800
2000-02-03,8.875222206115723,30.1875,30.25,29.9375,30.0,149400
2000-02-04,8.801726341247559,29.9375,30.5625,29.875,30.125,506300
2000-02-07,8.820100784301758,30.0,30.1875,29.625,29.875,105800
2000-02-08,8.985479354858398,30.5625,30.5625,29.9375,30.0,76500
2000-02-09,8.985479354858398,30.5625,30.9375,30.3125,30.3125,91700
2000-02-10,8.91197395324707,30.3125,30.5625,30.25,30.4375,68600
2000-02-11,8.83847427368164,30.0625,30.625,29.9375,30.4375,84900
2000-02-14,8.85684871673584,30.125,30.3125,30.0,30.125,124600
2000-02-15,8.820100784301758,30.0,30.375,29.9375,30.375,153100
2000-02-16,8.875222206115723,30.1875,30.1875,30.0,30.0,102300
2000-02-17,8.967101097106934,30.5,30.625,30.25,30.25,144900
2000-02-18,8.85684871673584,30.125,30.4375,29.875,30.25,80000
2000-02-22,8.83847427368164,30.0625,30.1875,29.875,29.9375,93400
2000-02-23,8.930350303649902,30.375,30.375,30.0,30.1875,73300
2000-02-24,8.948726654052734,30.4375,30.5,30.375,30.375,45500
2000-02-25,8.967101097106934,30.5,30.625,30.375,30.5,113900
2000-02-28,8.930350303649902,30.375,30.5,30.3125,30.5,83000
2000-02-29,8.91197395324707,30.3125,30.5625,30.3125,30.5,105900
2000-03-01,8.930350303649902,30.375,30.5,30.3125,30.5,84800
2000-03-02,8.930350303649902,30.375,30.5,30.3125,30.3125,64200
2000-03-03,8.930350303649902,30.375,30.5,30.375,30.375,160000
2000-03-06,8.91197395324707,30.3125,30.5,30.25,30.3125,60600
