Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,8.557401657104492,10.75,10.8125,10.1875,10.46875,310900
2000-01-04,8.33351993560791,10.46875,10.625,10.375,10.5,119200
2000-01-05,8.557401657104492,10.75,10.8125,10.4375,10.4375,227600
2000-01-06,8.63203239440918,10.84375,10.875,10.5625,10.75,160300
2000-01-07,8.806167602539062,11.0625,11.125,10.75,10.75,422800
2000-01-10,8.95542049407959,11.25,11.375,11.0,11.0,154500
2000-01-11,8.607156753540039,10.8125,11.25,10.8125,11.25,256700
2000-01-12,8.308642387390137,10.4375,10.8125,10.375,10.8125,206400
2000-01-13,9.067366600036621,11.390625,11.625,10.5,10.625,252900
2000-01-14,8.980299949645996,11.28125,11.875,11.1875,11.5,554100
2000-01-18,8.806167602539062,11.0625,11.3125,10.875,11.25,136000
2000-01-19,8.706663131713867,10.9375,11.25,10.75,10.96875,512400
2000-01-20,8.50765323638916,10.6875,11.0625,10.5,11.0625,412600
2000-01-21,8.607156753540039,10.8125,10.875,10.5,10.625,133000
2000-01-24,8.33351993560791,10.46875,10.875,10.25,10.875,327100
2000-01-25,8.457898139953613,10.625,10.625,10.3125,10.5,171000
2000-01-26,7.960376739501953,10.0,10.5,10.0,10.375,699600
2000-01-27,8.209139823913574,10.3125,10.5,10.0625,10.125,268700
2000-01-28,8.071621894836426,10.125,10.5,9.9375,10.375,130700
2000-01-31,8.221097946166992,10.3125,10.5,10.03125,10.0625,171600
2000-02-01,8.370570182800293,10.5,10.5625,10.125,10.25,200500
2000-02-02,8.021797180175781,10.0625,10.5,9.9375,10.375,601900
2000-02-03,7.922146320343018,9.9375,10.125,9.75,10.0,190500
2000-02-04,7.324251174926758,9.1875,10.0,9.1875,9.78125,297300
2000-02-07,7.000389575958252,8.78125,9.375,8.6875,9.1875,566800
2000-02-08,7.174776077270508,9.0,9.15625,8.875,9.0,554200
2000-02-09,7.423898696899414,9.3125,9.375,9.0625,9.125,1245000
2000-02-10,7.423898696899414,9.3125,9.4375,9.3125,9.375,281500
2000-02-11,7.47372579574585,9.375,9.375,9.3125,9.3125,382300
2000-02-14,7.523551940917969,9.4375,9.5,9.3125,9.3125,350900
2000-02-15,7.573371887207031,9.5,9.5,9.375,9.4375,755400
2000-02-16,6.676530361175537,8.375,9.25,8.375,9.25,614000
2000-02-17,6.875821590423584,8.625,8.6875,8.25,8.4375,1302100
2000-02-18,6.7761759757995605,8.5,8.75,8.375,8.75,354000
2000-02-22,7.398988246917725,9.28125,9.9375,8.375,8.625,454800
2000-02-23,7.224602222442627,9.0625,9.5,8.625,9.1875,276800
2000-02-24,7.523551940917969,9.4375,9.75,9.0,9.1875,265900
2000-02-25,6.826003074645996,8.5625,9.5,8.4375,9.5,492200
2000-02-28,6.676530361175537,8.375,8.75,8.125,8.75,512900
2000-02-29,6.676530361175537,8.375,8.5625,8.234375,8.4375,2656000
2000-03-01,6.477231025695801,8.125,8.5,8.0625,8.5,737200
2000-03-02,6.576878547668457,8.25,8.375,7.875,8.125,3143000
2000-03-03,6.7761759757995605,8.5,8.5,8.25,8.3125,198500
2000-03-06,6.427403450012207,8.0625,8.5,8.0,8.5,420000
2000-03-07,6.377578258514404,8.0,8.125,7.9375,8.0,409200
2000-03-08,6.427403450012207,8.0625,8.125,7.9375,8.0,199000
2000-03-09,6.427403450012207,8.0625,8.125,7.9375,8.0625,613800
2000-03-10,6.7761759757995605,8.5,9.5,7.9375,8.0,498000
2000-03-13,6.527052879333496,8.1875,8.5,8.0625,8.5,96600
2000-03-14,6.427403450012207,8.0625,8.5,7.9375,8.25,203200
2000-03-15,6.576878547668457,8.25,8.4375,8.0,8.25,128300
2000-03-16,6.626704692840576,8.3125,8.5,8.125,8.375,159300
2000-03-17,7.174776077270508,9.0,9.0,8.09375,8.09375,301000
2000-03-20,7.374074935913086,9.25,9.3125,8.9375,9.0,186400
2000-03-21,7.660572052001953,9.609375,10.0,9.125,9.3125,214200
2000-03-22,8.320745468139648,10.4375,10.625,9.90625,9.9375,585900
2000-03-23,8.270916938781738,10.375,10.75,10.375,10.375,374700
2000-03-24,8.221097946166992,10.3125,10.5,10.3125,10.5,185900
2000-03-27,7.922146320343018,9.9375,10.3125,9.9375,10.3125,118000
2000-03-28,7.84740686416626,9.84375,10.03125,9.375,10.0,123400
2000-03-29,7.922146320343018,9.9375,10.0,9.375,9.625,246700
2000-03-30,7.872326850891113,9.875,10.0,9.625,9.9375,224800
2000-03-31,8.669519424438477,10.875,11.625,9.625,9.75,507500
2000-04-03,8.769165992736816,11.0,11.1875,10.25,10.25,169600
2000-04-04,9.093029022216797,11.40625,12.0625,10.875,10.875,373300
2000-04-05,8.47021770477295,10.625,11.5,10.5625,11.25,240400
2000-04-06,8.47021770477295,10.625,10.875,10.375,10.625,226200
2000-04-07,8.370570182800293,10.5,10.75,10.375,10.625,249600
2000-04-10,8.171274185180664,10.25,10.75,10.1875,10.625,252400
2000-04-11,8.021797180175781,10.0625,10.15625,9.875,10.125,166000
2000-04-12,8.270916938781738,10.375,10.5,10.0,10.0,81800
2000-04-13,8.47021770477295,10.625,10.625,10.125,10.25,131700
2000-04-14,7.922146320343018,9.9375,10.5,9.75,10.3125,164800
2000-04-17,8.320745468139648,10.4375,10.4375,9.75,9.75,183800
2000-04-18,8.669519424438477,10.875,10.875,10.25,10.375,248100
2000-04-19,8.856364250183105,11.109375,11.125,10.5,10.5625,113200
2000-04-20,8.968467712402344,11.25,11.3125,10.875,11.125,128800
2000-04-24,8.669519424438477,10.875,11.125,10.0625,10.9375,100600
2000-04-25,9.018295288085938,11.3125,11.375,11.0,11.0,206200
2000-04-26,9.068116188049316,11.375,11.375,11.0625,11.0625,39200
2000-04-27,9.08009147644043,11.375,11.375,11.0,11.125,64400
2000-04-28,9.329545974731445,11.6875,11.6875,10.9375,11.4375,84600
2000-05-01,9.379438400268555,11.75,11.8125,11.4375,11.5,79900
2000-05-02,9.279656410217285,11.625,11.6875,11.3125,11.6875,39900
2000-05-03,9.08009147644043,11.375,11.6875,10.9375,11.6875,75200
2000-05-04,9.229766845703125,11.5625,11.5625,10.6875,11.125,102900
2000-05-05,9.579000473022461,12.0,12.0,11.375,11.5,128800
2000-05-08,9.529107093811035,11.9375,12.125,11.5625,11.9375,115700
2000-05-09,9.329545974731445,11.6875,12.0,11.625,11.875,135100
2000-05-10,9.08009147644043,11.375,11.625,11.0,11.625,161500
2000-05-11,9.229766845703125,11.5625,11.625,11.0,11.5,61400
2000-05-12,9.179874420166016,11.5,11.5625,11.25,11.25,66800
2000-05-15,9.179874420166016,11.5,11.5,11.125,11.5,102800
2000-05-16,9.179874420166016,11.5,11.5625,11.125,11.5,92000
2000-05-17,9.129985809326172,11.4375,11.5,11.0,11.1875,106400
2000-05-18,9.08009147644043,11.375,11.75,11.1875,11.1875,164100
2000-05-19,9.129985809326172,11.4375,11.6875,11.125,11.375,63900
2000-05-22,9.179874420166016,11.5,11.5,11.25,11.375,239500
2000-05-23,9.129985809326172,11.4375,11.6875,11.25,11.25,319400
2000-05-24,9.379438400268555,11.75,12.0,11.25,11.4375,107400
2000-05-25,9.279656410217285,11.625,11.875,11.5,11.6875,74200
2000-05-26,9.279656410217285,11.625,11.875,11.5625,11.5625,36300
2000-05-30,9.529107093811035,11.9375,11.9375,11.6875,11.8125,80300
2000-05-31,9.429329872131348,11.8125,11.9375,11.625,11.75,138900
2000-06-01,9.379438400268555,11.75,11.75,11.6875,11.6875,57200
2000-06-02,9.728671073913574,12.1875,12.625,11.75,11.875,214100
2000-06-05,9.728671073913574,12.1875,12.375,11.9375,12.25,124700
2000-06-06,9.65383243560791,12.09375,12.25,11.875,11.90625,75400
2000-06-07,9.728671073913574,12.1875,12.1875,11.375,12.0,68800
2000-06-08,9.728671073913574,12.1875,12.25,11.875,12.15625,49400
2000-06-09,9.579000473022461,12.0,12.1875,11.625,12.125,58100
2000-06-12,9.728671073913574,12.1875,12.375,11.5625,11.84375,96500
2000-06-13,10.077905654907227,12.625,12.625,12.25,12.375,143200
2000-06-14,9.878341674804688,12.375,12.75,11.875,12.375,87400
2000-06-15,9.878341674804688,12.375,12.5625,12.125,12.5625,114500
2000-06-16,9.579000473022461,12.0,12.625,11.875,12.5625,181700
2000-06-19,9.628888130187988,12.0625,12.0625,11.625,11.875,77600
2000-06-20,9.529107093811035,11.9375,12.0625,11.75,12.03125,51500
2000-06-21,9.379438400268555,11.75,12.0,11.25,12.0,53600
2000-06-22,9.279656410217285,11.625,11.875,11.3125,11.875,63500
2000-06-23,8.930418014526367,11.1875,11.5,11.0,11.375,128000
2000-06-26,8.980310440063477,11.25,11.25,10.75,11.0625,72700
2000-06-27,9.08009147644043,11.375,11.375,11.0625,11.1875,188600
2000-06-28,8.780750274658203,11.0,11.25,10.75,11.0625,165600
2000-06-29,8.581189155578613,10.75,10.9375,10.625,10.9375,68800
2000-06-30,8.281838417053223,10.375,11.25,10.0625,10.5,331800
2000-07-03,8.231956481933594,10.3125,10.5625,10.25,10.25,223900
2000-07-05,8.281838417053223,10.375,10.5625,10.25,10.5,482800
2000-07-06,9.030202865600586,11.3125,11.3125,10.3125,10.4375,253900
2000-07-07,9.828451156616211,12.3125,12.5,11.3125,11.3125,794400
