Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,17.4621524810791,31.125,32.0,31.0,32.0,2434800
2000-01-04,17.006315231323242,30.3125,30.96875,30.25,30.625,2358400
2000-01-05,16.427745819091797,29.28125,30.625,28.875,30.375,3169400
2000-01-06,16.392683029174805,29.21875,30.0,28.9375,29.0,5802200
2000-01-07,17.37449073791504,30.96875,31.15625,29.0,29.5625,5570200
2000-01-10,17.847862243652344,31.8125,31.8125,30.875,31.75,3049600
2000-01-11,17.935527801513672,31.96875,32.40625,31.46875,31.5,3850800
2000-01-12,18.058250427246094,32.1875,32.21875,31.40625,31.625,2332600
2000-01-13,18.18097496032715,32.40625,32.84375,31.90625,32.0625,2643000
2000-01-14,17.76020622253418,31.65625,33.375,31.03125,33.0,4695800
2000-01-18,17.672534942626953,31.5,31.8125,31.03125,31.53125,2902000
2000-01-19,17.251768112182617,30.75,31.625,30.5625,31.5,2470200
2000-01-20,17.37449073791504,30.96875,31.875,30.25,30.6875,3082000
2000-01-21,17.199172973632812,30.65625,31.625,30.1875,31.625,3642200
2000-01-24,17.067829132080078,30.34375,31.5,30.25,31.375,3024800
2000-01-25,16.769010543823242,29.8125,30.90625,29.625,30.875,1929000
2000-01-26,16.927215576171875,30.09375,30.3125,29.46875,29.875,1368000
2000-01-27,16.962366104125977,30.15625,30.65625,29.875,29.875,2075200
2000-01-28,16.733854293823242,29.75,30.5625,29.25,30.28125,3138400
2000-01-31,16.663541793823242,29.625,29.84375,29.25,29.375,3411800
2000-02-01,16.769010543823242,29.8125,30.09375,29.21875,29.625,3090800
2000-02-02,17.243600845336914,30.65625,30.8125,29.875,30.25,3010400
2000-02-03,16.87447738647461,30.0,30.875,29.1875,30.5,4268600
2000-02-04,15.819819450378418,28.125,29.78125,27.5,29.75,6497800
2000-02-07,15.854970932006836,28.1875,28.40625,26.78125,28.125,5906200
2000-02-08,16.505348205566406,29.34375,29.6875,28.1875,28.1875,5455600
2000-02-09,16.364727020263672,29.09375,29.875,28.75,29.875,4435400
2000-02-10,16.171367645263672,28.75,29.25,28.6875,29.125,2444400
2000-02-11,15.714353561401367,27.9375,28.8125,27.8125,28.8125,3301200
2000-02-14,15.18702507019043,27.0,27.96875,26.5,27.96875,3962000
2000-02-15,15.661619186401367,27.84375,27.90625,26.90625,27.375,4309200
2000-02-16,15.573732376098633,27.6875,28.375,27.5625,27.9375,3066000
2000-02-17,15.169450759887695,26.96875,28.0,26.75,27.8125,2682200
2000-02-18,14.923362731933594,26.53125,27.4375,26.0,26.25,4189600
2000-02-22,14.73000717163086,26.1875,26.96875,25.34375,26.53125,3111000
2000-02-23,14.448769569396973,25.6875,25.96875,25.46875,25.9375,3062800
2000-02-24,13.798394203186035,24.53125,25.8125,23.9375,25.375,4953400
2000-02-25,13.5698881149292,24.125,24.875,24.0,24.59375,5931200
2000-02-28,14.343307495117188,25.5,25.65625,24.0,24.4375,5317400
2000-02-29,14.67728042602539,26.09375,26.75,25.3125,25.625,4971800
2000-03-01,14.905787467956543,26.5,26.8125,25.75,26.125,3489600
2000-03-02,14.800317764282227,26.3125,26.6875,26.25,26.625,3090400
2000-03-03,15.433110237121582,27.4375,27.5625,26.28125,26.3125,2866200
2000-03-06,14.853053092956543,26.40625,27.5,26.3125,27.5,2239600
2000-03-07,13.148030281066895,23.375,24.875,22.875,23.0,16743200
2000-03-08,12.357039451599121,21.96875,23.9375,21.1875,23.5625,15871800
2000-03-09,12.374613761901855,22.0,22.1875,21.5,21.875,5240400
2000-03-10,12.02306842803955,21.375,22.0,20.4375,22.0,8014200
2000-03-13,12.19884204864502,21.6875,22.09375,20.25,20.25,5746000
2000-03-14,12.146102905273438,21.59375,21.78125,21.0,21.125,3185400
2000-03-15,14.571805953979492,25.90625,27.0,21.875,21.9375,11815800
2000-03-16,14.41361141204834,25.625,26.1875,24.875,25.90625,9545400
2000-03-17,14.04448413848877,24.96875,25.96875,24.90625,25.125,5084800
2000-03-20,14.132373809814453,25.125,25.5,24.5625,24.96875,3725000
2000-03-21,14.149949073791504,25.15625,25.75,24.875,24.9375,4182400
2000-03-22,14.22026538848877,25.28125,25.46875,24.25,24.9375,4988400
2000-03-23,14.940938949584961,26.5625,27.0,25.0,25.09375,5917400
2000-03-24,15.292495727539062,27.1875,28.0,26.59375,26.59375,4643000
2000-03-27,15.239761352539062,27.09375,27.75,26.96875,27.5,3348600
2000-03-28,15.995591163635254,28.4375,28.4375,26.6875,26.6875,4296200
2000-03-29,15.872549057006836,28.21875,28.8125,27.84375,28.5,4349200
2000-03-30,15.802237510681152,28.09375,28.21875,27.28125,27.625,5765000
2000-03-31,15.854970932006836,28.1875,29.1875,27.96875,28.1875,4308000
2000-04-03,17.01509666442871,30.25,30.4375,28.21875,28.3125,3763600
2000-04-04,17.067829132080078,30.34375,30.8125,29.625,30.0,5783400
2000-04-05,16.435039520263672,29.21875,30.875,29.125,30.1875,3419600
2000-04-06,16.593236923217773,29.5,30.0,28.5,29.28125,3068000
2000-04-07,16.681119918823242,29.65625,30.0,29.375,29.5,2512000
2000-04-10,16.94478416442871,30.125,30.4375,28.9375,29.0,4362600
2000-04-11,17.61273193359375,31.3125,31.4375,30.375,30.4375,5006600
2000-04-12,17.43695831298828,31.0,32.625,30.9375,31.3125,6154800
2000-04-13,16.593236923217773,29.5,30.75,28.90625,30.5,5849000
2000-04-14,15.679187774658203,27.875,28.6875,27.21875,27.875,5026600
2000-04-17,16.20651626586914,28.8125,28.8125,27.28125,27.5,4526400
2000-04-18,15.538581848144531,27.625,28.5,27.3125,28.5,4614000
2000-04-19,15.661619186401367,27.84375,28.0,26.40625,28.0,7988800
2000-04-20,16.065906524658203,28.5625,28.6875,27.3125,27.625,5521400
2000-04-24,16.533498764038086,29.3125,29.375,28.375,28.46875,3939600
2000-04-25,16.692136764526367,29.59375,30.0,29.0625,29.28125,5268000
2000-04-26,16.26909828186035,28.84375,29.75,28.46875,29.75,3325400
2000-04-27,16.551122665405273,29.34375,29.9375,28.1875,28.4375,4569400
2000-04-28,16.110456466674805,28.5625,28.875,27.4375,28.25,3996600
2000-05-01,15.546427726745605,27.5625,28.25,27.5625,28.0,2593200
2000-05-02,15.828444480895996,28.0625,28.40625,27.46875,27.5625,2553600
2000-05-03,15.652182579040527,27.75,28.90625,27.65625,28.09375,2155800
2000-05-04,15.7755708694458,27.96875,28.03125,27.625,27.875,2007200
