Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,6.445547580718994,11.828125,12.03125,11.5,11.984375,772000
2000-01-04,6.266739845275879,11.5,11.8125,11.375,11.8125,667600
2000-01-05,6.275257110595703,11.515625,11.71875,11.34375,11.5,857600
2000-01-06,6.49663782119751,11.921875,12.0,10.40625,11.125,3072000
2000-01-07,6.666930198669434,12.234375,12.5,11.875,11.921875,2006000
2000-01-10,6.760586738586426,12.40625,12.46875,11.953125,12.171875,1014800
2000-01-11,6.3774309158325195,11.703125,12.3125,11.59375,12.3125,769200
2000-01-12,6.4029765129089355,11.75,11.96875,11.625,11.703125,677600
2000-01-13,6.5136637687683105,11.953125,12.25,11.796875,11.8125,608400
2000-01-14,6.360401630401611,11.671875,12.0625,11.671875,12.015625,443200
2000-01-18,6.3007988929748535,11.5625,11.640625,11.375,11.546875,511200
2000-01-19,6.156049728393555,11.296875,11.5625,11.265625,11.5625,1146800
2000-01-20,6.0198163986206055,11.046875,11.359375,10.96875,11.359375,572400
2000-01-21,5.8580403327941895,10.75,11.25,10.578125,11.109375,1079600
2000-01-24,5.679235458374023,10.421875,10.8125,10.28125,10.796875,1034400
2000-01-25,5.525970458984375,10.140625,10.421875,10.046875,10.375,1258800
2000-01-26,5.542998313903809,10.171875,10.296875,10.0,10.203125,2245200
2000-01-27,5.423797130584717,9.953125,10.109375,9.75,10.109375,1246800
2000-01-28,5.262018203735352,9.65625,10.15625,9.5,10.125,1690000
2000-01-31,5.2109293937683105,9.5625,9.734375,9.4375,9.59375,1202800
2000-02-01,5.0746965408325195,9.3125,9.5625,9.296875,9.375,1048000
2000-02-02,4.981040000915527,9.140625,9.453125,9.140625,9.3125,979600
2000-02-03,5.091727256774902,9.34375,9.421875,9.140625,9.265625,2487600
2000-02-04,5.117269039154053,9.390625,9.453125,9.34375,9.34375,1194000
2000-02-07,5.057666778564453,9.28125,9.484375,9.09375,9.40625,1344800
2000-02-08,5.032125949859619,9.234375,9.5,9.15625,9.34375,1170000
2000-02-09,4.981040000915527,9.140625,9.34375,9.140625,9.25,909600
2000-02-10,4.989550590515137,9.15625,9.234375,9.0625,9.140625,1580800
2000-02-11,4.776687145233154,8.765625,9.25,8.71875,9.25,1278800
2000-02-14,4.819258213043213,8.84375,8.96875,8.75,8.78125,1257200
2000-02-15,4.8958892822265625,8.984375,9.078125,8.84375,8.84375,1914800
2000-02-16,5.049154758453369,9.265625,9.265625,9.109375,9.25,1792000
2000-02-17,4.912920951843262,9.015625,9.09375,8.90625,9.0,1058800
2000-02-18,5.551512718200684,10.1875,10.5,9.046875,9.15625,2434800
2000-02-22,5.542998313903809,10.171875,10.171875,9.640625,10.125,2058400
2000-02-23,5.2109293937683105,9.5625,10.15625,9.5625,10.15625,720000
2000-02-24,4.768172740936279,8.75,9.546875,8.6875,9.546875,2075600
2000-02-25,4.7170867919921875,8.65625,8.6875,8.4375,8.5625,2153200
2000-02-28,4.620889186859131,8.40625,8.515625,8.28125,8.515625,1172800
2000-02-29,4.577942848205566,8.328125,8.46875,8.25,8.46875,1358000
2000-03-01,4.655244827270508,8.46875,8.625,8.34375,8.390625,996400
2000-03-02,4.526407718658447,8.234375,8.3125,8.09375,8.25,1185600
2000-03-03,4.758313179016113,8.65625,8.671875,8.203125,8.296875,1090400
2000-03-06,4.534998893737793,8.25,8.59375,8.25,8.53125,849600
2000-03-07,4.3030924797058105,7.828125,8.40625,7.8125,8.390625,852400
2000-03-08,4.26873779296875,7.765625,8.0,7.53125,7.953125,1096400
2000-03-09,4.397572994232178,8.0,8.0625,7.6875,7.859375,651600
2000-03-10,4.397572994232178,8.0,8.0625,7.703125,7.75,1124000
2000-03-13,4.320272445678711,7.859375,7.875,7.640625,7.875,709200
2000-03-14,4.328861236572266,7.875,8.109375,7.8125,7.921875,1020800
2000-03-15,4.603710174560547,8.375,8.5,7.75,7.765625,1501200
2000-03-16,5.110462188720703,9.296875,9.3125,8.453125,8.484375,1659200
2000-03-17,4.887147903442383,8.890625,9.296875,8.703125,9.296875,1426800
2000-03-20,4.938678741455078,8.984375,9.265625,8.953125,9.125,1358800
2000-03-21,5.119049549102783,9.3125,9.5,8.96875,9.109375,1124000
2000-03-22,5.0503411293029785,9.1875,9.3125,9.046875,9.3125,839200
2000-03-23,5.256473064422607,9.5625,9.625,9.125,9.125,1117600
2000-03-24,5.239297389984131,9.53125,9.765625,9.390625,9.5625,1267600
2000-03-27,5.2822418212890625,9.609375,9.75,9.34375,9.625,1250000
