Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,33.04976272583008,46.1875,48.1875,45.125,48.125,886900
2000-01-04,30.99250030517578,43.3125,45.3125,42.875,45.25,1221700
2000-01-05,30.276948928833008,42.3125,43.375,41.75,43.3125,1361900
2000-01-06,31.663354873657227,44.25,44.4375,42.0625,42.3125,2482300
2000-01-07,32.55778884887695,45.5,46.1875,43.125,44.25,1206500
2000-01-10,32.1552848815918,44.9375,46.0625,44.875,45.5,855800
2000-01-11,31.126684188842773,43.5,45.5,43.25,44.75,1511400
2000-01-12,31.529190063476562,44.0625,44.5,43.375,43.5,1151400
2000-01-13,32.33417510986328,45.1875,45.4375,43.9375,44.375,417700
2000-01-14,33.496952056884766,46.8125,48.0,45.875,46.1875,1260600
2000-01-18,30.411117553710938,42.5,45.3125,42.0,44.0,2612600
2000-01-19,31.037229537963867,43.375,43.8125,42.75,43.75,1942600
2000-01-20,30.3216609954834,42.375,43.5,42.0,43.1875,1163600
2000-01-21,29.606121063232422,41.375,43.25,40.8125,43.1875,1324500
2000-01-24,29.427228927612305,41.125,41.5,40.875,41.3125,1058900
2000-01-25,28.666955947875977,40.0625,41.0625,40.0,41.0,986100
2000-01-26,30.008623123168945,41.9375,42.625,40.125,40.125,1009300
2000-01-27,29.6955623626709,41.5,43.125,40.6875,42.0,1583200
2000-01-28,28.666955947875977,40.0625,41.25,39.8125,41.25,539500
2000-01-31,29.337785720825195,41.0,41.1875,39.1875,39.25,500800
2000-02-01,28.75640869140625,40.1875,41.5625,40.0,41.5,628200
2000-02-02,28.488073348999023,39.8125,40.8125,39.25,40.75,534400
2000-02-03,27.996116638183594,39.125,40.8125,38.625,40.5,865700
2000-02-04,27.5936222076416,38.5625,40.125,38.5,40.125,611000
2000-02-07,27.165414810180664,37.9375,39.3125,37.375,38.4375,910600
2000-02-08,26.76264190673828,37.375,38.75,36.9375,38.375,1017700
2000-02-09,25.0620059967041,35.0,37.0625,34.8125,37.0,1668300
2000-02-10,23.987916946411133,33.5,35.4375,33.0,35.0,2143700
2000-02-11,24.07741928100586,33.625,34.0625,32.5,33.5,1962100
2000-02-14,24.480213165283203,34.1875,34.25,33.0,33.375,1369200
2000-02-15,26.53887176513672,37.0625,37.3125,34.0625,34.4375,1852600
2000-02-16,26.852161407470703,37.5,39.1875,37.0,38.25,2593200
2000-02-17,26.315105438232422,36.75,37.9375,36.625,37.75,1183700
2000-02-18,24.70396614074707,34.5,36.1875,33.25,36.0,1183400
2000-02-22,24.30118179321289,33.9375,36.0,32.8125,35.4375,1872400
2000-02-23,23.67464828491211,33.0625,35.0,32.75,35.0,1563500
2000-02-24,24.793476104736328,34.625,34.9375,32.0625,33.25,2271300
2000-02-25,25.464780807495117,35.5625,35.9375,34.3125,34.6875,1607900
2000-02-28,27.12067413330078,37.875,38.1875,35.4375,35.4375,2347300
2000-02-29,26.359859466552734,36.8125,38.125,36.375,38.0,1971000
2000-03-01,26.986400604248047,37.6875,38.1875,36.75,36.875,1075000
2000-03-02,26.359859466552734,36.8125,38.1875,36.5,37.75,1184200
2000-03-03,27.165414810180664,37.9375,39.3125,37.4375,38.5,979700
2000-03-06,26.53887176513672,37.0625,39.0,36.75,38.125,667000
2000-03-07,24.838233947753906,34.6875,36.875,34.5,36.875,1258900
2000-03-08,25.19626808166504,35.1875,35.4375,33.875,34.4375,1093200
2000-03-09,26.27036476135254,36.6875,38.0,34.75,35.375,1716000
2000-03-10,26.359859466552734,36.8125,36.9375,35.875,36.0,870500
2000-03-13,27.031166076660156,37.75,37.75,36.25,36.5625,1098000
2000-03-14,27.299684524536133,38.125,38.625,37.75,37.75,1104400
2000-03-15,29.26885223388672,40.875,41.75,37.8125,38.125,2730900
2000-03-16,33.34141540527344,46.5625,46.625,42.125,42.25,3991800
2000-03-17,32.80435562133789,45.8125,48.375,45.75,46.9375,2357800
2000-03-20,29.761117935180664,41.5625,44.9375,41.25,44.75,1647800
2000-03-21,31.506515502929688,44.0,44.4375,41.5,41.75,1541000
2000-03-22,33.117652893066406,46.25,46.625,44.0625,44.1875,1022200
2000-03-23,32.80435562133789,45.8125,46.625,45.125,46.125,1154500
2000-03-24,32.26731872558594,45.0625,46.8125,44.625,46.0,855300
2000-03-27,31.86454200744629,44.5,45.0625,43.3125,45.0625,753100
2000-03-28,32.49109649658203,45.375,46.375,44.4375,44.5625,849000
2000-03-29,32.40160369873047,45.25,46.0625,44.0,45.625,799300
2000-03-30,33.2071647644043,46.375,46.9375,45.125,45.375,932400
2000-03-31,34.325984954833984,47.9375,48.8125,45.6875,46.4375,973000
2000-04-03,35.08681106567383,49.0,49.6875,47.6875,47.6875,1323700
2000-04-04,33.34141540527344,46.5625,49.375,44.125,49.0,1281100
2000-04-05,33.16239929199219,46.3125,47.5625,46.25,46.75,811700
2000-04-06,33.565189361572266,46.875,48.0625,46.4375,46.4375,821800
2000-04-07,33.833709716796875,47.25,47.6875,46.8125,47.5,532900
2000-04-10,34.460269927978516,48.125,49.0625,47.1875,47.5,556300
2000-04-11,35.26581954956055,49.25,49.875,48.5625,48.625,1010500
2000-04-12,35.981876373291016,50.25,53.0,48.875,49.0,2209200
2000-04-13,33.43092727661133,46.6875,50.25,45.5,50.25,1712800
2000-04-14,30.700952529907227,42.875,45.125,42.25,44.1875,2165100
2000-04-17,30.790449142456055,43.0,43.875,42.3125,42.6875,1487300
2000-04-18,32.26731872558594,45.0625,45.375,42.625,43.0,1073600
2000-04-19,32.58059310913086,45.5,45.8125,44.875,45.5,622800
2000-04-20,33.87845230102539,47.3125,47.4375,44.875,45.5,651100
2000-04-24,33.74419403076172,47.125,48.875,46.4375,47.3125,866700
2000-04-25,34.9973030090332,48.875,49.1875,46.5,47.1875,980400
2000-04-26,34.28125,47.875,49.25,47.6875,49.0,662600
2000-04-27,33.02814483642578,46.125,47.1875,45.25,47.1875,1184100
2000-04-28,31.327476501464844,43.75,44.9375,42.8125,44.5,1348100
2000-05-01,32.22257995605469,45.0,45.875,42.25,42.5,772400
2000-05-02,32.49109649658203,45.375,45.875,44.3125,44.8125,647700
2000-05-03,30.387664794921875,42.4375,45.125,42.125,45.125,878200
2000-05-04,29.224088668823242,40.8125,42.4375,40.25,42.4375,1004200
2000-05-05,28.552791595458984,39.875,40.625,39.6875,40.625,1329100
2000-05-08,30.184341430664062,42.125,43.125,39.375,39.5,1293300
2000-05-09,30.005218505859375,41.875,43.6875,41.3125,42.4375,718400
2000-05-10,29.423017501831055,41.0625,42.25,41.0,41.9375,667300
2000-05-11,31.080034255981445,43.375,44.0625,42.125,42.75,894200
2000-05-12,31.259170532226562,43.625,44.8125,42.8125,44.0,743200
2000-05-15,32.042869567871094,44.71875,45.40625,43.375,43.75,752100
2000-05-16,32.60267639160156,45.5,46.3125,45.1875,45.75,702500
2000-05-17,31.52785873413086,44.0,44.625,43.6875,44.375,398700
2000-05-18,32.781803131103516,45.75,46.0,43.9375,44.0,732500
2000-05-19,31.52785873413086,44.0,45.0625,42.75,44.875,688900
2000-05-22,31.438295364379883,43.875,44.1875,42.875,44.125,448600
2000-05-23,32.110069274902344,44.8125,45.3125,44.0,44.375,477100
2000-05-24,32.154850006103516,44.875,46.9375,44.5,45.4375,966300
2000-05-25,32.423561096191406,45.25,45.75,44.625,44.875,912200
2000-05-26,32.199607849121094,44.9375,45.625,44.8125,45.0,635600
2000-05-30,33.095298767089844,46.1875,47.5,45.25,45.5,1045900
2000-05-31,33.85663604736328,47.25,47.4375,46.375,46.75,1799800
2000-06-01,34.864261627197266,48.65625,49.0,47.0,47.0,2195100
2000-06-02,36.72279739379883,51.25,52.375,50.3125,50.375,1517000
2000-06-05,36.0958137512207,50.375,50.6875,49.5625,50.375,1329000
2000-06-06,35.60320281982422,49.6875,50.5,49.4375,50.5,1304300
2000-06-07,36.051025390625,50.3125,50.6875,49.625,49.6875,465000
2000-06-08,35.424076080322266,49.4375,50.25,48.875,50.25,573500
2000-06-09,34.88664627075195,48.6875,50.625,48.375,49.8125,356100
2000-06-12,35.647979736328125,49.75,49.9375,47.875,48.0,912600
2000-06-13,36.14060974121094,50.4375,50.625,49.6875,49.8125,474100
2000-06-14,37.86479187011719,52.84375,53.75,50.875,50.875,1155700
2000-06-15,36.006256103515625,50.25,52.25,49.5625,52.25,893800
2000-06-16,34.7523078918457,48.5,50.25,46.5,50.25,1252200
2000-06-19,34.12532424926758,47.625,48.875,47.125,48.375,1050400
2000-06-20,33.6774787902832,47.0,48.5,46.25,47.75,1466600
2000-06-21,33.14009475708008,46.25,46.5625,45.1875,45.25,1047200
2000-06-22,31.841337203979492,44.4375,46.375,43.5,46.375,1735700
2000-06-23,31.48307991027832,43.9375,44.9375,43.8125,44.4375,1015500
2000-06-26,31.886131286621094,44.5,45.125,43.875,44.1875,790200
2000-06-27,32.781803131103516,45.75,46.3125,44.6875,44.875,1100300
2000-06-28,33.3975830078125,46.609375,47.1875,45.75,46.375,996400
2000-06-29,32.96094512939453,46.0,46.25,44.875,45.75,1436400
2000-06-30,31.975690841674805,44.625,46.25,44.5,45.875,882300
2000-07-03,32.51311111450195,45.375,45.4375,44.625,45.0,263800
2000-07-05,32.64745330810547,45.5625,46.8125,44.9375,45.375,652900
2000-07-06,34.394039154052734,48.0,48.0,45.25,45.4375,900800
2000-07-07,35.28971862792969,49.25,50.4375,47.8125,48.0,973900
2000-07-10,35.46884536743164,49.5,49.8125,48.5,49.0,477600
2000-07-11,35.424076080322266,49.4375,49.875,48.9375,49.25,750300
2000-07-12,35.46884536743164,49.5,50.125,49.1875,49.5,1025600
2000-07-13,36.76757049560547,51.3125,52.625,50.875,51.375,1507700
2000-07-14,36.54366683959961,51.0,51.9375,50.5625,51.25,1026100
2000-07-17,35.98386001586914,50.21875,50.8125,49.8125,50.75,635400
2000-07-18,37.57370376586914,52.4375,52.9375,50.5,50.75,751600
2000-07-19,38.15589904785156,53.25,53.5,52.25,52.5,722000
2000-07-20,39.768096923828125,55.5,56.0,52.9375,53.25,1457400
2000-07-21,39.99203872680664,55.8125,56.375,55.375,55.75,1204000
2000-07-24,38.648494720458984,53.9375,57.5,53.25,56.625,1593100
2000-07-25,38.917213439941406,54.3125,54.4375,53.3125,53.9375,645900
2000-07-26,38.15589904785156,53.25,54.625,52.6875,54.4375,1048100
2000-07-27,40.529415130615234,56.5625,57.125,53.25,53.375,1120100
2000-07-28,40.70855712890625,56.8125,56.8125,55.375,56.625,1465000
2000-07-31,41.98490524291992,58.59375,59.25,56.9375,57.0,1475100
2000-08-01,41.245967864990234,57.5625,58.0,55.75,58.0,2210500
2000-08-02,39.81288146972656,55.5625,57.75,54.625,57.5625,1176700
2000-08-03,40.39507293701172,56.375,56.875,54.3125,55.5,1518900
2000-08-04,42.186439514160156,58.875,58.9375,56.1875,56.375,2039300
2000-08-07,41.847354888916016,58.375,58.6875,57.375,58.625,1064300
2000-08-08,41.399314880371094,57.75,59.25,57.5625,58.3125,966800
2000-08-09,40.458412170410156,56.4375,57.6875,55.625,57.6875,1127300
2000-08-10,40.055179595947266,55.875,57.0,55.5,56.4375,351100
2000-08-11,40.63764953613281,56.6875,57.0,55.0,55.875,584600
2000-08-14,41.175289154052734,57.4375,57.6875,56.0,56.75,497800
2000-08-15,39.159080505371094,54.625,57.25,54.375,57.1875,796900
2000-08-16,39.472713470458984,55.0625,55.5625,54.875,55.0,732100
2000-08-17,39.763946533203125,55.46875,55.75,54.6875,55.0,524900
2000-08-18,39.38309860229492,54.9375,55.375,54.5625,55.3125,484000
2000-08-21,40.50322723388672,56.5,56.8125,54.875,55.125,810100
2000-08-22,41.623329162597656,58.0625,58.6875,56.875,57.0,1016700
2000-08-23,41.623329162597656,58.0625,58.6875,57.3125,58.1875,811800
2000-08-24,42.38501739501953,59.125,59.125,57.9375,58.0,828900
2000-08-25,41.75774002075195,58.25,58.875,58.0625,58.625,412700
2000-08-28,42.87784957885742,59.8125,60.625,58.25,58.3125,1158000
2000-08-29,43.10187911987305,60.125,60.5,58.625,60.0625,831800
2000-08-30,42.788246154785156,59.6875,60.5625,59.1875,59.75,502700
2000-08-31,43.24747848510742,60.328125,61.625,59.6875,59.6875,861200
2000-09-01,43.10187911987305,60.125,61.5625,59.625,61.5625,709600
2000-09-05,43.81873321533203,61.125,62.4375,60.125,60.125,1144300
2000-09-06,44.84923553466797,62.5625,63.5,61.75,62.125,1383200
2000-09-07,45.8797607421875,64.0,65.0,61.875,62.5,1982600
2000-09-08,46.70861053466797,65.15625,65.875,63.6875,64.4375,1156300
2000-09-11,47.08946990966797,65.6875,66.125,64.8125,65.4375,1561500
2000-09-12,47.134281158447266,65.75,65.875,64.5625,65.25,1147100
2000-09-13,47.313514709472656,66.0,66.6875,65.125,65.25,1431300
2000-09-14,46.14857482910156,64.375,66.5625,64.125,66.125,1191200
2000-09-15,45.8797607421875,64.0,66.0,63.8125,64.375,1349700
2000-09-18,44.17718505859375,61.625,64.6875,61.625,64.5,1583300
2000-09-19,45.02846908569336,62.8125,63.9375,61.5,61.875,1206000
2000-09-20,44.8044548034668,62.5,63.0,60.75,62.8125,752400
2000-09-21,45.74533462524414,63.8125,63.8125,61.125,62.25,1127900
2000-09-22,46.955047607421875,65.5,65.5,62.8125,63.5625,1567800
2000-09-25,49.240116119384766,68.6875,69.5,66.5,67.0,2364600
2000-09-26,47.918357849121094,66.84375,70.625,66.4375,70.0,1514400
2000-09-27,49.15048599243164,68.5625,69.0625,67.0,67.125,978200
2000-09-28,51.21149444580078,71.4375,71.75,69.0625,69.3125,1127200
2000-09-29,50.22580337524414,70.0625,71.3125,69.5625,71.1875,1237600
2000-10-02,50.539398193359375,70.5,70.875,68.0625,69.875,835000
2000-10-03,50.8978385925293,71.0,73.25,70.0,71.375,1763400
2000-10-04,51.077049255371094,71.25,72.625,69.875,70.25,1291600
2000-10-05,51.435516357421875,71.75,73.1875,71.25,71.25,1291300
2000-10-06,47.537498474121094,66.3125,69.875,64.0625,69.875,2270400
2000-10-09,47.80632781982422,66.6875,67.0625,65.1875,66.3125,1224900
2000-10-10,45.61091995239258,63.625,66.75,62.75,66.625,1881200
2000-10-11,46.86546325683594,65.375,65.6875,62.125,63.0,2046200
2000-10-12,44.35639953613281,61.875,67.0,61.4375,66.25,2309700
2000-10-13,48.568016052246094,67.75,67.875,61.125,61.75,1199500
2000-10-16,50.00176239013672,69.75,70.6875,68.375,68.5,1345100
2000-10-17,47.35829162597656,66.0625,70.75,65.25,70.25,1523200
2000-10-18,48.2543830871582,67.3125,68.5,62.5625,62.5625,1355700
2000-10-19,49.2849235534668,68.75,70.4375,68.125,68.625,1494000
2000-10-20,49.01607894897461,68.375,68.625,67.5625,68.25,1428500
2000-10-23,47.134281158447266,65.75,67.5625,63.8125,67.5,1628600
2000-10-24,46.0589599609375,64.25,68.375,64.125,66.25,1976800
2000-10-25,43.19149398803711,60.25,62.0,58.25,62.0,2658600
2000-10-26,42.20579147338867,58.875,58.875,51.8125,58.375,5543900
2000-10-27,43.415496826171875,60.5625,61.375,56.5,58.875,2582600
2000-10-30,44.670047760009766,62.3125,63.625,60.375,60.6875,1022600
2000-10-31,45.252471923828125,63.125,63.5,59.875,61.75,1237600
2000-11-01,44.31159591674805,61.8125,62.75,60.75,62.75,860700
2000-11-02,45.162879943847656,63.0,63.3125,61.375,61.9375,808400
2000-11-03,44.04277038574219,61.4375,63.0,60.4375,63.0,638900
2000-11-06,45.89992141723633,64.0,64.375,60.1875,61.5,924500
2000-11-07,46.124046325683594,64.3125,65.75,63.5625,64.0,976700
2000-11-08,45.8551025390625,63.9375,64.375,62.3125,64.3125,860500
2000-11-09,44.46556091308594,62.0,64.8125,61.0,62.5,1461800
2000-11-10,42.448463439941406,59.1875,61.75,58.625,61.75,1032200
2000-11-13,40.52104187011719,56.5,59.75,54.0625,58.625,2427200
2000-11-14,41.50716018676758,57.875,59.4375,56.0625,57.9375,1693200
2000-11-15,40.969276428222656,57.125,59.375,56.1875,57.0625,1812100
2000-11-16,39.669368743896484,55.3125,57.6875,55.3125,56.5,1425600
2000-11-17,37.65229034423828,52.5,55.375,51.875,53.875,2747500
2000-11-20,35.54553985595703,49.5625,52.0625,45.875,52.0,3787900
2000-11-21,35.68001174926758,49.75,51.4375,46.5625,48.5,3667300
2000-11-22,34.738704681396484,48.4375,51.5,48.375,51.5,1790800
2000-11-24,35.59037780761719,49.625,49.8125,48.5,48.5,517300
2000-11-27,38.68323516845703,53.9375,54.625,51.8125,52.0,2096100
2000-11-28,38.27980041503906,53.375,54.875,53.0625,54.0,1728200
2000-11-29,40.431373596191406,56.375,56.625,53.5,53.625,1779400
2000-11-30,40.027976989746094,55.8125,57.25,54.0625,55.5625,2596500
2000-12-01,40.789947509765625,56.875,57.875,56.0,56.0625,1701800
2000-12-04,38.817710876464844,54.125,55.0625,52.9375,54.75,2186200
2000-12-05,42.448463439941406,59.1875,59.8125,54.3125,54.9375,2366000
2000-12-06,41.8209114074707,58.3125,62.375,57.875,58.5,2304800
2000-12-07,41.5968017578125,58.0,59.75,57.5,58.0,1553400
2000-12-08,42.58293914794922,59.375,60.1875,58.8125,59.8125,1330100
2000-12-11,43.47941589355469,60.625,61.4375,59.0625,59.4375,846800
2000-12-12,42.762245178222656,59.625,60.6875,59.0,60.625,857200
2000-12-13,41.64164733886719,58.0625,60.625,58.0625,60.25,1085200
2000-12-14,41.551971435546875,57.9375,58.6875,56.5,58.125,1711000
2000-12-15,41.41748809814453,57.75,58.5,56.75,57.9375,1893200
2000-12-18,43.434608459472656,60.5625,61.4375,59.0,59.25,1548300
2000-12-19,42.045047760009766,58.625,61.5625,58.375,60.3125,1354400
2000-12-20,42.17951583862305,58.8125,59.1875,56.875,58.0,1289800
2000-12-21,42.58293914794922,59.375,60.125,57.6875,59.125,1200500
2000-12-22,44.24142837524414,61.6875,61.9375,60.0,60.125,1065600
