Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,2.4841432571411133,3.890625,3.9375,3.8125,3.875,2784800
2000-01-04,2.314542293548584,3.625,3.703125,3.5,3.6875,944000
2000-01-05,2.49411940574646,3.90625,4.046875,3.625,3.65625,810400
2000-01-06,2.6836729049682617,4.203125,4.28125,3.828125,4.0,2695200
2000-01-07,3.0328497886657715,4.75,4.75,4.15625,4.203125,2543600
2000-01-10,3.112661838531494,4.875,5.15625,4.75,4.75,2534400
2000-01-11,3.2124264240264893,5.03125,5.125,4.890625,4.96875,2545200
2000-01-12,3.2124264240264893,5.03125,5.03125,4.90625,5.03125,1085600
2000-01-13,3.7810864448547363,5.921875,5.953125,5.03125,5.03125,2248000
2000-01-14,3.541649341583252,5.546875,5.828125,5.4375,5.75,2403200
2000-01-18,3.3920037746429443,5.3125,5.484375,5.25,5.3125,3676400
2000-01-19,3.401979446411133,5.328125,5.375,5.265625,5.3125,1015200
2000-01-20,3.222402334213257,5.046875,5.25,5.0,5.234375,1674000
2000-01-21,3.0727555751800537,4.8125,4.9375,4.6875,4.90625,1384000
2000-01-24,3.102684736251831,4.859375,4.96875,4.78125,4.875,857600
2000-01-25,2.9929442405700684,4.6875,4.859375,4.5625,4.859375,672400
2000-01-26,2.8931796550750732,4.53125,4.6875,4.46875,4.6875,621200
2000-01-27,2.9929442405700684,4.6875,4.875,4.53125,4.5625,3402800
2000-01-28,2.9929442405700684,4.6875,4.78125,4.640625,4.75,1545200
2000-01-31,2.8931796550750732,4.53125,4.703125,4.515625,4.6875,588400
2000-02-01,2.9829673767089844,4.671875,5.046875,4.59375,4.9375,1546800
2000-02-02,3.0128965377807617,4.71875,4.78125,4.609375,4.609375,1564400
2000-02-03,2.9929442405700684,4.6875,4.71875,4.625,4.6875,1324800
2000-02-04,2.9430599212646484,4.609375,4.6875,4.53125,4.6875,707200
2000-02-07,2.9231088161468506,4.578125,4.59375,4.53125,4.546875,528000
2000-02-08,2.85327410697937,4.46875,4.59375,4.4375,4.59375,696800
2000-02-09,2.753509521484375,4.3125,4.40625,4.125,4.40625,1449600
2000-02-10,2.723578691482544,4.265625,4.3125,4.1875,4.28125,602400
2000-02-11,2.633790969848633,4.125,4.265625,4.078125,4.265625,580800
2000-02-14,2.613837718963623,4.09375,4.21875,4.0,4.21875,891600
2000-02-15,2.5340263843536377,3.96875,4.09375,3.921875,4.09375,2719600
2000-02-16,2.5440030097961426,3.984375,4.0,3.9375,3.953125,2016400
2000-02-17,2.673696994781494,4.1875,4.1875,3.953125,3.984375,1334800
2000-02-18,2.504096269607544,3.921875,4.1875,3.859375,4.1875,10545600
2000-02-22,2.514073133468628,3.9375,4.0,3.890625,3.9375,1415600
2000-02-23,2.4741666316986084,3.875,3.9375,3.84375,3.9375,662000
2000-02-24,2.3943545818328857,3.75,3.859375,3.734375,3.859375,1079200
2000-02-25,2.2347309589385986,3.5,3.703125,3.4375,3.671875,1997600
2000-02-28,2.314542293548584,3.625,3.625,3.4375,3.5,2859200
2000-02-29,2.324519634246826,3.640625,3.65625,3.609375,3.625,3308000
2000-03-01,2.374403715133667,3.71875,3.78125,3.640625,3.65625,1371600
2000-03-02,2.3843791484832764,3.734375,3.765625,3.71875,3.734375,1092800
2000-03-03,2.2846133708953857,3.578125,3.734375,3.5,3.71875,1521200
