Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,9.41077995300293,22.25,23.0,22.0,23.0,14200
2000-01-04,9.19930648803711,21.75,22.0,21.625,22.0,16300
2000-01-05,9.305042266845703,22.0,22.25,21.5,22.25,5400
2000-01-06,9.19930648803711,21.75,22.0,21.75,22.0,9200
2000-01-07,9.595827102661133,22.6875,23.125,21.75,22.0,10600
2000-01-10,9.437217712402344,22.3125,22.59375,22.0625,22.5,8200
2000-01-11,10.045217514038086,23.75,23.75,22.25,22.3125,4900
2000-01-12,9.490086555480957,22.4375,23.0,21.3125,23.0,6100
2000-01-13,9.41077995300293,22.25,23.0,21.8125,22.4375,30700
2000-01-14,9.463648796081543,22.375,22.5,22.0625,22.25,42300
2000-01-18,9.569389343261719,22.625,22.75,22.375,22.375,11300
2000-01-19,9.119997024536133,21.5625,22.125,21.5625,22.125,11800
2000-01-20,8.51199722290039,20.125,21.625,20.125,21.625,11300
2000-01-21,8.45913028717041,20.0,20.375,19.875,20.375,24900
2000-01-24,8.6177396774292,20.375,20.5,20.375,20.5,8600
2000-01-25,8.35339069366455,19.75,20.375,19.625,20.375,27100
2000-01-26,8.35339069366455,19.75,20.0,19.375,20.0,14600
2000-01-27,8.35339069366455,19.75,19.75,19.0,19.75,15700
2000-01-28,8.247653007507324,19.5,19.625,19.0,19.625,12100
2000-01-31,7.983300685882568,18.875,19.5,18.75,19.5,19200
2000-02-01,8.036174774169922,19.0,19.5,18.5,19.5,11500
2000-02-02,8.036174774169922,19.0,19.125,18.5,19.125,14200
2000-02-03,8.141910552978516,19.25,19.25,18.875,18.875,13100
2000-02-04,8.089044570922852,19.125,19.125,18.5,18.5,9100
2000-02-07,8.036174774169922,19.0,19.25,18.75,19.125,14300
2000-02-08,7.771826267242432,18.375,18.75,18.25,18.75,19100
2000-02-09,7.718954086303711,18.25,18.5,18.0,18.5,28800
2000-02-10,7.613218307495117,18.0,18.25,17.5,18.25,10200
2000-02-11,7.295998573303223,17.25,18.0,17.25,18.0,20900
2000-02-14,7.190258502960205,17.0,17.75,16.0,17.5,31600
2000-02-15,7.560345649719238,17.875,18.0,17.0,17.5,12800
2000-02-16,7.401740074157715,17.5,18.125,17.25,18.125,18600
2000-02-17,7.771826267242432,18.375,18.5,18.0,18.0,19200
2000-02-18,7.877563953399658,18.625,18.875,18.0,18.875,16300
2000-02-22,7.507478713989258,17.75,18.75,17.75,18.75,13900
2000-02-23,7.930431842803955,18.75,18.75,17.75,18.5,20900
2000-02-24,7.401740074157715,17.5,18.5,17.5,17.875,7500
2000-02-25,7.348867416381836,17.375,18.125,17.375,18.125,25400
2000-02-28,7.190258502960205,17.0,17.875,16.25,17.875,90000
2000-02-29,7.401740074157715,17.5,17.5,16.75,17.5,26300
2000-03-01,7.348867416381836,17.375,18.0,17.375,17.375,14500
2000-03-02,7.481043815612793,17.6875,18.0,17.375,17.375,15100
2000-03-03,7.507478713989258,17.75,18.0,17.375,17.6875,12300
2000-03-06,7.454610347747803,17.625,17.875,17.4375,17.65625,9300
2000-03-07,7.454610347747803,17.625,17.875,17.625,17.625,9900
2000-03-08,7.565857410430908,17.75,17.875,17.3125,17.875,2800
2000-03-09,7.565857410430908,17.75,18.0,17.25,17.625,67600
2000-03-10,7.43265438079834,17.4375,17.75,17.375,17.375,7800
2000-03-13,7.246173858642578,17.0,17.375,16.0,17.375,37400
2000-03-14,7.565857410430908,17.75,17.75,17.0,17.5,25200
2000-03-15,7.246173858642578,17.0,17.375,16.5,16.5,8800
2000-03-16,7.512577056884766,17.625,18.25,17.375,17.5,5200
2000-03-17,8.684751510620117,20.375,20.375,18.125,18.875,18900
2000-03-20,8.311786651611328,19.5,20.25,19.0,20.25,9700
2000-03-21,8.205229759216309,19.25,20.25,19.25,19.75,12900
2000-03-22,8.524909973144531,20.0,20.5,19.125,19.25,8500
2000-03-23,8.098662376403809,19.0,19.5,18.625,19.5,4000
2000-03-24,8.205229759216309,19.25,19.75,18.5,19.625,4700
2000-03-27,7.992101669311523,18.75,19.75,18.5,19.5,6400
2000-03-28,8.25850772857666,19.375,19.5,19.0,19.5,8400
2000-03-29,8.205229759216309,19.25,19.5,19.0,19.5,11300
2000-03-30,7.938823223114014,18.625,19.0,18.0,19.0,5900
2000-03-31,7.8855438232421875,18.5,18.5,18.0,18.5,9700
2000-04-03,7.938823223114014,18.625,18.75,18.125,18.25,3300
2000-04-04,8.045381546020508,18.875,19.75,18.875,19.375,6800
2000-04-05,8.524909973144531,20.0,20.0,18.875,19.75,6100
2000-04-06,8.738035202026367,20.5,20.5,19.625,20.0,13500
2000-04-07,8.12530517578125,19.0625,20.125,19.0,19.625,7800
2000-04-10,7.725698947906494,18.125,18.875,18.125,18.6875,5400
2000-04-11,8.25850772857666,19.375,19.375,18.25,19.125,2800
2000-04-12,8.098662376403809,19.0,19.875,19.0,19.625,6400
2000-04-13,8.471630096435547,19.875,19.875,19.0,19.875,7500
2000-04-14,8.365067481994629,19.625,19.625,19.0,19.625,5100
2000-04-17,7.778980731964111,18.25,19.625,18.25,19.625,6800
2000-04-18,8.098662376403809,19.0,19.0,18.25,18.5,7600
2000-04-19,7.672418117523193,18.0,19.0,17.875,19.0,11000
2000-04-20,7.459294319152832,17.5,18.0,17.5,17.75,7000
