Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,14.035309791564941,28.78125,28.78125,28.15625,28.4375,2246800
2000-01-04,13.867679595947266,28.4375,28.78125,28.40625,28.75,1708200
2000-01-05,14.126747131347656,28.96875,29.125,28.40625,28.4375,2190200
2000-01-06,14.522969245910645,29.78125,30.0,28.6875,28.75,2593200
2000-01-07,15.178255081176758,31.125,31.34375,29.875,30.25,2663200
2000-01-10,14.385812759399414,29.5,31.03125,29.3125,31.0,2557000
2000-01-11,14.355332374572754,29.4375,30.0,29.3125,29.375,1895000
2000-01-12,14.553439140319824,29.84375,30.1875,29.5,29.53125,1361200
2000-01-13,14.995382308959961,30.75,31.09375,29.875,29.96875,2131800
2000-01-14,14.85822868347168,30.46875,30.875,30.4375,30.6875,2687600
2000-01-18,14.675359725952148,30.09375,30.375,29.6875,30.34375,2101600
2000-01-19,15.041099548339844,30.84375,31.1875,30.1875,30.21875,2323600
2000-01-20,14.73631477355957,30.21875,31.1875,30.15625,30.9375,2345000
2000-01-21,14.644888877868652,30.03125,30.28125,29.8125,29.875,2468600
2000-01-24,14.172457695007324,29.0625,30.15625,28.875,30.15625,2503800
2000-01-25,13.94387435913086,28.59375,29.0,28.5625,28.8125,1917400
2000-01-26,13.776243209838867,28.25,28.75,27.90625,28.71875,2555000
2000-01-27,13.578137397766113,27.84375,28.75,27.625,28.25,2657000
2000-01-28,13.654333114624023,28.0,28.5,27.625,27.8125,3268000
2000-01-31,13.425741195678711,27.53125,28.03125,27.53125,27.75,1994200
2000-02-01,13.319073677062988,27.3125,27.71875,27.1875,27.5625,2353000
2000-02-02,13.044766426086426,26.75,27.46875,26.75,27.4375,3647600
2000-02-03,13.197158813476562,27.0625,27.71875,26.3125,26.3125,3129800
2000-02-04,12.618064880371094,25.875,26.875,25.71875,26.625,4791600
2000-02-07,12.17612361907959,24.96875,25.53125,24.65625,25.125,4253800
2000-02-08,12.160886764526367,24.9375,25.4375,24.78125,25.0,4255000
2000-02-09,11.70371150970459,24.0,24.90625,23.96875,24.8125,3230000
2000-02-10,11.383686065673828,23.34375,24.21875,23.03125,24.03125,4165200
2000-02-11,11.307494163513184,23.1875,23.71875,23.09375,23.46875,3386000
2000-02-14,11.307494163513184,23.1875,23.375,22.84375,23.3125,2457000
2000-02-15,11.673233032226562,23.9375,24.21875,22.875,23.0625,4507000
2000-02-16,12.00684928894043,24.4375,24.65625,23.5625,23.84375,2960000
2000-02-17,12.129680633544922,24.6875,24.78125,24.25,24.75,4165600
2000-02-18,12.283224105834961,25.0,25.5625,24.53125,24.71875,3859000
2000-02-22,12.191095352172852,24.8125,25.3125,24.53125,24.625,2932600
2000-02-23,11.930072784423828,24.28125,24.84375,24.1875,24.75,3111800
2000-02-24,11.899370193481445,24.21875,24.625,23.75,24.25,2665200
2000-02-25,11.699766159057617,23.8125,25.03125,23.78125,25.0,2696800
2000-02-28,11.423393249511719,23.25,24.0,23.25,23.8125,2706000
2000-02-29,11.193084716796875,22.78125,23.46875,22.65625,23.25,3848800
2000-03-01,10.96277141571045,22.3125,22.71875,22.09375,22.5,4875000
2000-03-02,10.824580192565918,22.03125,22.375,21.8125,22.0625,3486200
2000-03-03,10.717106819152832,21.8125,22.46875,21.53125,22.03125,3784200
2000-03-06,10.31790542602539,21.0,21.8125,20.75,21.78125,4171000
2000-03-07,10.287201881408691,20.9375,21.375,20.75,21.125,2950600
2000-03-08,10.379321098327637,21.125,21.375,20.65625,21.0625,3992400
2000-03-09,10.195067405700684,20.75,21.125,20.5,21.03125,2809200
