Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,2.5633726119995117,3.875,4.34375,3.75,4.296875,3971200
2000-01-04,2.5633726119995117,3.875,3.90625,3.6875,3.75,5402800
2000-01-05,2.4910192489624023,3.765625,3.875,3.71875,3.8125,3598000
2000-01-06,2.697742462158203,4.078125,4.125,3.734375,3.765625,3956000
2000-01-07,2.666733741760254,4.03125,4.1875,3.984375,4.125,2756400
2000-01-10,2.687406539916992,4.0625,4.0625,3.90625,3.96875,1998800
2000-01-11,2.7080788612365723,4.09375,4.15625,4.0,4.0,2788400
2000-01-12,2.713050127029419,4.09375,4.140625,4.015625,4.078125,2079200
2000-01-13,2.7648255825042725,4.171875,4.234375,4.109375,4.125,4296400
2000-01-14,2.816601037979126,4.25,4.28125,4.140625,4.234375,5099200
2000-01-18,2.8269574642181396,4.265625,4.484375,4.171875,4.3125,3706800
2000-01-19,2.8373117446899414,4.28125,4.453125,4.28125,4.328125,1662400
2000-01-20,2.775181293487549,4.1875,4.28125,4.0,4.265625,4240800
2000-01-21,2.6923394203186035,4.0625,4.328125,4.03125,4.234375,7760000
2000-01-24,2.63020920753479,3.96875,4.046875,3.859375,4.0,5458400
2000-01-25,2.588787317276001,3.90625,4.046875,3.890625,3.96875,5332000
2000-01-26,2.6198532581329346,3.953125,4.0625,3.921875,3.921875,4566400
2000-01-27,2.557723045349121,3.859375,4.03125,3.8125,3.96875,2605200
2000-01-28,2.5266575813293457,3.8125,3.921875,3.796875,3.859375,2298000
2000-01-31,2.63020920753479,3.96875,3.984375,3.765625,3.875,3082800
2000-02-01,2.650919198989868,4.0,4.046875,3.90625,3.9375,2764000
2000-02-02,2.733760356903076,4.125,4.171875,4.0625,4.0625,4101200
2000-02-03,2.671628475189209,4.03125,4.203125,4.03125,4.15625,3419200
2000-02-04,2.5991430282592773,3.921875,4.140625,3.8125,4.015625,2589200
2000-02-07,2.578433036804199,3.890625,4.03125,3.859375,3.984375,3120800
2000-02-08,2.568077325820923,3.875,3.96875,3.828125,3.921875,2361600
2000-02-09,2.495591878890991,3.765625,3.96875,3.71875,3.90625,3786400
2000-02-10,2.63020920753479,3.96875,3.96875,3.765625,3.765625,3636800
2000-02-11,2.588787317276001,3.90625,3.984375,3.8125,3.984375,3043600
2000-02-14,2.609497547149658,3.9375,3.96875,3.828125,3.90625,2067200
2000-02-15,2.6923394203186035,4.0625,4.125,3.921875,3.9375,2679600
