Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,14.902509689331055,30.9375,31.8125,30.0,31.75,42000
2000-01-04,14.393303871154785,29.75,29.875,27.75,29.75,18900
2000-01-05,12.820924758911133,26.5,29.75,26.5,29.0,25600
2000-01-06,13.849024772644043,28.625,28.625,27.0,27.0,12700
2000-01-07,14.030447959899902,29.0,29.5,28.0,28.0,14400
2000-01-10,14.635211944580078,30.25,30.25,28.0,28.25,39600
2000-01-11,14.514257431030273,30.0,30.5,29.3125,29.6875,13400
2000-01-12,14.393303871154785,29.75,30.375,29.625,29.625,18200
2000-01-13,14.695687294006348,30.375,30.5,29.5,29.5,9200
2000-01-14,14.574727058410645,30.125,31.0,30.0,30.5,44800
2000-01-18,14.574727058410645,30.125,31.4375,30.0,30.0,24500
2000-01-19,14.514257431030273,30.0,31.5,29.25,30.0,27600
2000-01-20,14.453781127929688,29.875,30.0,29.125,29.125,19300
2000-01-21,14.514257431030273,30.0,30.5,29.375,29.875,59500
2000-01-24,14.272350311279297,29.5,30.75,29.5,30.0,9400
2000-01-25,15.179502487182617,31.375,31.828125,29.75,29.75,41800
2000-01-26,14.665444374084473,30.3125,31.5,29.25,31.0,18800
2000-01-27,14.151398658752441,29.25,31.0,29.25,29.25,14800
2000-01-28,14.453781127929688,29.875,30.0,29.25,29.25,19100
2000-01-31,14.756166458129883,30.5,30.5,29.25,29.25,19200
2000-02-01,14.514257431030273,30.0,30.125,29.75,29.75,13400
2000-02-02,14.030447959899902,29.0,30.25,28.5,30.125,27600
2000-02-03,14.574727058410645,30.125,30.125,28.5,28.5,20600
2000-02-04,14.151398658752441,29.25,30.25,29.25,29.375,12500
2000-02-07,14.514257431030273,30.0,30.375,29.25,29.25,20800
2000-02-08,14.332828521728516,29.625,30.875,29.5,29.5,12900
2000-02-09,14.332828521728516,29.625,30.375,29.625,29.625,16100
2000-02-10,14.635211944580078,30.25,30.5,29.25,30.0,20900
2000-02-11,14.030447959899902,29.0,29.25,29.0,29.25,13800
2000-02-14,14.030447959899902,29.0,29.0,28.875,28.875,3100
2000-02-15,14.937596321105957,30.875,31.0,29.5,29.5,45300
2000-02-16,14.151398658752441,29.25,30.4375,29.25,30.0,13300
2000-02-17,14.514257431030273,30.0,30.0,29.125,29.125,14900
2000-02-18,14.332828521728516,29.625,29.625,29.125,29.125,700
2000-02-22,14.423535346984863,29.8125,30.3125,29.125,29.125,13800
2000-02-23,14.635211944580078,30.25,30.3125,29.25,29.25,11400
2000-02-24,14.877114295959473,30.75,30.75,29.25,29.25,15600
2000-02-25,14.937596321105957,30.875,30.875,30.125,30.625,5600
2000-02-28,14.869553565979004,30.734375,30.875,30.25,30.25,4300
2000-02-29,14.998066902160645,31.0,31.25,26.25,30.75,107800
2000-03-01,15.149252891540527,31.3125,31.9375,30.0,31.0,68400
2000-03-02,14.998066902160645,31.0,31.5,31.0,31.1875,23000
2000-03-03,14.998066902160645,31.0,31.0,30.5,30.875,29900
2000-03-06,14.756166458129883,30.5,31.25,30.125,30.5,35500
2000-03-07,14.514257431030273,30.0,30.625,30.0,30.625,26900
2000-03-08,14.756166458129883,30.5,31.0,30.0,30.0,37600
2000-03-09,14.937596321105957,30.875,31.25,30.0,30.0,37000
2000-03-10,14.695687294006348,30.375,30.5625,29.875,29.875,18400
2000-03-13,14.514257431030273,30.0,30.625,30.0,30.25,37000
2000-03-14,14.544496536254883,30.0625,30.1875,29.875,30.0,13400
2000-03-15,15.300445556640625,31.625,31.875,29.875,30.0625,56200
2000-03-16,15.058538436889648,31.125,31.9375,30.375,30.375,25200
2000-03-17,15.239972114562988,31.5,32.0,31.5,31.75,17900
2000-03-20,15.028311729431152,31.0625,31.875,31.0,31.875,900
2000-03-21,15.300445556640625,31.625,31.625,31.25,31.25,27400
2000-03-22,15.209729194641113,31.4375,31.75,31.25,31.5,24300
2000-03-23,15.239972114562988,31.5,31.625,31.0,31.0,25700
2000-03-24,15.270207405090332,31.5625,31.609375,31.0625,31.0625,8100
2000-03-27,14.695687294006348,30.375,31.375,30.375,31.0625,6000
2000-03-28,14.937596321105957,30.875,31.0,30.375,30.375,49400
2000-03-29,14.877114295959473,30.75,31.875,30.5,30.8125,16800
2000-03-30,15.360920906066895,31.75,32.0,30.375,30.625,37300
2000-03-31,15.693543434143066,32.4375,32.625,31.625,31.75,75700
2000-04-03,15.723776817321777,32.5,32.625,32.0,32.5,32300
2000-04-04,15.789373397827148,32.5,32.625,31.75,32.5,43800
2000-04-05,15.789373397827148,32.5,32.625,32.125,32.25,32000
2000-04-06,15.424997329711914,31.75,32.875,31.75,32.5625,44300
2000-04-07,15.18208122253418,31.25,32.109375,30.5,31.375,18500
2000-04-10,14.63552188873291,30.125,31.0,29.875,31.0,27700
2000-04-11,14.939172744750977,30.75,30.875,29.875,29.875,62400
2000-04-12,14.939172744750977,30.75,30.75,30.125,30.5625,47200
2000-04-13,14.331883430480957,29.5,30.875,29.5,30.875,18900
2000-04-14,14.21042251586914,29.25,29.75,28.875,29.5,37100
2000-04-17,14.21042251586914,29.25,30.0,27.5,28.75,25700
2000-04-18,13.937150955200195,28.6875,29.0,27.75,28.75,77000
2000-04-19,13.542414665222168,27.875,29.0,27.875,28.375,13900
2000-04-20,13.663869857788086,28.125,28.25,27.5,27.625,26900
2000-04-24,13.542414665222168,27.875,28.0,27.5,27.5,9300
2000-04-25,13.633514404296875,28.0625,28.0625,27.5,27.5,10100
2000-04-26,14.058609008789062,28.9375,29.125,27.75,27.75,15200
2000-04-27,14.149707794189453,29.125,29.125,28.375,28.375,8300
2000-04-28,14.453338623046875,29.75,29.75,28.375,28.375,14700
2000-05-01,13.724603652954102,28.25,28.9375,28.25,28.875,37800
