Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,8.569140434265137,20.6875,20.6875,20.3125,20.5,276400
2000-01-04,8.569140434265137,20.6875,20.875,20.375,20.5,291500
2000-01-05,8.620916366577148,20.8125,21.0,20.5625,20.5625,284400
2000-01-06,8.724472999572754,21.0625,21.3125,20.5625,20.5625,130000
2000-01-07,8.80213737487793,21.25,21.25,20.8125,20.9375,85700
2000-01-10,8.724472999572754,21.0625,21.3125,20.75,21.125,151400
2000-01-11,8.698589324951172,21.0,21.125,21.0,21.0625,299700
2000-01-12,8.750362396240234,21.125,21.125,20.9375,21.0,412000
2000-01-13,8.672699928283691,20.9375,21.125,20.625,21.0625,547700
2000-01-14,8.543253898620605,20.625,21.0,20.625,20.9375,239400
2000-01-18,8.336145401000977,20.125,20.625,20.0,20.625,169600
2000-01-19,8.336145401000977,20.125,20.625,20.0625,20.125,302300
2000-01-20,8.543253898620605,20.625,20.625,20.3125,20.3125,211700
2000-01-21,8.517359733581543,20.5625,20.625,20.375,20.625,158200
2000-01-24,8.18081283569336,19.75,20.4375,19.5625,20.375,957100
2000-01-25,8.232586860656738,19.875,20.0,19.625,19.875,1354700
2000-01-26,8.387922286987305,20.25,20.3125,20.0,20.125,618400
2000-01-27,8.517359733581543,20.5625,20.625,20.25,20.25,407300
2000-01-28,8.46558952331543,20.4375,20.75,20.375,20.5625,178200
2000-01-31,8.491473197937012,20.5,20.5,20.0,20.4375,199600
2000-02-01,8.413809776306152,20.3125,20.5,20.125,20.375,189800
2000-02-02,8.413809776306152,20.3125,20.6875,20.3125,20.3125,652200
2000-02-03,8.46558952331543,20.4375,20.5625,20.25,20.25,189400
2000-02-04,8.36202621459961,20.1875,20.5,20.125,20.4375,124200
2000-02-07,8.36202621459961,20.1875,20.1875,20.0,20.0625,256900
2000-02-08,8.336145401000977,20.125,20.3125,20.0625,20.0625,225400
2000-02-09,8.387922286987305,20.25,20.5,20.0625,20.125,132400
2000-02-10,8.232586860656738,19.875,20.25,19.875,20.0625,163800
2000-02-11,8.02547550201416,19.375,20.0,19.1875,20.0,350900
2000-02-14,7.999591827392578,19.3125,19.5625,19.3125,19.5,577800
2000-02-15,7.947813034057617,19.1875,19.4375,19.1875,19.3125,489100
2000-02-16,7.8442583084106445,18.9375,19.25,18.5,19.1875,1361000
2000-02-17,7.947813034057617,19.1875,19.4375,18.75,19.0,266900
2000-02-18,7.8442583084106445,18.9375,19.0625,18.875,19.0,254000
2000-02-22,7.637147903442383,18.4375,19.0,18.4375,18.9375,246300
2000-02-23,7.766591548919678,18.75,18.75,18.4375,18.4375,253000
2000-02-24,7.585374355316162,18.3125,18.6875,18.0,18.625,321200
2000-02-25,7.559484004974365,18.25,18.375,18.125,18.1875,341300
2000-02-28,7.792479991912842,18.8125,18.875,18.1875,18.25,342600
2000-02-29,7.792479991912842,18.8125,18.8125,18.5,18.75,280800
2000-03-01,7.947813034057617,19.1875,19.3125,18.625,18.8125,736600
2000-03-02,8.067524909973145,19.375,19.5,19.125,19.125,1770700
2000-03-03,8.119577407836914,19.5,19.5,19.0,19.375,245200
2000-03-06,7.989451885223389,19.1875,19.75,18.8125,19.75,215600
2000-03-07,8.119577407836914,19.5,19.5625,19.125,19.1875,239900
2000-03-08,8.171622276306152,19.625,19.75,19.375,19.4375,211800
2000-03-09,8.067524909973145,19.375,19.6875,19.1875,19.6875,378400
2000-03-10,8.275717735290527,19.875,19.875,19.375,19.4375,305500
2000-03-13,8.145596504211426,19.5625,19.75,19.5,19.625,250500
2000-03-14,8.067524909973145,19.375,19.5,19.375,19.4375,383500
2000-03-15,8.067524909973145,19.375,19.625,18.875,19.375,956500
2000-03-16,8.2496976852417,19.8125,20.0625,19.4375,19.5,519200
2000-03-17,8.275717735290527,19.875,19.9375,19.5625,19.5625,228100
2000-03-20,8.379816055297852,20.125,20.1875,19.75,19.8125,206400
2000-03-21,8.353791236877441,20.0625,20.25,19.9375,19.9375,251500
2000-03-22,8.379816055297852,20.125,20.1875,19.5625,20.0625,257700
2000-03-23,8.588013648986816,20.625,20.625,19.9375,20.0,260600
2000-03-24,8.535959243774414,20.5,20.5625,20.375,20.5,232800
2000-03-27,8.692106246948242,20.875,20.875,20.3125,20.375,557600
2000-03-28,8.718132019042969,20.9375,20.9375,20.625,20.75,282000
2000-03-29,8.692106246948242,20.875,20.9375,20.625,20.625,180400
2000-03-30,8.77017879486084,21.0625,21.125,20.875,20.9375,321400
2000-03-31,8.952354431152344,21.5,21.5,21.0,21.125,450500
2000-04-03,8.744156837463379,21.0,21.5,20.875,21.375,420900
2000-04-04,8.744156837463379,21.0,21.1875,20.875,21.0,199000
2000-04-05,8.692106246948242,20.875,21.375,20.875,21.1875,91200
2000-04-06,8.718132019042969,20.9375,21.0,20.9375,21.0,31500
2000-04-07,8.744156837463379,21.0,21.0,20.875,20.9375,68100
2000-04-10,8.90030288696289,21.375,21.4375,20.9375,21.0,225100
2000-04-11,8.822232246398926,21.1875,21.4375,21.0625,21.375,168000
2000-04-12,8.90030288696289,21.375,21.625,21.1875,21.1875,119400
2000-04-13,8.952354431152344,21.5,21.5,21.0,21.125,136400
2000-04-14,9.004399299621582,21.625,21.8125,21.4375,21.5,179700
2000-04-17,8.978375434875488,21.5625,21.875,21.5,21.625,425100
2000-04-18,8.744156837463379,21.0,21.5,20.875,21.5,336100
2000-04-19,8.952354431152344,21.5,21.5,20.8125,21.0625,216100
2000-04-20,8.926326751708984,21.4375,21.5,21.0625,21.5,152700
2000-04-24,8.90030288696289,21.375,21.5,21.3125,21.4375,332200
2000-04-25,9.030424118041992,21.6875,21.6875,21.375,21.375,484200
2000-04-26,9.108494758605957,21.875,22.1875,21.625,21.625,944900
2000-04-27,9.004399299621582,21.625,22.1875,21.625,21.8125,194700
2000-04-28,8.952354431152344,21.5,21.875,21.5,21.625,397000
2000-05-01,8.822232246398926,21.1875,21.5625,21.125,21.5,150200
2000-05-02,8.7962064743042,21.125,21.375,21.0625,21.1875,163900
2000-05-03,8.77017879486084,21.0625,21.25,21.0,21.125,269100
2000-05-04,8.978375434875488,21.5625,21.625,21.125,21.1875,177700
2000-05-05,9.056445121765137,21.75,21.8125,21.3125,21.4375,712600
2000-05-08,9.238617897033691,22.1875,22.3125,21.75,21.75,183000
2000-05-09,9.264642715454102,22.25,22.3125,21.875,22.0625,571600
2000-05-10,9.212590217590332,22.125,22.375,22.0,22.0,367900
2000-05-11,9.342716217041016,22.4375,22.5625,22.25,22.3125,258100
2000-05-12,9.316688537597656,22.375,22.6875,22.25,22.625,476800
2000-05-15,9.108494758605957,21.875,22.3125,21.75,22.3125,363600
2000-05-16,9.290665626525879,22.3125,22.3125,21.75,21.875,149600
2000-05-17,9.082469940185547,21.8125,22.1875,21.375,22.0625,117400
2000-05-18,8.952354431152344,21.5,22.3125,21.5,21.75,154000
2000-05-19,9.238617897033691,22.1875,22.25,21.4375,21.5,125500
2000-05-22,9.16054630279541,22.0,22.3125,21.8125,22.3125,96500
2000-05-23,9.108494758605957,21.875,22.375,21.875,21.9375,150200
2000-05-24,9.264642715454102,22.25,22.3125,21.8125,21.9375,244600
2000-05-25,9.212590217590332,22.125,22.375,22.0625,22.25,203800
2000-05-26,9.212590217590332,22.125,22.3125,21.875,22.0625,965900
2000-05-30,9.175995826721191,21.9375,22.125,21.875,22.0,728700
2000-05-31,9.25441837310791,22.125,22.375,21.875,22.0,227000
2000-06-01,9.202136993408203,22.0,22.25,21.75,22.25,297900
2000-06-02,9.12370777130127,21.8125,22.3125,21.75,22.125,144800
2000-06-05,9.019139289855957,21.5625,21.75,21.375,21.625,215000
2000-06-06,9.306705474853516,22.25,22.25,21.4375,21.5,132900
2000-06-07,9.12370777130127,21.8125,22.125,21.75,22.0,80800
2000-06-08,9.228275299072266,22.0625,22.125,21.875,22.0,254100
2000-06-09,9.358986854553223,22.375,22.375,22.0625,22.0625,379400
2000-06-12,9.385133743286133,22.4375,22.4375,22.1875,22.3125,77000
2000-06-13,9.463560104370117,22.625,22.625,22.4375,22.4375,77600
2000-06-14,9.358986854553223,22.375,22.625,22.3125,22.625,107800
2000-06-15,9.541988372802734,22.8125,22.8125,22.3125,22.375,333900
2000-06-16,9.620416641235352,23.0,23.125,22.5625,22.5625,375500
2000-06-19,9.541988372802734,22.8125,22.9375,22.5,22.75,119100
2000-06-20,9.463560104370117,22.625,22.875,22.5625,22.6875,128500
2000-06-21,9.568129539489746,22.875,23.0,22.625,22.75,140400
2000-06-22,9.332845687866211,22.3125,22.875,22.1875,22.875,1096000
2000-06-23,9.463560104370117,22.625,22.75,22.375,22.4375,134700
2000-06-26,9.411277770996094,22.5,22.625,22.125,22.625,612500
2000-06-27,9.280563354492188,22.1875,22.625,22.1875,22.5,316700
2000-06-28,9.385133743286133,22.4375,22.5,22.0625,22.1875,299500
2000-06-29,9.280563354492188,22.1875,22.5625,22.0625,22.5625,290600
2000-06-30,9.097562789916992,21.75,22.5,21.75,22.1875,498500
2000-07-03,9.175995826721191,21.9375,22.125,21.8125,21.8125,333900
2000-07-05,9.280563354492188,22.1875,22.1875,21.9375,21.9375,419000
2000-07-06,9.385133743286133,22.4375,22.4375,22.125,22.125,123900
2000-07-07,9.411277770996094,22.5,22.5625,22.1875,22.4375,244500
2000-07-10,9.541988372802734,22.8125,22.875,22.375,22.375,174300
2000-07-11,9.541988372802734,22.8125,22.8125,22.5,22.8125,169500
2000-07-12,9.489704132080078,22.6875,22.8125,22.5625,22.8125,367000
2000-07-13,9.51584529876709,22.75,22.8125,22.5,22.5625,262200
2000-07-14,9.228275299072266,22.0625,22.875,22.0625,22.6875,344000
2000-07-17,9.437417030334473,22.5625,22.75,22.4375,22.625,201600
2000-07-18,9.437417030334473,22.5625,22.75,22.5,22.5,176600
2000-07-19,9.541988372802734,22.8125,22.8125,22.5625,22.625,227600
2000-07-20,9.489704132080078,22.6875,22.8125,22.625,22.6875,70100
2000-07-21,9.385133743286133,22.4375,22.625,22.375,22.625,136100
2000-07-24,9.306705474853516,22.25,22.375,22.1875,22.375,148900
2000-07-25,9.306705474853516,22.25,22.25,22.0625,22.125,217300
2000-07-26,9.260953903198242,22.140625,22.3125,22.0,22.1875,298000
2000-07-27,9.228275299072266,22.0625,22.125,21.9375,22.0625,184200
2000-07-28,9.25441837310791,22.125,22.3125,22.0,22.0625,158300
2000-07-31,9.25441837310791,22.125,22.375,21.9375,22.25,163300
2000-08-01,9.385133743286133,22.4375,22.5,22.125,22.25,108400
2000-08-02,9.411277770996094,22.5,22.6875,22.3125,22.375,289400
2000-08-03,9.522378921508789,22.765625,22.875,22.375,22.375,389600
2000-08-04,9.51584529876709,22.75,22.875,22.5625,22.75,462800
2000-08-07,9.626954078674316,23.015625,23.015625,22.5625,22.75,271600
2000-08-08,9.751128196716309,23.3125,23.4375,23.0,23.0,957500
2000-08-09,9.803414344787598,23.4375,23.5,23.25,23.3125,742700
2000-08-10,9.78380298614502,23.390625,23.5625,23.3125,23.4375,248600
2000-08-11,9.78380298614502,23.390625,23.5,23.3125,23.375,365600
2000-08-14,9.672701835632324,23.125,23.375,22.8125,23.375,270400
2000-08-15,9.69884204864502,23.1875,23.4375,23.1875,23.25,207900
2000-08-16,9.777271270751953,23.375,23.5,23.1875,23.1875,1148000
2000-08-17,9.646559715270996,23.0625,23.375,23.0,23.375,184000
2000-08-18,9.672701835632324,23.125,23.1875,22.9375,23.125,110700
2000-08-21,9.594276428222656,22.9375,23.0,22.8125,23.0,107200
2000-08-22,9.620416641235352,23.0,23.1875,22.875,22.875,142600
2000-08-23,9.51584529876709,22.75,23.0,22.6875,23.0,163300
2000-08-24,9.437417030334473,22.5625,22.75,22.5,22.6875,87200
2000-08-25,9.306705474853516,22.25,22.5625,22.0,22.5625,249600
2000-08-28,9.437417030334473,22.5625,22.625,22.375,22.375,50300
2000-08-29,9.463560104370117,22.625,22.625,22.375,22.5,222500
2000-08-30,9.584348678588867,22.8125,22.875,22.5,22.625,1989800
2000-08-31,9.558088302612305,22.75,22.75,22.5625,22.6875,109800
2000-09-01,9.453062057495117,22.5,22.875,22.5,22.875,155800
2000-09-05,9.505575180053711,22.625,22.875,22.5,22.5,185200
2000-09-06,9.663125038146973,23.0,23.0,22.625,22.8125,205700
2000-09-07,9.663125038146973,23.0,23.0,22.8125,23.0,394100
2000-09-08,9.833806991577148,23.40625,23.40625,23.0,23.0,193200
2000-09-11,10.063570022583008,23.953125,23.953125,23.25,23.3125,300400
2000-09-12,10.030742645263672,23.875,23.9375,23.8125,23.8125,411500
2000-09-13,9.846940040588379,23.4375,23.875,23.4375,23.875,98600
2000-09-14,9.689383506774902,23.0625,23.4375,22.75,23.4375,183800
2000-09-15,9.932271003723145,23.640625,23.6875,23.375,23.5625,431200
2000-09-18,9.715645790100098,23.125,23.5,23.0,23.5,402400
2000-09-19,9.584348678588867,22.8125,23.125,22.625,23.125,266100
2000-09-20,9.584348678588867,22.8125,22.875,22.625,22.6875,226700
2000-09-21,9.505575180053711,22.625,22.8125,22.625,22.8125,396700
2000-09-22,9.794415473937988,23.3125,23.5,22.5625,22.5625,585400
2000-09-25,9.269246101379395,22.0625,22.8125,21.875,22.125,1828900
2000-09-26,9.348024368286133,22.25,22.375,21.625,21.9375,858700
2000-09-27,9.11825942993164,21.703125,22.125,21.5,22.125,405700
2000-09-28,9.2167329788208,21.9375,22.0,21.5,21.8125,2372000
2000-09-29,9.11825942993164,21.703125,22.0,21.625,22.0,557700
2000-10-02,8.822854042053223,21.0,21.5625,20.8125,21.5,467300
2000-10-03,8.6390380859375,20.5625,21.375,20.5,20.875,615700
2000-10-04,8.376461029052734,19.9375,20.6875,19.5,20.5625,745500
2000-10-05,8.323943138122559,19.8125,20.25,19.8125,20.0,432800
2000-10-06,8.402716636657715,20.0,20.125,19.875,19.9375,469100
2000-10-09,8.428976058959961,20.0625,20.125,20.0,20.0,326800
2000-10-10,8.323943138122559,19.8125,20.0625,19.6875,20.0625,618400
