Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,12.252767562866211,33.3125,33.875,33.1875,33.875,12200
2000-01-04,12.11483383178711,32.9375,33.375,32.625,33.1875,62700
2000-01-05,12.068856239318848,32.8125,33.0,32.625,32.625,96900
2000-01-06,12.183794975280762,33.125,33.25,32.5625,32.8125,72500
2000-01-07,12.597588539123535,34.25,34.5,33.125,33.125,39400
2000-01-10,12.528624534606934,34.0625,34.375,33.75,34.375,23300
2000-01-11,12.390691757202148,33.6875,34.1875,33.6875,33.8125,46400
2000-01-12,12.367708206176758,33.625,33.9375,33.625,33.9375,43500
2000-01-13,12.505634307861328,34.0,34.0,33.5625,33.625,14300
2000-01-14,12.459663391113281,33.875,34.0625,33.6875,34.0625,10100
2000-01-18,12.413679122924805,33.75,33.8125,33.375,33.8125,27600
2000-01-19,12.551614761352539,34.125,34.25,34.0,34.0,57900
2000-01-20,12.620574951171875,34.3125,34.3125,34.125,34.1875,18400
2000-01-21,12.528624534606934,34.0625,34.1875,34.0,34.125,12700
2000-01-24,12.505634307861328,34.0,34.125,33.75,33.9375,36900
2000-01-25,12.574603080749512,34.1875,34.25,34.0,34.0,26000
2000-01-26,12.551614761352539,34.125,34.25,34.0625,34.0625,11200
2000-01-27,12.64356517791748,34.375,34.5,33.875,34.125,19800
2000-01-28,12.482651710510254,33.9375,34.5,33.9375,34.25,19300
2000-01-31,12.505634307861328,34.0,34.0,33.875,34.0,66300
2000-02-01,12.735517501831055,34.625,34.625,34.0,34.0,30500
2000-02-02,12.712533950805664,34.5625,34.75,34.5,34.625,30100
2000-02-03,12.827475547790527,34.875,35.0,34.5625,34.5625,21000
2000-02-04,12.896437644958496,35.0625,35.125,34.6875,34.8125,16000
2000-02-07,12.804487228393555,34.8125,35.125,34.75,35.125,19800
2000-02-08,12.64356517791748,34.375,34.8125,34.375,34.8125,49800
2000-02-09,12.620574951171875,34.3125,34.5,33.8125,34.25,20300
2000-02-10,12.64356517791748,34.375,34.375,34.125,34.375,14300
2000-02-11,12.620574951171875,34.3125,34.375,34.25,34.25,18200
2000-02-14,12.712533950805664,34.5625,34.5625,34.25,34.3125,44000
2000-02-15,12.666553497314453,34.4375,34.625,34.0625,34.625,32900
2000-02-16,12.597588539123535,34.25,34.375,33.875,34.375,18700
2000-02-17,12.64356517791748,34.375,34.375,34.125,34.375,25200
2000-02-18,12.666553497314453,34.4375,34.75,34.25,34.3125,32600
2000-02-22,12.850459098815918,34.9375,34.9375,34.375,34.4375,18300
2000-02-23,12.827475547790527,34.875,34.9375,34.625,34.9375,13700
2000-02-24,12.758509635925293,34.6875,34.8125,34.5625,34.75,34200
2000-02-25,12.64356517791748,34.375,34.5625,34.3125,34.5,23500
2000-02-28,12.712533950805664,34.5625,34.5625,34.125,34.125,45200
2000-02-29,12.965401649475098,35.25,35.25,34.4375,34.4375,89100
2000-03-01,13.103326797485352,35.625,35.625,35.0,35.125,148600
2000-03-02,13.103326797485352,35.625,35.75,35.5625,35.625,173100
2000-03-03,13.21827507019043,35.9375,35.9375,35.5625,35.5625,82700
2000-03-06,13.264241218566895,36.0625,36.0625,35.5,35.875,72700
2000-03-07,13.241259574890137,36.0,36.3125,35.9375,36.0,93600
2000-03-08,13.241259574890137,36.0,36.0,35.8125,35.9375,24700
2000-03-09,13.264241218566895,36.0625,36.125,35.875,36.0,18000
2000-03-10,13.21827507019043,35.9375,36.1875,35.9375,36.0,59600
2000-03-13,13.21827507019043,35.9375,36.0,35.75,36.0,30000
2000-03-14,13.21827507019043,35.9375,36.0,35.875,35.9375,23700
2000-03-15,13.126321792602539,35.6875,35.9375,35.6875,35.9375,108700
2000-03-16,13.21827507019043,35.9375,36.0,35.625,35.75,63800
2000-03-17,13.241259574890137,36.0,36.25,35.8125,35.8125,50600
2000-03-20,13.195281028747559,35.875,36.0,35.75,35.75,26800
2000-03-21,13.21827507019043,35.9375,35.9375,35.625,35.75,15900
2000-03-22,13.241259574890137,36.0,36.0625,35.8125,35.8125,41400
2000-03-23,13.195281028747559,35.875,36.0,35.6875,36.0,20500
2000-03-24,13.080352783203125,35.5625,35.875,35.1875,35.875,31800
2000-03-27,13.172296524047852,35.8125,36.0625,35.5625,35.5625,12200
2000-03-28,13.149307250976562,35.75,35.9375,35.1875,35.6875,54300
2000-03-29,13.424814224243164,35.9375,35.9375,34.9375,34.9375,48300
2000-03-30,13.424814224243164,35.9375,36.125,35.8125,35.9375,139800
2000-03-31,13.448151588439941,36.0,36.3125,35.9375,36.0625,43900
2000-04-03,13.588239669799805,36.375,36.625,36.0625,36.125,34400
2000-04-04,13.658279418945312,36.5625,36.9375,36.0,36.4375,479500
2000-04-05,13.70497989654541,36.6875,36.75,36.5,36.5625,42500
2000-04-06,13.938448905944824,37.3125,37.3125,36.6875,36.8125,170400
2000-04-07,13.938448905944824,37.3125,37.5,37.0625,37.0625,69100
2000-04-10,13.891755104064941,37.1875,37.625,37.1875,37.3125,52800
2000-04-11,13.91511058807373,37.25,37.25,36.9375,37.0625,56200
2000-04-12,14.055192947387695,37.625,37.875,37.25,37.25,51500
2000-04-13,14.078536033630371,37.6875,37.75,37.5,37.6875,20600
2000-04-14,14.12523365020752,37.8125,37.875,37.3125,37.3125,42200
2000-04-17,14.195276260375977,38.0,38.1875,37.875,37.875,123600
2000-04-18,14.148580551147461,37.875,38.0625,37.75,38.0,25800
2000-04-19,14.055192947387695,37.625,38.125,37.5,37.9375,71300
2000-04-20,14.12523365020752,37.8125,37.9375,37.5625,37.625,39900
2000-04-24,14.031835556030273,37.5625,37.75,37.5,37.6875,49500
2000-04-25,14.218619346618652,38.0625,38.0625,37.5,37.5,30200
2000-04-26,14.12523365020752,37.8125,38.375,37.8125,38.125,44300
2000-04-27,14.428751945495605,38.625,38.625,37.75,37.875,74200
2000-04-28,14.428751945495605,38.625,38.6875,38.3125,38.625,38400
2000-05-01,14.522140502929688,38.875,38.875,38.5,38.6875,41700
2000-05-02,14.662225723266602,39.25,39.375,39.125,39.125,87500
2000-05-03,14.708922386169434,39.375,39.5625,39.1875,39.3125,111600
2000-05-04,14.895709037780762,39.875,39.9375,39.3125,39.4375,35500
2000-05-05,15.035781860351562,40.25,41.125,39.9375,40.25,80700
2000-05-08,14.965742111206055,40.0625,40.375,40.0625,40.375,32400
2000-05-09,15.082481384277344,40.375,40.75,39.9375,40.125,34100
