Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,4.926886558532715,16.5,16.8125,16.125,16.625,419600
2000-01-04,5.094847679138184,17.0625,17.125,16.25,16.5625,623100
2000-01-05,5.356122016906738,17.9375,17.9375,17.0,17.0,310400
2000-01-06,5.318796634674072,17.8125,17.9375,17.625,17.9375,283700
2000-01-07,5.262810707092285,17.625,17.9375,17.3125,17.875,225100
2000-01-10,5.169497489929199,17.3125,17.875,17.0,17.625,373200
2000-01-11,5.206821918487549,17.4375,17.5625,17.0625,17.5625,202200
2000-01-12,5.169497489929199,17.3125,17.3125,17.0625,17.25,222800
2000-01-13,5.113509178161621,17.125,17.4375,16.875,17.25,258700
2000-01-14,4.945549011230469,16.5625,16.9375,16.25,16.9375,253700
2000-01-18,4.796248912811279,16.0625,16.5625,16.0,16.5625,278000
2000-01-19,5.0015363693237305,16.75,16.9375,16.0,16.0625,221800
2000-01-20,4.889562129974365,16.375,16.6875,16.3125,16.625,160700
2000-01-21,4.964209079742432,16.625,16.6875,16.25,16.4375,214100
2000-01-24,4.945549011230469,16.5625,17.3125,16.5,16.5,197900
2000-01-25,4.81491231918335,16.125,16.6875,16.0,16.5625,267200
2000-01-26,4.572298526763916,15.3125,16.1875,15.3125,16.0,657500
2000-01-27,4.740262508392334,15.875,16.0,15.375,15.375,262900
2000-01-28,4.740262508392334,15.875,16.125,15.5,16.0,195200
2000-01-31,4.777585983276367,16.0,16.0625,15.875,16.0,140400
2000-02-01,4.646949291229248,15.5625,16.0,15.5,15.9375,138500
2000-02-02,4.702934741973877,15.75,15.8125,15.5,15.5,109700
2000-02-03,4.964209079742432,16.625,17.1875,16.0625,16.0625,463200
2000-02-04,4.926886558532715,16.5,16.875,16.0,16.75,190000
2000-02-07,4.964209079742432,16.625,16.875,16.5,16.5,239000
2000-02-08,4.9828715324401855,16.6875,16.8125,16.5625,16.5625,234000
2000-02-09,4.964209079742432,16.625,16.625,16.1875,16.5625,205800
2000-02-10,4.777585983276367,16.0,16.4375,16.0,16.4375,259300
2000-02-11,4.777585983276367,16.0,16.25,15.9375,16.0625,171000
2000-02-14,4.721599578857422,15.8125,16.1875,15.75,16.1875,247800
2000-02-15,4.702934741973877,15.75,15.9375,15.625,15.625,208600
2000-02-16,4.702934741973877,15.75,15.875,15.6875,15.8125,161700
2000-02-17,4.721599578857422,15.8125,15.9375,15.625,15.6875,180900
2000-02-18,4.721599578857422,15.8125,15.8125,15.625,15.75,130900
2000-02-22,4.777585983276367,16.0,16.125,15.8125,15.9375,215900
2000-02-23,4.721599578857422,15.8125,16.0,15.75,15.9375,120500
2000-02-24,4.646949291229248,15.5625,15.9375,15.5,15.875,165800
2000-02-25,4.628284931182861,15.5,15.6875,15.375,15.625,175500
2000-02-28,4.721599578857422,15.8125,15.8125,15.5,15.625,112300
2000-02-29,4.609623908996582,15.4375,16.0,15.375,15.8125,195900
2000-03-01,4.628284931182861,15.5,15.6875,15.375,15.5625,301100
2000-03-02,4.889562129974365,16.375,16.375,15.5625,15.5625,396700
2000-03-03,4.926886558532715,16.5,16.625,16.375,16.625,158000
2000-03-06,4.81491231918335,16.125,16.75,15.3125,16.75,1251100
2000-03-07,5.173174858093262,16.75,16.75,15.75,16.125,798800
2000-03-08,5.211780071258545,16.875,17.25,16.5,16.75,7778100
2000-03-09,5.250384330749512,17.0,17.125,16.8125,17.125,1269300
2000-03-10,5.327594757080078,17.25,17.5625,16.9375,17.0,294100
2000-03-13,5.2889885902404785,17.125,17.1875,16.9375,17.0,205900
2000-03-14,5.211780071258545,16.875,17.25,16.8125,16.9375,130900
2000-03-15,5.308291912078857,17.1875,17.1875,16.8125,16.8125,217000
2000-03-16,5.366199016571045,17.375,17.5,17.0,17.125,603800
2000-03-17,5.308291912078857,17.1875,17.3125,16.75,17.25,276500
2000-03-20,5.269687652587891,17.0625,17.3125,16.9375,17.125,99900
2000-03-21,5.211780071258545,16.875,17.0,16.75,16.8125,89500
2000-03-22,5.057356834411621,16.375,16.8125,16.3125,16.6875,245300
2000-03-23,5.192474365234375,16.8125,16.8125,16.3125,16.375,170500
2000-03-24,5.173174858093262,16.75,16.875,16.375,16.75,120800
2000-03-27,5.192474365234375,16.8125,17.0,16.375,17.0,154200
2000-03-28,5.134565353393555,16.625,16.625,16.25,16.625,131100
2000-03-29,5.173174858093262,16.75,18.3125,16.625,17.5,591100
2000-03-30,4.864326477050781,15.75,16.9375,15.4375,16.875,652300
2000-03-31,4.883629322052002,15.8125,15.9375,15.5625,15.75,720500
2000-04-03,4.632690906524658,15.0,15.5625,14.8125,15.5,622300
2000-04-04,4.748508453369141,15.375,15.75,14.6875,15.75,580100
2000-04-05,4.748508453369141,15.375,15.5625,14.8125,14.875,272000
2000-04-06,4.651994705200195,15.0625,15.3125,14.9375,15.3125,152800
2000-04-07,4.6133880615234375,14.9375,15.25,14.8125,15.125,234300
2000-04-10,4.651994705200195,15.0625,15.25,14.875,14.9375,173900
2000-04-11,4.748508453369141,15.375,15.4375,15.125,15.125,202900
2000-04-12,4.825720310211182,15.625,16.3125,15.4375,15.4375,294900
2000-04-13,4.8450236320495605,15.6875,15.9375,15.6875,15.6875,218800
2000-04-14,4.671295642852783,15.125,15.6875,15.0,15.6875,282700
2000-04-17,4.864326477050781,15.75,15.9375,14.75,14.8125,285200
2000-04-18,4.922235488891602,15.9375,15.9375,15.375,15.75,338000
2000-04-19,4.922235488891602,15.9375,16.125,15.6875,15.75,603200
2000-04-20,4.902932643890381,15.875,15.9375,15.75,15.8125,271700
2000-04-24,4.8064165115356445,15.5625,15.8125,15.375,15.75,299300
2000-04-25,4.825720310211182,15.625,15.6875,15.4375,15.625,294800
2000-04-26,4.941537857055664,16.0,16.0625,15.5625,15.5625,318300
2000-04-27,4.8450236320495605,15.6875,15.875,15.625,15.8125,147300
2000-04-28,4.864326477050781,15.75,15.75,15.4375,15.75,302200
2000-05-01,4.902932643890381,15.875,15.9375,15.625,15.6875,462700
2000-05-02,4.825720310211182,15.625,15.9375,15.3125,15.9375,296600
2000-05-03,4.787112712860107,15.5,15.625,15.4375,15.625,283100
2000-05-04,4.787112712860107,15.5,15.5625,15.5,15.5,164500
2000-05-05,4.632690906524658,15.0,15.625,15.0,15.5,258100
2000-05-08,4.787112712860107,15.5,15.5625,14.875,15.0,766900
2000-05-09,4.8064165115356445,15.5625,15.75,15.5,15.5,602300
2000-05-10,4.941537857055664,16.0,16.125,15.5625,15.625,647700
2000-05-11,4.999445915222168,16.1875,16.3125,15.9375,16.0,444400
2000-05-12,4.922235488891602,15.9375,16.0625,15.75,16.0,262500
2000-05-15,4.922235488891602,15.9375,16.1875,15.625,15.8125,293300
2000-05-16,4.902932643890381,15.875,16.0625,15.875,16.0,287000
2000-05-17,4.825720310211182,15.625,16.0,15.625,15.8125,409200
2000-05-18,4.960842609405518,16.0625,16.875,15.8125,16.375,1059000
2000-05-19,4.902932643890381,15.875,16.0,15.3125,16.0,752500
2000-05-22,4.8450236320495605,15.6875,15.875,15.4375,15.875,433200
2000-05-23,4.8450236320495605,15.6875,15.8125,15.5,15.8125,329000
2000-05-24,4.748508453369141,15.375,16.0,15.1875,15.1875,271100
2000-05-25,4.787112712860107,15.5,15.625,15.375,15.5,279900
2000-05-26,4.748508453369141,15.375,15.5625,15.375,15.5,152000
2000-05-30,4.8064165115356445,15.5625,15.625,15.375,15.5,272100
2000-05-31,4.825720310211182,15.625,15.6875,15.5,15.5,191900
2000-06-01,4.864326477050781,15.75,15.8125,15.5,15.5,729800
2000-06-02,4.922235488891602,15.9375,16.25,15.9375,15.9375,614300
2000-06-05,4.825720310211182,15.625,16.0,15.5625,16.0,713900
2000-06-06,4.941537857055664,16.0,16.0625,15.5625,15.75,1415300
2000-06-07,4.937602996826172,15.6875,16.0,15.5,15.75,879000
2000-06-08,4.878587245941162,15.5,15.625,15.4375,15.5625,297200
2000-06-09,4.976946830749512,15.8125,15.9375,15.4375,15.5,4662700
2000-06-12,4.898257732391357,15.5625,15.8125,15.4375,15.75,447200
2000-06-13,4.976946830749512,15.8125,15.9375,15.5625,15.5625,250600
2000-06-14,4.99661922454834,15.875,16.3125,15.875,16.25,437600
2000-06-15,5.03596305847168,16.0,16.0625,15.875,15.875,311800
2000-06-16,5.193337440490723,16.5,16.5625,15.9375,15.9375,520800
2000-06-19,5.1343231201171875,16.3125,16.75,16.25,16.6875,366500
2000-06-20,5.173662185668945,16.4375,16.5,16.1875,16.3125,367100
2000-06-21,5.252350807189941,16.6875,16.75,16.5,16.5625,301900
2000-06-22,5.153994083404541,16.375,16.75,16.375,16.5625,554100
2000-06-23,5.173662185668945,16.4375,16.625,16.3125,16.375,460000
2000-06-26,5.272024631500244,16.75,16.8125,16.5,16.5,333200
2000-06-27,5.173662185668945,16.4375,16.875,16.375,16.875,426100
2000-06-28,5.449068546295166,17.3125,17.3125,16.5625,16.5625,650400
2000-06-29,5.5277557373046875,17.5625,17.625,17.3125,17.3125,713600
2000-06-30,4.878587245941162,15.5,17.8125,15.484375,17.625,1576600
2000-07-03,5.114648342132568,16.25,16.5625,16.125,16.125,669400
2000-07-05,5.173662185668945,16.4375,16.5625,16.1875,16.25,544900
2000-07-06,5.252350807189941,16.6875,16.6875,16.3125,16.3125,320700
2000-07-07,5.272024631500244,16.75,17.0,16.625,16.625,211200
2000-07-10,5.350709915161133,17.0,17.125,16.625,16.75,236800
2000-07-11,5.311367988586426,16.875,17.0,16.625,17.0,274600
2000-07-12,5.350709915161133,17.0,17.25,16.9375,17.0625,193100
2000-07-13,5.370381832122803,17.0625,17.3125,16.875,16.9375,389400
2000-07-14,5.331038475036621,16.9375,17.0625,16.875,17.0,157900
2000-07-17,5.311367988586426,16.875,17.0,16.75,16.875,758600
2000-07-18,5.213006973266602,16.5625,16.875,16.3125,16.875,938600
2000-07-19,5.291694164276123,16.8125,16.8125,16.5,16.5625,137800
2000-07-20,5.311367988586426,16.875,16.9375,16.6875,16.8125,186600
2000-07-21,5.252350807189941,16.6875,16.875,16.5,16.8125,123100
2000-07-24,5.291694164276123,16.8125,16.875,16.625,16.625,201500
2000-07-25,5.331038475036621,16.9375,16.9375,16.625,16.6875,190000
2000-07-26,5.291694164276123,16.8125,16.875,16.6875,16.75,141100
2000-07-27,5.272024631500244,16.75,16.875,16.6875,16.6875,212500
2000-07-28,5.2326788902282715,16.625,16.8125,16.5625,16.75,83500
