Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,6.105227947235107,10.59375,10.71875,10.375,10.53125,1455000
2000-01-04,5.763051509857178,10.0,10.5,9.96875,10.46875,1618200
2000-01-05,5.979163646697998,10.375,10.40625,10.03125,10.03125,1535600
2000-01-06,5.799069404602051,10.0625,10.46875,9.90625,10.375,2296600
2000-01-07,5.654993057250977,9.8125,10.25,9.65625,9.9375,2253000
2000-01-10,5.69101095199585,9.875,10.125,9.84375,10.125,1169200
2000-01-11,5.727029323577881,9.9375,10.0,9.78125,9.84375,845400
2000-01-12,5.636979579925537,9.78125,9.90625,9.5625,9.875,1784000
2000-01-13,5.600964069366455,9.71875,9.9375,9.6875,9.75,1897600
2000-01-14,5.474896430969238,9.5,9.71875,9.375,9.65625,1986800
2000-01-18,5.6189727783203125,9.75,9.75,9.34375,9.5625,1356000
2000-01-19,5.763051509857178,10.0,10.0,9.6875,9.75,1086000
2000-01-20,5.492906093597412,9.53125,10.0,9.53125,10.0,1130400
2000-01-21,5.294801235198975,9.1875,9.625,9.1875,9.625,1141000
2000-01-24,5.150726318359375,8.9375,9.25,8.75,9.25,711400
2000-01-25,5.078686714172363,8.8125,8.90625,8.5,8.875,592200
2000-01-26,4.808544635772705,8.34375,8.75,8.15625,8.75,877400
2000-01-27,5.132717132568359,8.90625,8.90625,8.375,8.40625,1056800
2000-01-28,5.024657249450684,8.71875,9.125,8.5625,8.75,1770800
2000-01-31,5.024657249450684,8.71875,8.84375,8.65625,8.65625,859400
2000-02-01,5.024657249450684,8.71875,8.90625,8.59375,8.59375,735600
2000-02-02,5.024657249450684,8.71875,8.875,8.6875,8.71875,1475200
2000-02-03,5.042667865753174,8.75,8.8125,8.65625,8.6875,1541000
2000-02-04,5.3488311767578125,9.28125,9.375,9.0,9.0,1479400
2000-02-07,5.294801235198975,9.1875,9.46875,9.1875,9.4375,1530800
2000-02-08,5.1867451667785645,9.0,9.21875,8.96875,9.1875,1079800
2000-02-09,5.168735504150391,8.96875,9.15625,8.90625,9.0,1466600
2000-02-10,5.132717132568359,8.90625,9.03125,8.875,9.0,1569000
2000-02-11,5.2407708168029785,9.09375,9.09375,8.8125,8.84375,1071400
2000-02-14,5.294801235198975,9.1875,9.25,9.03125,9.03125,757800
2000-02-15,5.276793003082275,9.15625,9.34375,9.125,9.21875,1684400
2000-02-16,5.1867451667785645,9.0,9.1875,8.96875,9.125,616600
2000-02-17,5.222763538360596,9.0625,9.28125,8.9375,9.0,775800
2000-02-18,5.1867451667785645,9.0,9.1875,8.96875,9.03125,1126400
