Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,5.654179096221924,7.0625,7.375,6.875,7.375,76600
2000-01-04,5.554104804992676,6.9375,7.1875,6.9375,7.0,70200
2000-01-05,5.604140758514404,7.0,7.125,6.9375,6.9375,45400
2000-01-06,5.604140758514404,7.0,7.125,6.9375,6.9375,38300
2000-01-07,5.554104804992676,6.9375,7.0625,6.9375,6.9375,54300
2000-01-10,5.604140758514404,7.0,7.0625,7.0,7.0,53300
2000-01-11,5.554104804992676,6.9375,7.0,6.875,7.0,69800
2000-01-12,5.4540324211120605,6.8125,7.0,6.75,6.875,117300
2000-01-13,5.604140758514404,7.0,7.1875,6.8125,6.875,75100
2000-01-14,5.7542524337768555,7.1875,7.1875,7.0625,7.0625,83400
2000-01-18,5.7542524337768555,7.1875,7.1875,7.0625,7.0625,79800
2000-01-19,5.704216480255127,7.125,7.125,6.9375,7.0,46400
2000-01-20,5.604140758514404,7.0,7.0625,6.9375,7.0625,122400
2000-01-21,5.604140758514404,7.0,7.125,6.9375,6.9375,50500
2000-01-24,5.704216480255127,7.125,7.25,7.0625,7.125,159600
2000-01-25,5.7542524337768555,7.1875,7.25,7.125,7.25,110700
2000-01-26,5.7542524337768555,7.1875,7.25,7.125,7.1875,79000
2000-01-27,5.654179096221924,7.0625,7.1875,7.0,7.1875,30300
2000-01-28,5.804290771484375,7.25,7.3125,7.0625,7.0625,45200
2000-01-31,5.604140758514404,7.0,7.3125,7.0,7.125,99600
2000-02-01,5.654179096221924,7.0625,7.1875,6.9375,7.0625,225800
2000-02-02,5.654179096221924,7.0625,7.125,7.0,7.0,88500
2000-02-03,5.604140758514404,7.0,7.125,6.875,7.0,74100
2000-02-04,5.4540324211120605,6.8125,7.0,6.8125,6.9375,48000
2000-02-07,5.554104804992676,6.9375,6.9375,6.75,6.875,76100
2000-02-08,5.4540324211120605,6.8125,6.9375,6.8125,6.875,22400
2000-02-09,5.554104804992676,6.9375,6.9375,6.875,6.875,86000
2000-02-10,5.654179096221924,7.0625,7.1875,6.875,6.875,171900
2000-02-11,5.604140758514404,7.0,7.125,7.0,7.0,71200
2000-02-14,5.704216480255127,7.125,7.125,7.0,7.0,30500
2000-02-15,5.7542524337768555,7.1875,7.25,7.125,7.125,49900
2000-02-16,5.90436315536499,7.375,7.4375,7.125,7.25,37400
2000-02-17,6.604880332946777,8.25,9.375,7.4375,7.4375,523700
2000-02-18,6.654919147491455,8.3125,8.6875,8.25,8.25,151700
2000-02-22,6.704954624176025,8.375,8.75,8.3125,8.375,116200
2000-02-23,7.005177021026611,8.75,8.875,8.25,8.375,196400
2000-02-24,6.4047322273254395,8.0,8.125,7.125,8.0,327100
2000-02-25,6.054474353790283,7.5625,7.9375,7.5,7.875,83600
2000-02-28,6.3546953201293945,7.9375,8.0625,7.75,7.75,160600
2000-02-29,6.304659843444824,7.875,8.0,7.75,8.0,203200
2000-03-01,6.254624366760254,7.8125,7.875,7.75,7.75,43200
2000-03-02,6.254624366760254,7.8125,7.875,7.5,7.8125,72900
2000-03-03,6.104513168334961,7.625,7.6875,7.25,7.5,52900
2000-03-06,5.854327201843262,7.3125,7.5,7.25,7.5,41800
2000-03-07,5.7542524337768555,7.1875,7.25,7.1875,7.1875,27900
2000-03-08,6.304659843444824,7.875,8.0625,7.8125,8.0,180200
2000-03-09,6.104513168334961,7.625,8.125,7.1875,8.0,115000
2000-03-10,6.104513168334961,7.625,7.9375,7.5,7.75,91600
2000-03-13,6.304659843444824,7.875,7.875,7.4375,7.4375,62400
2000-03-14,6.3546953201293945,7.9375,8.1875,7.8125,7.9375,105800
2000-03-15,6.254624366760254,7.8125,7.9375,7.75,7.875,22300
2000-03-16,6.154547691345215,7.6875,7.875,7.6875,7.6875,42000
2000-03-17,6.254624366760254,7.8125,7.9375,7.625,7.625,29600
2000-03-20,6.104513168334961,7.625,7.9375,7.625,7.75,37600
2000-03-21,6.004437446594238,7.5,7.625,7.375,7.5625,24000
2000-03-22,5.854327201843262,7.3125,7.5625,7.1875,7.5625,40800
2000-03-23,6.4047322273254395,8.0,8.0,7.375,7.375,152800
2000-03-24,6.204586029052734,7.75,8.0,7.75,8.0,20900
2000-03-27,6.154547691345215,7.6875,7.8125,7.625,7.625,19200
2000-03-28,5.90436315536499,7.375,7.6875,7.375,7.625,29100
2000-03-29,5.90436315536499,7.375,7.5,7.375,7.4375,19400
2000-03-30,5.604140758514404,7.0,7.5,6.875,7.5,70200
2000-03-31,5.103772163391113,6.375,7.0625,6.375,6.9375,101800
2000-04-03,5.253882884979248,6.5625,6.8125,6.5,6.625,52100
2000-04-04,4.803549766540527,6.0,6.625,5.625,6.5625,102900
2000-04-05,5.403993129730225,6.75,6.9375,6.25,6.25,69500
2000-04-06,5.704216480255127,7.125,7.5,6.875,6.875,93800
2000-04-07,5.654179096221924,7.0625,7.125,6.8125,7.125,34300
2000-04-10,5.504067420959473,6.875,7.125,6.875,7.0,21300
2000-04-11,5.15380859375,6.4375,6.875,6.4375,6.875,32100
2000-04-12,5.3539581298828125,6.6875,6.875,6.625,6.75,40400
2000-04-13,5.303918838500977,6.625,6.75,6.625,6.625,139600
2000-04-14,5.053735256195068,6.3125,6.6875,6.25,6.5625,76100
2000-04-17,5.103772163391113,6.375,6.375,6.1875,6.25,63700
2000-04-18,5.15380859375,6.4375,6.5,6.25,6.5,43400
2000-04-19,5.303918838500977,6.625,6.6875,6.375,6.4375,37100
2000-04-20,5.253882884979248,6.5625,6.6875,6.5,6.6875,14700
2000-04-24,5.403993129730225,6.75,6.75,6.625,6.625,19200
2000-04-25,5.3539581298828125,6.6875,6.6875,6.5625,6.625,78200
2000-04-26,5.3539581298828125,6.6875,6.75,6.625,6.6875,11000
2000-04-27,5.554104804992676,6.9375,6.9375,6.6875,6.6875,34800
2000-04-28,5.504067420959473,6.875,6.9375,6.8125,6.875,27600
2000-05-01,5.554104804992676,6.9375,6.9375,6.875,6.875,21800
2000-05-02,5.504067420959473,6.875,6.9375,6.8125,6.875,19300
2000-05-03,5.504067420959473,6.875,6.9375,6.8125,6.9375,3300
2000-05-04,5.654179096221924,7.0625,7.0625,6.8125,6.8125,95100
2000-05-05,5.604140758514404,7.0,7.125,6.9375,7.0,18900
2000-05-08,5.654179096221924,7.0625,7.125,7.0625,7.0625,16900
2000-05-09,5.654179096221924,7.0625,7.125,7.0625,7.0625,21300
2000-05-10,5.604140758514404,7.0,7.125,7.0,7.0625,39500
2000-05-11,5.604140758514404,7.0,7.0625,6.9375,7.0625,16700
2000-05-12,5.504067420959473,6.875,7.0625,6.875,7.0,33000
2000-05-15,5.604140758514404,7.0,7.0,6.8125,7.0,26300
2000-05-16,5.554104804992676,6.9375,7.0,6.875,7.0,18300
2000-05-17,5.554104804992676,6.9375,6.9375,6.875,6.875,14000
2000-05-18,5.403993129730225,6.75,6.875,6.75,6.875,26100
2000-05-19,5.253882884979248,6.5625,6.875,6.5625,6.875,42100
2000-05-22,5.15380859375,6.4375,6.625,6.3125,6.625,37200
2000-05-23,5.053735256195068,6.3125,6.625,6.3125,6.375,29700
2000-05-24,5.053735256195068,6.3125,6.3125,6.1875,6.3125,52600
2000-05-25,5.003698348999023,6.25,6.4375,6.25,6.25,18400
2000-05-26,4.953663349151611,6.1875,6.25,6.0625,6.25,41000
2000-05-30,4.953663349151611,6.1875,6.25,6.1875,6.1875,11600
2000-05-31,4.853586673736572,6.0625,6.25,6.0,6.25,125900
2000-06-01,4.853586673736572,6.0625,6.0625,6.0,6.0625,64300
2000-06-02,4.953663349151611,6.1875,6.25,6.0625,6.0625,74000
2000-06-05,4.853586673736572,6.0625,6.25,5.9375,6.25,32800
2000-06-06,4.603401184082031,5.75,5.9375,5.625,5.9375,65800
2000-06-07,4.403253555297852,5.5,5.75,5.4375,5.75,93700
2000-06-08,4.203105926513672,5.25,5.625,5.25,5.5,84400
2000-06-09,4.353216648101807,5.4375,5.5,5.25,5.25,29100
2000-06-12,4.5033278465271,5.625,5.75,5.5,5.5,68000
2000-06-13,4.453291893005371,5.5625,5.625,5.5,5.625,40900
2000-06-14,4.5033278465271,5.625,5.625,5.5,5.5625,34100
2000-06-15,4.403253555297852,5.5,5.625,5.5,5.625,12300
2000-06-16,4.403253555297852,5.5,5.5625,5.5,5.5625,28000
2000-06-19,4.403253555297852,5.5,5.5,5.4375,5.5,4800
2000-06-20,4.303180694580078,5.375,5.5,5.3125,5.4375,23400
2000-06-21,4.002958297729492,5.0,5.25,5.0,5.25,79700
2000-06-22,3.9529194831848145,4.9375,5.0625,4.8125,5.0625,53000
2000-06-23,4.002958297729492,5.0,5.0,4.875,5.0,34800
2000-06-26,3.9529194831848145,4.9375,5.0,4.875,5.0,77800
2000-06-27,3.8528475761413574,4.8125,4.875,4.4375,4.875,119600
2000-06-28,3.102293014526367,3.875,4.4375,3.875,4.375,220100
2000-06-29,3.152329921722412,3.9375,3.9375,3.875,3.9375,49400
2000-06-30,3.2023661136627197,4.0,4.0,3.875,3.875,115400
2000-07-03,3.152329921722412,3.9375,4.0,3.9375,3.9375,17200
2000-07-05,3.102293014526367,3.875,4.0,3.75,4.0,71700
2000-07-06,3.102293014526367,3.875,3.875,3.8125,3.8125,18300
2000-07-07,3.002218723297119,3.75,3.875,3.75,3.8125,69400
2000-07-10,3.0522565841674805,3.8125,3.875,3.75,3.75,23400
2000-07-11,2.952181577682495,3.6875,3.8125,3.625,3.8125,68300
2000-07-12,2.9021453857421875,3.625,3.6875,3.375,3.6875,964200
2000-07-13,3.3024401664733887,4.125,4.1875,3.6875,3.6875,86100
2000-07-14,3.802809238433838,4.75,4.8125,4.25,4.25,130100
2000-07-17,3.9529194831848145,4.9375,5.0,4.875,4.875,66900
2000-07-18,3.9529194831848145,4.9375,5.0,4.875,4.9375,75000
2000-07-19,3.9028842449188232,4.875,5.0,4.875,4.9375,22300
2000-07-20,3.752774715423584,4.6875,4.9375,4.625,4.875,75500
2000-07-21,3.752774715423584,4.6875,4.8125,4.625,4.6875,24800
2000-07-24,3.8528475761413574,4.8125,4.875,4.6875,4.6875,28300
2000-07-25,3.8528475761413574,4.8125,4.875,4.75,4.875,14800
