Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,10.100502014160156,24.0625,24.875,23.6875,24.875,602300
2000-01-04,9.995561599731445,23.8125,24.0625,23.5625,24.0,397200
2000-01-05,9.943097114562988,23.6875,24.0,23.6875,23.8125,234900
2000-01-06,9.943097114562988,23.6875,24.0,23.5,23.6875,298400
2000-01-07,10.598969459533691,25.25,25.375,23.9375,23.9375,512400
2000-01-10,10.467794418334961,24.9375,25.1875,24.25,25.125,486800
2000-01-11,10.310380935668945,24.5625,25.375,24.375,25.3125,649500
2000-01-12,10.231677055358887,24.375,25.5,24.125,24.75,1105000
2000-01-13,10.467794418334961,24.9375,25.5625,24.125,24.4375,561900
2000-01-14,10.389086723327637,24.75,25.375,24.1875,24.375,510000
2000-01-18,10.415322303771973,24.8125,25.1875,24.5625,24.875,308400
2000-01-19,10.52026653289795,25.0625,25.5,24.6875,24.9375,321600
2000-01-20,10.2054443359375,24.3125,25.125,24.0,25.125,309400
2000-01-21,10.152968406677246,24.1875,24.625,24.0625,24.625,450800
2000-01-24,10.100502014160156,24.0625,24.75,24.0625,24.4375,250800
2000-01-25,9.943097114562988,23.6875,24.625,23.625,24.125,748600
2000-01-26,9.733211517333984,23.1875,23.6875,23.0,23.6875,849200
2000-01-27,9.654505729675293,23.0,23.5,23.0,23.3125,435400
2000-01-28,9.549566268920898,22.75,23.25,22.6875,23.0625,519100
2000-01-31,10.126734733581543,24.125,24.8125,22.8125,22.875,659400
2000-02-01,9.680741310119629,23.0625,24.0625,22.75,24.0,452300
2000-02-02,9.654505729675293,23.0,23.25,22.8125,23.0625,507000
2000-02-03,9.706972122192383,23.125,23.625,22.75,23.0,331000
2000-02-04,9.549566268920898,22.75,23.3125,22.5,23.0625,316800
2000-02-07,9.628273010253906,22.9375,23.3125,22.5,22.75,286700
2000-02-08,9.549566268920898,22.75,23.3125,22.75,22.875,352300
2000-02-09,9.44462776184082,22.5,22.9375,22.375,22.75,344900
2000-02-10,9.28720760345459,22.125,22.75,21.5625,22.5,523700
2000-02-11,9.077335357666016,21.625,22.5,21.375,22.125,439900
2000-02-14,9.260984420776367,22.0625,22.375,21.625,21.6875,425600
2000-02-15,9.418392181396484,22.4375,22.4375,21.8125,22.1875,363200
2000-02-16,9.365922927856445,22.3125,22.625,22.25,22.375,285200
2000-02-17,9.365922927856445,22.3125,22.4375,22.25,22.375,425800
2000-02-18,9.392157554626465,22.375,22.4375,22.1875,22.3125,582200
2000-02-22,9.523329734802246,22.6875,22.6875,22.25,22.5,409600
2000-02-23,9.260984420776367,22.0625,22.625,21.9375,22.4375,509900
2000-02-24,9.15604305267334,21.8125,22.125,21.5,22.0625,895500
2000-02-25,9.12980842590332,21.75,22.125,21.4375,22.0,449500
2000-02-28,9.260984420776367,22.0625,22.25,21.5,22.0,392200
2000-02-29,9.470867156982422,22.5625,22.6875,21.5625,22.3125,435100
2000-03-01,9.32213306427002,21.9375,22.3125,21.25,22.25,457500
2000-03-02,9.269015312194824,21.8125,22.0625,21.3125,22.0,562900
2000-03-03,9.295575141906738,21.875,22.0625,21.375,21.625,354100
2000-03-06,9.056541442871094,21.3125,21.875,21.0,21.625,569500
2000-03-07,8.631604194641113,20.3125,21.0625,20.125,21.0625,426200
2000-03-08,8.817517280578613,20.75,20.9375,19.9375,20.0625,505800
2000-03-09,8.737835884094238,20.5625,20.75,20.5625,20.75,415800
2000-03-10,8.790956497192383,20.6875,20.9375,20.5,20.5,492500
2000-03-13,8.950310707092285,21.0625,21.5,20.4375,20.5,536500
2000-03-14,8.658163070678711,20.375,21.0625,20.25,21.0,801300
2000-03-15,9.348689079284668,22.0,22.1875,20.5625,20.625,582300
2000-03-16,9.932984352111816,23.375,23.875,22.0625,22.25,744100
2000-03-17,10.092338562011719,23.75,24.125,23.1875,24.125,857400
2000-03-20,9.9064302444458,23.3125,23.75,23.0625,23.75,333500
2000-03-21,9.986101150512695,23.5,23.5625,23.0625,23.5,382500
2000-03-22,9.939623832702637,23.390625,23.75,23.125,23.5,476900
2000-03-23,10.059142112731934,23.671875,24.25,23.3125,23.5,359600
2000-03-24,9.879865646362305,23.25,23.5625,23.1875,23.5,788300
2000-03-27,9.986101150512695,23.5,23.75,23.125,23.1875,352300
2000-03-28,9.879865646362305,23.25,23.625,23.125,23.1875,337900
2000-03-29,9.879865646362305,23.25,23.4375,23.0625,23.125,400700
2000-03-30,10.012659072875977,23.5625,23.75,23.0625,23.25,317000
2000-03-31,10.145454406738281,23.875,23.9375,23.25,23.3125,341900
2000-04-03,10.27824592590332,24.1875,24.3125,23.5625,23.875,368400
2000-04-04,10.331364631652832,24.3125,24.8125,23.3125,24.75,504700
2000-04-05,10.331364631652832,24.3125,24.5,24.0625,24.5,357200
2000-04-06,10.411043167114258,24.5,24.75,24.0,24.5625,267200
2000-04-07,10.198576927185059,24.0,24.8125,23.9375,24.125,264100
2000-04-10,10.304804801940918,24.25,24.75,23.9375,24.25,233100
2000-04-11,10.676626205444336,25.125,25.25,24.0,24.375,468300
2000-04-12,10.49071979522705,24.6875,25.5,24.125,25.0,715300
2000-04-13,10.437596321105957,24.5625,25.1875,24.5,24.625,535200
2000-04-14,10.172013282775879,23.9375,24.75,23.75,24.3125,644700
2000-04-17,10.437596321105957,24.5625,24.75,23.9375,24.0,582100
2000-04-18,10.517273902893066,24.75,24.75,24.125,24.5625,250700
2000-04-19,10.49071979522705,24.6875,25.0,24.25,24.5625,342100
2000-04-20,10.517273902893066,24.75,25.0625,24.6875,25.0,321200
2000-04-24,10.72974681854248,25.25,25.4375,24.75,25.0,241100
2000-04-25,11.15468692779541,26.25,26.3125,25.125,25.125,414500
2000-04-26,11.18124771118164,26.3125,26.5,25.9375,26.125,499200
2000-04-27,11.075010299682617,26.0625,26.4375,26.0,26.4375,533500
2000-04-28,11.15468692779541,26.25,26.4375,25.9375,26.0625,500600
2000-05-01,11.23436164855957,26.4375,26.6875,26.0,26.0625,278700
2000-05-02,11.15468692779541,26.25,26.625,26.1875,26.4375,230000
2000-05-03,11.075010299682617,26.0625,26.375,25.9375,26.3125,364500
2000-05-04,11.048456192016602,26.0,26.625,25.875,26.25,333900
2000-05-05,10.862543106079102,25.5625,26.25,25.5625,26.125,280500
2000-05-08,11.021895408630371,25.9375,26.25,25.375,25.625,180100
2000-05-09,10.942216873168945,25.75,26.1875,25.25,26.1875,211100
2000-05-10,10.809423446655273,25.4375,26.0,25.0,25.5,232600
2000-05-11,10.83598518371582,25.5,25.8125,25.375,25.375,270700
2000-05-12,10.889100074768066,25.625,25.75,25.0625,25.5,403900
2000-05-15,10.809423446655273,25.4375,25.6875,25.3125,25.4375,191900
2000-05-16,11.021895408630371,25.9375,26.25,25.1875,25.1875,240100
2000-05-17,10.756311416625977,25.3125,25.6875,25.0625,25.6875,235500
2000-05-18,10.676626205444336,25.125,25.6875,25.0,25.25,494800
2000-05-19,10.676626205444336,25.125,25.1875,24.75,24.875,465600
2000-05-22,10.650073051452637,25.0625,25.5,25.0,25.1875,293100
2000-05-23,10.623516082763672,25.0,25.3125,25.0,25.0625,229900
2000-05-24,10.809423446655273,25.4375,25.8125,25.125,25.25,437700
2000-05-25,10.676626205444336,25.125,25.3125,24.75,25.1875,376800
2000-05-26,10.331364631652832,24.3125,25.0,24.125,24.875,404300
2000-05-30,10.46415901184082,24.625,24.8125,24.3125,24.3125,375900
2000-05-31,10.145454406738281,23.875,24.75,23.875,24.75,705300
2000-06-01,10.304804801940918,24.25,24.3125,23.875,23.875,512200
2000-06-02,10.304804801940918,24.25,24.5625,24.125,24.375,396100
2000-06-05,10.27824592590332,24.1875,24.625,24.0625,24.125,331900
2000-06-06,10.118896484375,23.8125,24.25,23.3125,23.8125,759400
2000-06-07,9.968428611755371,23.1875,23.625,23.0625,23.5,371200
2000-06-08,9.941555976867676,23.125,23.4375,23.0,23.125,582500
2000-06-09,9.887821197509766,23.0,23.25,22.875,23.0,310200
2000-06-12,9.860952377319336,22.9375,23.1875,22.8125,23.0,300700
2000-06-13,9.941555976867676,23.125,23.25,22.75,22.75,291700
2000-06-14,9.968428611755371,23.1875,23.6875,23.0,23.1875,286000
2000-06-15,9.780345916748047,22.75,23.25,22.6875,22.9375,370100
2000-06-16,9.51164722442627,22.125,22.8125,21.875,22.75,641600
2000-06-19,9.29670238494873,21.625,22.0625,21.5625,22.0,490800
2000-06-20,9.189226150512695,21.375,21.6875,21.125,21.625,433900
2000-06-21,9.162354469299316,21.3125,21.6875,21.0625,21.5,386900
2000-06-22,9.081748962402344,21.125,21.375,21.0,21.25,426700
2000-06-23,9.108617782592773,21.1875,21.4375,21.0,21.375,387000
2000-06-26,9.028013229370117,21.0,21.5,20.6875,21.0,353200
2000-06-27,9.108617782592773,21.1875,21.4375,20.5625,20.875,359500
2000-06-28,9.06159782409668,21.078125,21.5,20.9375,21.0625,1103400
2000-06-29,8.920537948608398,20.75,21.125,20.5,20.8125,807600
2000-06-30,8.598101615905762,20.0,21.1875,19.984375,20.8125,1061100
2000-07-03,9.028013229370117,21.0,21.25,20.25,20.25,386100
2000-07-05,9.05488109588623,21.0625,21.1875,20.75,20.75,1033400
2000-07-06,9.05488109588623,21.0625,21.375,20.5,21.0625,384000
2000-07-07,9.21609878540039,21.4375,21.875,21.125,21.375,1045200
2000-07-10,9.29670238494873,21.625,21.8125,21.3125,21.5,661200
2000-07-11,9.431047439575195,21.9375,22.1875,21.4375,21.5625,878100
2000-07-12,9.377307891845703,21.8125,22.0625,21.5,21.5625,229300
2000-07-13,9.377307891845703,21.8125,21.9375,21.4375,21.75,247700
2000-07-14,9.404180526733398,21.875,22.0,21.6875,21.875,197900
2000-07-17,9.21609878540039,21.4375,21.5625,21.25,21.5,370300
2000-07-18,9.135489463806152,21.25,21.5625,21.0,21.25,454800
2000-07-19,8.974274635314941,20.875,21.34375,20.875,21.3125,290500
2000-07-20,8.94740104675293,20.8125,21.0625,20.6875,20.8125,301800
2000-07-21,8.86679744720459,20.625,20.9375,20.5625,20.75,567400
2000-07-24,9.05488109588623,21.0625,21.375,20.875,20.875,315000
2000-07-25,8.920537948608398,20.75,21.5,20.625,21.4375,703300
2000-07-26,8.94740104675293,20.8125,21.0625,20.625,20.625,477100
2000-07-27,8.81306266784668,20.5,20.875,20.375,20.5625,717700
2000-07-28,8.65184497833252,20.125,20.5,20.0625,20.25,345900
2000-07-31,8.624974250793457,20.0625,20.625,20.0,20.5625,674800
2000-08-01,8.732449531555176,20.3125,20.5,20.0625,20.25,433500
2000-08-02,8.81306266784668,20.5,20.5625,20.25,20.5,424100
2000-08-03,8.732449531555176,20.3125,20.75,20.3125,20.5,557300
2000-08-04,8.81306266784668,20.5,20.75,20.1875,20.25,543100
2000-08-07,8.839924812316895,20.5625,20.6875,20.375,20.6875,472500
2000-08-08,9.001145362854004,20.9375,21.125,20.5625,20.6875,461400
2000-08-09,8.94740104675293,20.8125,21.0,20.75,20.8125,289100
2000-08-10,9.028013229370117,21.0,21.1875,20.875,20.9375,342900
2000-08-11,9.269831657409668,21.5625,21.8125,21.0625,21.0625,556200
2000-08-14,9.377307891845703,21.8125,21.9375,21.5,21.6875,573500
2000-08-15,9.189226150512695,21.375,21.8125,21.25,21.75,252400
2000-08-16,9.189226150512695,21.375,21.4375,20.8125,21.375,344500
2000-08-17,9.21609878540039,21.4375,21.5,21.0625,21.125,201700
2000-08-18,9.108617782592773,21.1875,21.5,21.0625,21.25,324500
2000-08-21,9.189226150512695,21.375,21.5,21.0625,21.3125,310400
2000-08-22,9.242964744567871,21.5,21.6875,21.0,21.5625,699700
2000-08-23,8.974274635314941,20.875,21.4375,20.75,21.4375,434400
2000-08-24,9.028013229370117,21.0,21.25,20.9375,20.9375,251000
2000-08-25,8.974274635314941,20.875,21.125,20.8125,21.0,585500
2000-08-28,8.94740104675293,20.8125,21.0,20.75,20.875,448300
2000-08-29,8.86679744720459,20.625,20.875,20.5,20.75,495500
2000-08-30,8.839924812316895,20.5625,20.75,20.5,20.625,390600
2000-08-31,8.839924812316895,20.5625,20.75,20.5,20.625,416900
2000-09-01,8.759320259094238,20.375,20.75,20.3125,20.5625,255800
2000-09-05,8.974274635314941,20.875,21.0,20.6875,20.75,888100
2000-09-06,9.148530006408691,21.0,21.0625,20.75,20.8125,636600
2000-09-07,9.121304512023926,20.9375,21.25,20.875,21.1875,327700
2000-09-08,9.012391090393066,20.6875,21.125,20.5,21.0,355900
2000-09-11,9.121304512023926,20.9375,21.0625,20.5625,20.8125,396100
2000-09-12,9.066848754882812,20.8125,21.125,20.5625,20.9375,410900
2000-09-13,8.957932472229004,20.5625,21.0625,20.4375,20.5625,414600
2000-09-14,8.794570922851562,20.1875,20.4375,20.0625,20.4375,501700
2000-09-15,8.685660362243652,19.9375,20.4375,19.875,20.375,875400
2000-09-18,8.576744079589844,19.6875,19.875,19.5625,19.875,727800
2000-09-19,8.38615608215332,19.25,19.625,18.9375,19.5625,703100
2000-09-20,8.250016212463379,18.9375,19.25,18.875,19.125,419300
2000-09-21,8.304469108581543,19.0625,19.125,18.25,18.25,849800
2000-09-22,8.250016212463379,18.9375,19.1875,18.75,19.125,484600
2000-09-25,8.195561408996582,18.8125,19.4375,18.6875,18.9375,413800
2000-09-26,8.11387825012207,18.625,19.5,18.625,19.0,341900
2000-09-27,8.331696510314941,19.125,19.1875,18.75,18.8125,226900
2000-09-28,8.331696510314941,19.125,19.375,18.75,19.125,339000
2000-09-29,8.304469108581543,19.0625,19.4375,18.9375,19.1875,553200
2000-10-02,8.277242660522461,19.0,19.375,18.9375,19.25,686400
2000-10-03,8.549518585205078,19.625,19.9375,19.0,19.125,550600
2000-10-04,8.549518585205078,19.625,20.1875,19.625,19.6875,290300
2000-10-05,8.631206512451172,19.8125,20.0625,19.5625,19.5625,212000
2000-10-06,8.522292137145996,19.5625,20.0,19.4375,20.0,419500
2000-10-09,8.576744079589844,19.6875,19.9375,19.5625,19.75,181300
2000-10-10,8.549518585205078,19.625,19.875,19.5625,19.75,240700
2000-10-11,8.603973388671875,19.75,20.0625,19.5625,19.5625,592300
2000-10-12,8.549518585205078,19.625,19.9375,19.4375,19.6875,634800
2000-10-13,8.522292137145996,19.5625,19.75,19.5,19.5,534000
2000-10-16,8.522292137145996,19.5625,19.75,19.4375,19.6875,300800
