Date,adj_close,Close,High,Low,Open,Volume
2001-01-16,3.4031832218170166,3.75,3.75,3.75,3.75,3200
2001-01-17,3.4031832218170166,3.75,3.75,3.75,3.75,122800
2001-01-18,3.7435007095336914,4.125,4.125,3.875,3.875,167200
2001-01-19,3.8853018283843994,4.28125,4.28125,4.1875,4.1875,59600
2001-01-22,4.140542030334473,4.5625,4.625,4.25,4.25,146800
2001-01-23,4.253979206085205,4.6875,4.78125,4.5,4.5,76000
2001-01-24,4.140542030334473,4.5625,4.625,4.5625,4.625,560000
2001-01-25,4.253979206085205,4.6875,4.6875,4.625,4.65625,143200
2001-01-26,4.197256565093994,4.625,4.640625,4.625,4.625,82000
2001-01-29,4.242636203765869,4.675000190734863,4.6875,4.599999904632568,4.630000114440918,262000
2001-01-30,4.219947814941406,4.650000095367432,4.675000190734863,4.587500095367432,4.675000190734863,339200
2001-01-31,4.253979206085205,4.6875,4.762499809265137,4.675000190734863,4.675000190734863,326000
2001-02-01,4.741765975952148,5.224999904632568,5.300000190734863,4.690000057220459,4.75,2556800
2001-02-02,4.725887775421143,5.207499980926514,5.25,5.150000095367432,5.1875,795600
2001-02-05,4.530773639678955,4.992499828338623,5.362500190734863,4.980000019073486,5.212500095367432,644800
2001-02-06,4.480858325958252,4.9375,5.005000114440918,4.9375,4.974999904632568,1338800
2001-02-07,4.5375776290893555,5.0,5.0,4.912499904632568,4.925000190734863,1350400
2001-02-08,4.424139499664307,4.875,5.039999961853027,4.875,5.0,578800
2001-02-09,4.480858325958252,4.9375,4.9375,4.875,4.875,441600
2001-02-12,4.378763675689697,4.824999809265137,4.9375,4.824999809265137,4.9375,327200
2001-02-13,4.36741828918457,4.8125,4.885000228881836,4.8125,4.824999809265137,648800
2001-02-14,4.328851222991943,4.769999980926514,4.8125,4.767499923706055,4.8125,135600
2001-02-15,4.15188455581665,4.574999809265137,4.787499904632568,4.574999809265137,4.775000095367432,454400
2001-02-16,4.099700450897217,4.517499923706055,4.525000095367432,4.349999904632568,4.525000095367432,427200
2001-02-20,4.104237079620361,4.522500038146973,4.537499904632568,4.452499866485596,4.517499923706055,1000400
2001-02-21,4.101967811584473,4.519999980926514,4.522500038146973,4.474999904632568,4.522500038146973,443600
2001-02-22,4.090627670288086,4.507500171661377,4.534999847412109,4.474999904632568,4.519999980926514,623600
2001-02-23,4.185916423797607,4.612500190734863,4.675000190734863,4.5,4.525000095367432,1222800
2001-02-26,4.310699939727783,4.75,4.78000020980835,4.625,4.625,1182400
2001-02-27,4.288012981414795,4.724999904632568,4.75,4.724999904632568,4.75,690000
2001-02-28,4.310699939727783,4.75,4.75,4.712500095367432,4.724999904632568,326000
2001-03-01,4.242636203765869,4.675000190734863,4.724999904632568,4.675000190734863,4.724999904632568,155200
2001-03-02,4.2562479972839355,4.690000057220459,4.702499866485596,4.675000190734863,4.6875,836800
2001-03-05,4.3129682540893555,4.752500057220459,4.762499809265137,4.6875,4.6875,402800
2001-03-06,4.265321731567383,4.699999809265137,4.775000095367432,4.699999809265137,4.752500057220459,610000
2001-03-07,4.308430194854736,4.747499942779541,4.747499942779541,4.699999809265137,4.699999809265137,89600
2001-03-08,4.265321731567383,4.699999809265137,4.744999885559082,4.699999809265137,4.744999885559082,211600
2001-03-09,4.260785102844238,4.695000171661377,4.702499866485596,4.675000190734863,4.699999809265137,269600
2001-03-12,4.242636203765869,4.675000190734863,4.724999904632568,4.662499904632568,4.695000171661377,106400
2001-03-13,4.185916423797607,4.612500190734863,4.712500095367432,4.612500190734863,4.712500095367432,671600
2001-03-14,4.061132907867432,4.474999904632568,4.637499809265137,4.46750020980835,4.612500190734863,455600
2001-03-15,3.954500436782837,4.357500076293945,4.449999809265137,4.287499904632568,4.449999809265137,1160400
2001-03-16,3.936349868774414,4.337500095367432,4.449999809265137,4.337500095367432,4.387499809265137,402800
2001-03-19,3.9023163318634033,4.300000190734863,4.4375,4.287499904632568,4.287499904632568,1173600
2001-03-20,3.879629373550415,4.275000095367432,4.389999866485596,4.25,4.3125,222000
2001-03-21,3.7775323390960693,4.162499904632568,4.300000190734863,4.0625,4.275000095367432,135200
2001-03-22,4.049787521362305,4.462500095367432,4.462500095367432,4.25,4.3125,2125600
2001-03-23,4.15188455581665,4.574999809265137,4.574999809265137,4.474999904632568,4.474999904632568,757600
2001-03-26,4.197256565093994,4.625,4.625,4.570000171661377,4.612500190734863,207600
2001-03-27,4.163227558135986,4.587500095367432,4.612500190734863,4.53249979019165,4.599999904632568,435200
2001-03-28,4.049787521362305,4.462500095367432,4.599999904632568,4.462500095367432,4.574999809265137,420800
2001-03-29,3.9250071048736572,4.324999809265137,4.449999809265137,4.324999809265137,4.449999809265137,535200
2001-03-30,4.197256565093994,4.625,4.625,4.324999809265137,4.324999809265137,1308800
2001-04-02,4.038442611694336,4.449999809265137,4.599999904632568,4.425000190734863,4.599999904632568,685600
2001-04-03,4.083822250366211,4.5,4.5,4.362500190734863,4.449999809265137,192800
2001-04-04,4.081550121307373,4.497499942779541,4.5,4.4375,4.462500095367432,606000
2001-04-05,4.111044883728027,4.53000020980835,4.53000020980835,4.482500076293945,4.5,629200
2001-04-06,4.27666711807251,4.712500095367432,4.735000133514404,4.5,4.517499923706055,476000
2001-04-09,4.222215175628662,4.652500152587891,4.739999771118164,4.612500190734863,4.715000152587891,113600
2001-04-10,4.3220438957214355,4.762499809265137,4.775000095367432,4.677499771118164,4.677499771118164,954400
2001-04-11,4.741765975952148,5.224999904632568,5.224999904632568,4.875,4.875,1570000
2001-04-12,5.070743083953857,5.587500095367432,5.587500095367432,5.167500019073486,5.167500019073486,689200
2001-04-16,4.877899646759033,5.375,5.574999809265137,5.364999771118164,5.574999809265137,368000
2001-04-17,4.877899646759033,5.375,5.4375,5.264999866485596,5.349999904632568,581200
2001-04-18,4.827983856201172,5.320000171661377,5.352499961853027,5.25,5.25,285200
2001-04-19,4.81890869140625,5.309999942779541,5.320000171661377,5.162499904632568,5.295000076293945,121600
2001-04-20,4.764455795288086,5.25,5.449999809265137,5.237500190734863,5.349999904632568,1139600
2001-04-23,4.741765975952148,5.224999904632568,5.275000095367432,5.212500095367432,5.275000095367432,946400
2001-04-24,4.741765975952148,5.224999904632568,5.232500076293945,5.1875,5.21999979019165,626000
2001-04-25,4.7758002281188965,5.262499809265137,5.287499904632568,5.224999904632568,5.224999904632568,326000
2001-04-26,4.759918212890625,5.244999885559082,5.287499904632568,5.227499961853027,5.264999866485596,469200
2001-04-27,4.764455795288086,5.25,5.252500057220459,5.230000019073486,5.247499942779541,549200
2001-04-30,4.798489093780518,5.287499904632568,5.400000095367432,5.1875,5.199999809265137,946800
2001-05-01,5.413330078125,5.965000152587891,6.09499979019165,5.287499904632568,5.287499904632568,889200
2001-05-02,5.549456596374512,6.114999771118164,6.237500190734863,5.800000190734863,6.0,547600
2001-05-03,5.445093154907227,6.0,6.099999904632568,5.949999809265137,6.074999809265137,289200
2001-05-04,5.440554618835449,5.994999885559082,6.050000190734863,5.949999809265137,5.962500095367432,521600
2001-05-07,5.533576488494873,6.097499847412109,6.125,6.025000095367432,6.025000095367432,176000
2001-05-08,5.710541248321533,6.292500019073486,6.292500019073486,6.125,6.125,920000
2001-05-09,5.50181245803833,6.0625,6.275000095367432,6.0625,6.275000095367432,213200
2001-05-10,5.374760627746582,5.922500133514404,6.037499904632568,5.922500133514404,6.012499809265137,161600
2001-05-11,5.220483303070068,5.752500057220459,5.947500228881836,5.75,5.947500228881836,71600
2001-05-14,5.460973739624023,6.017499923706055,6.025000095367432,5.632500171661377,5.787499904632568,136400
2001-05-15,5.613234519958496,6.175000190734863,6.247499942779541,6.037499904632568,6.037499904632568,244800
2001-05-16,5.692777633666992,6.262499809265137,6.300000190734863,6.125,6.162499904632568,309600
2001-05-17,5.931394577026367,6.525000095367432,6.550000190734863,6.28000020980835,6.28000020980835,278800
2001-05-18,5.908668041229248,6.5,6.550000190734863,6.492499828338623,6.5,119600
2001-05-21,5.9768452644348145,6.574999809265137,6.574999809265137,6.425000190734863,6.474999904632568,113600
2001-05-22,6.022298336029053,6.625,6.925000190734863,6.557499885559082,6.625,606800
2001-05-23,5.885945796966553,6.474999904632568,6.625,6.462500095367432,6.612500190734863,323200
2001-05-24,5.704139232635498,6.275000095367432,6.474999904632568,6.162499904632568,6.474999904632568,375200
2001-05-25,5.77231502532959,6.349999904632568,6.349999904632568,6.275000095367432,6.275000095367432,251600
2001-05-29,5.783679962158203,6.362500190734863,6.4375,6.324999809265137,6.337500095367432,271200
2001-05-30,5.899581432342529,6.489999771118164,6.5,6.362500190734863,6.362500190734863,334000
2001-05-31,5.9768452644348145,6.574999809265137,6.675000190734863,6.5,6.5,350400
2001-06-01,5.920034408569336,6.512499809265137,6.599999904632568,6.502500057220459,6.574999809265137,77200
2001-06-04,6.090476036071777,6.699999809265137,6.699999809265137,6.537499904632568,6.537499904632568,92800
2001-06-05,6.158653259277344,6.775000095367432,6.800000190734863,6.650000095367432,6.800000190734863,513600
2001-06-06,6.160921573638916,6.777500152587891,6.809999942779541,6.727499961853027,6.762499809265137,279200
2001-06-07,6.254100799560547,6.880000114440918,6.925000190734863,6.75,6.752500057220459,400000
2001-06-08,6.215465545654297,6.837500095367432,6.862500190734863,6.824999809265137,6.849999904632568,111600
2001-06-11,6.124566078186035,6.737500190734863,6.837500095367432,6.724999904632568,6.832499980926514,267200
2001-06-12,6.226829528808594,6.849999904632568,6.875,6.712500095367432,6.724999904632568,351600
2001-06-13,6.306367874145508,6.9375,7.074999809265137,6.857500076293945,6.862500190734863,111600
