Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,60.47425842285156,88.3125,94.375,87.75,94.1875,1822600
2000-01-04,56.66520309448242,82.75,87.5,82.25,87.0,1647700
2000-01-05,54.011661529541016,78.875,81.875,78.375,80.875,1516600
2000-01-06,56.32277297973633,82.25,84.5,78.625,78.625,1845100
2000-01-07,56.53679656982422,82.5625,83.1875,79.875,83.0625,1127400
2000-01-10,57.77794647216797,84.375,84.875,81.75,81.75,803100
2000-01-11,58.07752227783203,84.8125,86.25,84.5625,85.0,808600
2000-01-12,57.77794647216797,84.375,86.0,83.375,84.125,916100
2000-01-13,57.86354446411133,84.5,85.125,82.875,85.125,711000
2000-01-14,58.63390350341797,85.625,86.9375,85.3125,85.5,607000
2000-01-18,59.48987579345703,86.875,89.125,84.75,85.0,1095700
2000-01-19,59.96064758300781,87.5625,89.375,86.75,86.875,636900
2000-01-20,58.928646087646484,85.9375,87.9375,84.875,87.0,621800
2000-01-21,58.75722122192383,85.6875,86.1875,84.5625,86.1875,542500
2000-01-24,56.05721664428711,81.75,87.5,81.5,87.5,712900
2000-01-25,57.514381408691406,83.875,84.1875,82.375,83.0,749300
2000-01-26,60.51438522338867,88.25,88.5,84.125,84.125,1086600
2000-01-27,61.028663635253906,89.0,89.9375,87.625,88.25,702000
2000-01-28,59.6572380065918,87.0,88.0,86.125,87.5,776800
2000-01-31,62.828670501708984,91.625,91.6875,86.5,87.0,801800
2000-02-01,62.571502685546875,91.25,93.0,90.5,92.875,813100
2000-02-02,62.48579025268555,91.125,91.625,88.625,90.75,964700
2000-02-03,58.54290008544922,85.375,91.125,84.8125,90.0,2213300
2000-02-04,58.071502685546875,84.6875,87.25,83.5625,87.25,1451700
2000-02-07,58.800086975097656,85.75,86.5,83.5,84.4375,929800
2000-02-08,61.32866287231445,89.4375,89.625,85.75,85.75,1024800
2000-02-09,59.48577117919922,86.75,89.4375,86.5625,89.4375,397100
2000-02-10,59.400081634521484,86.625,87.3125,85.5,86.75,503200
2000-02-11,58.37147903442383,85.125,88.75,85.0,86.4375,856900
2000-02-14,59.314369201660156,86.5,86.875,84.625,85.125,627800
2000-02-15,59.314369201660156,86.5,86.625,85.125,86.25,542400
2000-02-16,56.871517181396484,82.9375,87.3125,82.875,86.75,720300
2000-02-17,56.31436538696289,82.125,84.75,81.125,84.75,895500
