Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,12.452208518981934,19.15625,20.21875,18.90625,20.21875,3490800
2000-01-04,12.513142585754395,19.25,19.5,18.78125,18.78125,4968200
2000-01-05,11.964675903320312,18.40625,18.96875,18.28125,18.75,7524600
2000-01-06,12.452208518981934,19.15625,19.25,18.40625,18.40625,8868600
2000-01-07,13.224104881286621,20.34375,20.4375,19.28125,19.625,8737400
2000-01-10,12.695963859558105,19.53125,20.65625,19.15625,20.65625,5440000
2000-01-11,13.163178443908691,20.25,20.25,19.375,19.71875,5752000
2000-01-12,12.269381523132324,18.875,20.25,18.84375,20.0,5840600
2000-01-13,12.431891441345215,19.125,19.625,19.0,19.15625,7705200
2000-01-14,12.533452987670898,19.28125,19.59375,18.71875,19.25,7083000
2000-01-18,13.549134254455566,20.84375,21.125,19.125,19.15625,12708400
2000-01-19,13.711636543273926,21.09375,21.25,20.53125,20.84375,7712000
2000-01-20,13.264744758605957,20.40625,21.09375,20.40625,21.09375,9798000
2000-01-21,13.772581100463867,21.1875,21.75,20.65625,20.75,6455600
2000-01-24,12.960047721862793,19.9375,21.75,19.65625,21.1875,6052200
2000-01-25,13.000672340393066,20.0,20.71875,19.5625,19.96875,5748000
2000-01-26,12.57408332824707,19.34375,20.9375,19.21875,20.5,8223000
2000-01-27,12.188125610351562,18.75,19.96875,18.3125,19.5,6704000
2000-01-28,11.639660835266113,17.90625,18.8125,17.625,18.375,7333400
2000-01-31,11.741223335266113,18.0625,18.25,17.75,17.9375,5969400
2000-02-01,11.822480201721191,18.1875,18.4375,17.78125,18.15625,5991200
2000-02-02,12.066245079040527,18.5625,18.6875,18.125,18.625,6113400
2000-02-03,12.147502899169922,18.6875,18.78125,18.28125,18.6875,4271800
2000-02-04,11.964675903320312,18.40625,18.65625,18.15625,18.4375,4684200
2000-02-07,12.147502899169922,18.6875,19.125,18.28125,18.40625,3883400
2000-02-08,11.984989166259766,18.4375,19.1875,18.21875,19.1875,4559600
2000-02-09,11.538095474243164,17.75,18.6875,17.3125,18.3125,6528800
2000-02-10,11.517783164978027,17.71875,18.0,17.46875,17.53125,7606400
2000-02-11,11.13182258605957,17.125,17.96875,17.0,17.9375,6207200
2000-02-14,11.680288314819336,17.96875,18.125,16.84375,17.375,6191200
