Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,6.057835578918457,9.4375,9.5625,9.3125,9.5625,102200
2000-01-04,5.857241630554199,9.125,9.375,9.0,9.3125,97100
2000-01-05,5.8973612785339355,9.1875,9.1875,9.0,9.125,101600
2000-01-06,5.736887454986572,8.9375,9.125,8.875,9.0625,122300
2000-01-07,5.817121982574463,9.0625,9.125,8.875,9.0,130900
2000-01-10,6.138070583343506,9.5625,9.5625,9.1875,9.1875,165700
2000-01-11,6.097949981689453,9.5,9.6875,9.5,9.6875,63000
2000-01-12,6.178187370300293,9.625,9.75,9.5,9.625,433800
2000-01-13,6.178187370300293,9.625,9.6875,9.625,9.625,54500
2000-01-14,6.138070583343506,9.5625,9.6875,9.5,9.625,45200
2000-01-18,6.057835578918457,9.4375,9.5625,9.375,9.5625,84000
2000-01-19,6.057835578918457,9.4375,9.4375,9.3125,9.4375,86800
2000-01-20,5.977599143981934,9.3125,9.5625,8.9375,9.5625,162300
2000-01-21,6.4590163230896,10.0625,10.625,9.875,10.0,1517200
2000-01-24,6.2985405921936035,9.8125,10.25,9.75,10.0625,274100
2000-01-25,6.057835578918457,9.4375,9.8125,9.3125,9.8125,215600
2000-01-26,6.178187370300293,9.625,9.6875,9.375,9.5625,127900
2000-01-27,6.097949981689453,9.5,9.6875,9.25,9.6875,141400
2000-01-28,5.937479496002197,9.25,9.4375,9.25,9.25,149200
2000-01-31,6.178187370300293,9.625,9.625,9.25,9.375,148000
2000-02-01,6.258422374725342,9.75,9.8125,9.4375,9.4375,158400
2000-02-02,6.5793657302856445,10.25,10.375,9.6875,9.6875,182200
2000-02-03,6.418892860412598,10.0,10.4375,9.9375,10.375,115300
2000-02-04,6.499129772186279,10.125,10.375,10.0,10.125,129200
2000-02-07,6.4590163230896,10.0625,10.25,9.875,10.1875,73600
2000-02-08,6.699718952178955,10.4375,10.5625,10.1875,10.1875,186000
2000-02-09,6.338657379150391,9.875,10.5,9.6875,10.4375,87100
2000-02-10,6.5793657302856445,10.25,10.3125,9.9375,10.0,109600
2000-02-11,6.619483947753906,10.3125,10.4375,10.1875,10.25,73000
2000-02-14,6.418892860412598,10.0,10.25,9.875,10.0625,88800
2000-02-15,6.258422374725342,9.75,10.0,9.6875,9.9375,50700
2000-02-16,6.138070583343506,9.5625,9.875,9.3125,9.75,163600
2000-02-17,6.218300819396973,9.6875,9.75,9.625,9.6875,85200
2000-02-18,6.218300819396973,9.6875,9.75,9.5,9.6875,80400
2000-02-22,6.258422374725342,9.75,9.8125,9.625,9.75,68800
2000-02-23,5.977599143981934,9.3125,9.6875,9.125,9.625,106900
2000-02-24,5.817121982574463,9.0625,9.625,9.0625,9.3125,129500
2000-02-25,5.777004718780518,9.0,9.25,8.9375,9.1875,191800
2000-02-28,6.178187370300293,9.625,9.625,9.125,9.125,71100
2000-02-29,6.097949981689453,9.5,9.75,9.0,9.75,159600
2000-03-01,5.937479496002197,9.25,9.6875,9.25,9.375,124000
2000-03-02,6.138070583343506,9.5625,9.6875,9.3125,9.3125,174900
2000-03-03,6.218300819396973,9.6875,10.0,9.5625,9.5625,160400
2000-03-06,6.178187370300293,9.625,9.75,9.5,9.75,167900
2000-03-07,6.258422374725342,9.75,10.1875,9.5,9.625,799900
