Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,10.281111717224121,20.25,22.3125,20.25,22.0,3011300
2000-01-04,10.630157470703125,20.9375,21.3125,20.0,20.0,3593500
2000-01-05,10.693622589111328,21.0625,21.625,20.5,21.25,1721200
2000-01-06,10.852285385131836,21.375,21.75,21.0,21.0,1750700
2000-01-07,10.884015083312988,21.4375,22.0625,21.1875,21.75,2203200
2000-01-10,10.471503257751465,20.625,21.5,20.5625,21.375,1361000
2000-01-11,10.122451782226562,19.9375,20.75,19.75,20.5,2236100
2000-01-12,10.757081985473633,21.1875,21.25,20.0,20.0,3562400
2000-01-13,10.534969329833984,20.75,21.4375,20.5625,21.4375,2871700
2000-01-14,10.408032417297363,20.5,20.9375,20.5,20.75,1609300
2000-01-18,10.154182434082031,20.0,21.25,19.75,21.0,3763800
2000-01-19,10.503231048583984,20.6875,20.75,20.0,20.0625,2270500
2000-01-20,10.439767837524414,20.5625,20.6875,20.375,20.5,2321600
2000-01-21,10.661894798278809,21.0,21.1875,20.625,20.75,2340600
2000-01-24,9.932059288024902,19.5625,21.0625,19.5625,20.9375,1917000
2000-01-25,9.773396492004395,19.25,19.9375,19.125,19.5625,2022500
2000-01-26,10.185911178588867,20.0625,20.0625,19.25,19.4375,2020300
2000-01-27,9.868597030639648,19.4375,20.0,19.0,19.9375,2236300
2000-01-28,9.58301067352295,18.875,19.9375,18.3125,19.0,2213200
2000-01-31,9.392621994018555,18.5,18.875,18.1875,18.3125,1528600
2000-02-01,9.487813949584961,18.6875,18.875,18.375,18.75,737300
2000-02-02,9.487813949584961,18.6875,18.8125,18.1875,18.4375,1633700
2000-02-03,9.456080436706543,18.625,18.9375,18.5,18.625,1830200
2000-02-04,9.709935188293457,19.125,19.3125,18.375,18.75,2012900
2000-02-07,9.519545555114746,18.75,19.5,18.25,19.25,1633700
2000-02-08,9.329157829284668,18.375,18.375,17.875,18.3125,2110300
2000-02-09,9.329157829284668,18.375,18.5,17.875,17.875,1863800
2000-02-10,9.297420501708984,18.3125,18.5,18.0625,18.0625,1814500
2000-02-11,8.884910583496094,17.5,18.3125,17.375,18.125,1821000
2000-02-14,9.17049503326416,18.0625,18.125,17.5,17.75,1839400
2000-02-15,9.202232360839844,18.125,18.1875,17.8125,18.0,1273200
2000-02-16,9.011837005615234,17.75,18.0625,17.5,17.5,1630600
2000-02-17,9.13876724243164,18.0,18.25,17.8125,17.9375,4412100
2000-02-18,8.853175163269043,17.4375,17.875,17.0,17.75,1651200
2000-02-22,9.13876724243164,18.0,18.0,17.0625,17.0625,1411100
2000-02-23,9.043566703796387,17.8125,17.9375,17.5,17.9375,1358100
2000-02-24,8.91663932800293,17.5625,17.6875,17.1875,17.625,1248100
2000-02-25,9.011837005615234,17.75,17.9375,17.5625,17.625,1691300
2000-02-28,8.884910583496094,17.5,17.625,17.125,17.5625,1022400
2000-02-29,8.853175163269043,17.4375,17.875,17.125,17.4375,1285400
2000-03-01,8.980104446411133,17.6875,17.6875,17.375,17.4375,1331700
2000-03-02,8.748929977416992,17.125,17.5625,17.0,17.5,1398200
2000-03-03,8.685070991516113,17.0,17.1875,16.875,17.0625,1733200
2000-03-06,9.195954322814941,18.0,18.25,17.75,17.75,3775600
2000-03-07,8.844720840454102,17.3125,18.0,17.3125,18.0,1289900
2000-03-08,9.004371643066406,17.625,17.625,17.25,17.25,2051400
2000-03-09,8.748929977416992,17.125,17.5,17.0,17.5,1706700
2000-03-10,8.589277267456055,16.8125,17.125,16.6875,17.125,2631700
2000-03-13,8.6531400680542,16.9375,17.0,16.625,16.8125,1434800
2000-03-14,8.493478775024414,16.625,17.0,16.5,17.0,1853600
2000-03-15,8.748929977416992,17.125,17.1875,16.5,16.625,4062700
2000-03-16,9.227884292602539,18.0625,18.25,17.0,17.1875,3771400
2000-03-17,9.195954322814941,18.0,18.75,17.625,18.0625,6524300
2000-03-20,9.076216697692871,17.765625,18.0,17.625,18.0,1103600
2000-03-21,8.844720840454102,17.3125,17.625,17.0625,17.25,1439200
2000-03-22,8.748929977416992,17.125,17.3125,16.9375,17.25,1424500
2000-03-23,8.716995239257812,17.0625,17.375,16.9375,17.0625,918700
2000-03-24,8.940515518188477,17.5,17.75,17.0625,17.0625,2166100
2000-03-27,9.1001615524292,17.8125,17.875,17.25,17.5,1698000
2000-03-28,9.579118728637695,18.75,19.1875,18.0625,18.25,3675900
2000-03-29,9.834558486938477,19.25,19.25,18.3125,18.5625,3296200
2000-03-30,10.664752960205078,20.875,21.25,19.5,19.75,4674400
2000-03-31,10.441239356994629,20.4375,21.0625,19.6875,21.0625,2365800
2000-04-03,10.441239356994629,20.4375,20.875,20.0625,20.0625,1050100
2000-04-04,10.377385139465332,20.3125,21.6875,20.125,21.0,2551700
2000-04-05,10.696683883666992,20.9375,21.625,20.3125,20.3125,1390500
2000-04-06,10.824399948120117,21.1875,22.0625,20.625,21.75,2202200
2000-04-07,10.760543823242188,21.0625,21.5,20.6875,21.3125,1330000
2000-04-10,10.792474746704102,21.125,21.1875,20.3125,20.5,1263400
2000-04-11,10.664752960205078,20.875,21.1875,20.875,20.9375,1365200
2000-04-12,11.271429061889648,22.0625,22.1875,20.9375,20.9375,2865000
2000-04-13,11.047921180725098,21.625,22.0,21.0625,21.375,3730500
2000-04-14,10.568963050842285,20.6875,21.25,20.375,21.1875,2415400
2000-04-17,10.888264656066895,21.3125,21.3125,19.8125,20.625,2157200
2000-04-18,10.728616714477539,21.0,21.125,20.625,21.125,1432900
2000-04-19,10.664752960205078,20.875,21.25,20.8125,20.9375,1112900
2000-04-20,11.59073543548584,22.6875,22.875,21.5625,21.75,2877000
2000-04-24,13.219182968139648,25.875,25.9375,22.3125,22.375,5205300
2000-04-25,13.059544563293457,25.5625,26.4375,24.5,25.875,5013300
2000-04-26,12.325128555297852,24.125,24.875,23.8125,24.75,3442200
2000-04-27,12.19741153717041,23.875,24.4375,23.375,24.0,1761100
2000-04-28,12.70829963684082,24.875,26.0625,24.0,24.0,3415700
2000-05-01,13.793936729431152,27.0,27.3125,24.125,24.25,2702000
2000-05-02,13.314974784851074,26.0625,26.6875,26.0,26.25,2304900
2000-05-03,13.059544563293457,25.5625,26.3125,25.375,25.8125,1438500
2000-05-04,13.442697525024414,26.3125,27.125,25.5,25.5625,1659000
2000-05-05,13.3788423538208,26.1875,26.1875,25.625,25.75,1751900
2000-05-08,13.314974784851074,26.0625,26.25,25.75,26.0,1038600
2000-05-09,13.283044815063477,26.0,26.25,25.75,25.8125,765900
2000-05-10,13.314974784851074,26.0625,26.25,25.75,25.8125,1188300
2000-05-11,13.3788423538208,26.1875,26.4375,25.9375,26.0,846200
2000-05-12,13.187250137329102,25.8125,26.125,25.5625,25.625,814300
2000-05-15,13.091458320617676,25.625,25.9375,25.375,25.6875,682000
2000-05-16,12.86795711517334,25.1875,25.375,24.6875,24.75,1051600
2000-05-17,12.548646926879883,24.5625,25.375,24.5,24.9375,2000700
2000-05-18,12.70829963684082,24.875,25.1875,24.4375,24.4375,2073900
2000-05-19,12.420929908752441,24.3125,24.5625,23.625,24.125,1286300
2000-05-22,12.037760734558105,23.5625,24.6875,23.25,24.375,1283800
2000-05-23,12.836020469665527,25.125,25.3125,23.625,24.25,1109300
2000-05-24,12.804091453552246,25.0625,25.3125,24.5,25.0,2029800
2000-05-25,12.420929908752441,24.3125,25.0625,24.0625,24.8125,822600
2000-05-26,12.293200492858887,24.0625,24.75,23.875,24.5625,501000
2000-05-30,12.702500343322754,24.75,25.0,24.1875,24.3125,1195400
2000-05-31,12.670431137084961,24.6875,24.9375,23.8125,24.875,947700
2000-06-01,12.862894058227539,25.0625,25.0625,24.1875,24.375,876900
2000-06-02,13.311970710754395,25.9375,26.0625,25.3125,25.3125,1608900
2000-06-05,13.27989387512207,25.875,25.9375,25.5,25.9375,1070800
2000-06-06,13.311970710754395,25.9375,26.25,25.6875,26.0,937000
2000-06-07,13.02327823638916,25.375,25.9375,24.875,25.9375,514400
2000-06-08,12.702500343322754,24.75,25.5,24.25,24.875,1071100
2000-06-09,12.991206169128418,25.3125,25.4375,24.8125,24.875,891100
2000-06-12,13.119519233703613,25.5625,25.9375,25.3125,25.4375,744500
2000-06-13,12.959121704101562,25.25,25.375,24.8125,25.3125,479200
2000-06-14,12.670431137084961,24.6875,25.5,24.625,25.375,668000
2000-06-15,12.830812454223633,25.0,25.3125,24.875,25.125,1635700
2000-06-16,12.477971076965332,24.3125,25.0,24.3125,25.0,878600
2000-06-19,12.670431137084961,24.6875,24.6875,23.9375,24.4375,731600
2000-06-20,12.574204444885254,24.5,24.6875,23.75,24.6875,812000
2000-06-21,12.317587852478027,24.0,24.875,24.0,24.4375,475900
2000-06-22,12.15719985961914,23.6875,24.1875,22.8125,24.1875,318500
2000-06-23,12.413816452026367,24.1875,24.4375,23.6875,23.875,1210100
2000-06-26,12.734586715698242,24.8125,25.1875,23.8125,23.9375,1024200
2000-06-27,12.477971076965332,24.3125,25.0625,24.25,24.9375,1267100
2000-06-28,12.15719985961914,23.6875,23.6875,22.4375,23.5,2307000
2000-06-29,12.830812454223633,25.0,25.0,22.75,23.0625,2140000
2000-06-30,12.734586715698242,24.8125,25.125,24.125,24.5,1432400
2000-07-03,12.477971076965332,24.3125,24.625,24.0625,24.625,691800
2000-07-05,12.830812454223633,25.0,25.375,24.1875,24.1875,1005500
2000-07-06,12.959121704101562,25.25,25.5,24.5,24.5,982000
2000-07-07,12.991206169128418,25.3125,25.375,24.8125,25.125,744700
2000-07-10,12.927051544189453,25.1875,25.4375,25.0,25.3125,612000
2000-07-11,12.702500343322754,24.75,25.0625,24.5625,24.9375,620000
2000-07-12,12.862894058227539,25.0625,25.1875,24.1875,24.1875,521500
2000-07-13,12.830812454223633,25.0,26.0625,25.0,25.0625,836100
2000-07-14,13.536510467529297,26.375,26.5625,25.8125,25.875,1902000
2000-07-17,13.02327823638916,25.375,26.5,25.25,26.5,1216800
2000-07-18,12.991206169128418,25.3125,25.5,24.9375,25.5,1261200
2000-07-19,13.02327823638916,25.375,25.4375,24.875,25.25,900000
2000-07-20,13.728975296020508,26.75,27.0625,25.5,25.6875,1874000
2000-07-21,13.504429817199707,26.3125,26.6875,26.1875,26.5,1237100
2000-07-24,13.632746696472168,26.5625,26.9375,26.375,26.375,1501800
2000-07-25,13.953511238098145,27.1875,27.8125,26.625,26.75,1639700
2000-07-26,14.113900184631348,27.5,27.75,26.6875,27.3125,1401900
2000-07-27,13.953511238098145,27.1875,27.5,26.75,27.125,773200
2000-07-28,14.370503425598145,28.0,28.0,27.0625,27.1875,1397300
2000-07-31,14.43466854095459,28.125,28.1875,27.75,27.75,1235900
2000-08-01,14.947895050048828,29.125,29.25,28.3125,28.3125,2133400
2000-08-02,14.755438804626465,28.75,30.5625,28.5625,29.5,4871600
2000-08-03,14.562975883483887,28.375,29.375,28.25,28.4375,3564500
2000-08-04,14.787511825561523,28.8125,29.875,28.8125,28.9375,1693900
2000-08-07,15.108285903930664,29.4375,30.0625,29.0625,29.375,2267400
2000-08-08,14.979971885681152,29.1875,29.6875,28.875,29.5,2136500
2000-08-09,15.140362739562988,29.5,29.8125,29.3125,29.5,2286100
2000-08-10,15.20451831817627,29.625,29.875,29.4375,29.625,750600
2000-08-11,15.20451831817627,29.625,29.875,29.25,29.25,685100
2000-08-14,15.012062072753906,29.25,30.0,28.875,29.625,1772500
2000-08-15,14.787511825561523,28.8125,29.3125,28.8125,29.0,924700
2000-08-16,14.370503425598145,28.0,28.5,27.75,28.5,1765300
2000-08-17,14.210125923156738,27.6875,28.28125,27.4375,27.75,979900
2000-08-18,14.3384370803833,27.9375,28.0,27.5,27.5625,522200
2000-08-21,14.595047950744629,28.4375,28.875,27.6875,27.9375,390000
2000-08-22,14.979971885681152,29.1875,29.3125,28.0625,28.0625,876900
2000-08-23,14.562975883483887,28.375,28.875,28.125,28.5,716000
2000-08-24,14.595047950744629,28.4375,28.6875,27.875,28.1875,596300
2000-08-25,14.723367691040039,28.6875,29.125,28.5,28.5,634900
2000-08-28,14.530895233154297,28.3125,29.125,28.3125,29.125,333800
2000-08-29,14.145977973937988,27.5625,28.3125,27.375,28.3125,769400
2000-08-30,14.331475257873535,27.8125,28.0,27.25,27.5625,861700
2000-08-31,14.621328353881836,28.375,28.9375,27.6875,27.6875,1275400
2000-09-01,14.460301399230957,28.0625,28.8125,28.0,28.8125,546400
2000-09-05,14.556914329528809,28.25,28.25,27.25,28.1875,633300
2000-09-06,14.878969192504883,28.875,29.25,27.0,27.0,1843000
2000-09-07,15.555288314819336,30.1875,30.3125,28.9375,29.0,1783700
2000-09-08,15.426468849182129,29.9375,30.4375,29.375,30.125,1819900
2000-09-11,15.36205768585205,29.8125,30.875,29.6875,30.0,1067800
2000-09-12,15.201031684875488,29.5,30.1875,29.5,30.1875,792400
2000-09-13,15.29764461517334,29.6875,29.75,29.1875,29.5625,1361100
2000-09-14,15.136624336242676,29.375,29.8125,29.0,29.3125,838600
2000-09-15,15.233237266540527,29.5625,29.8125,29.0,29.5,2622100
2000-09-18,15.104410171508789,29.3125,30.3125,29.0625,29.5,748400
