Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,20.855403900146484,34.25,35.25,32.75,33.0,9266900
2000-01-04,21.007633209228516,34.5,35.5,34.25,34.3125,5109300
2000-01-05,22.32746696472168,36.625,36.9375,34.625,35.0,5841200
2000-01-06,23.16568946838379,38.0,38.3125,36.3125,36.5625,6130500
2000-01-07,25.756603240966797,42.25,43.0,39.3125,39.75,11537600
2000-01-10,25.566097259521484,41.9375,43.25,41.4375,41.625,6966700
2000-01-11,25.680395126342773,42.125,43.0625,41.4375,41.5625,4413700
2000-01-12,25.64229965209961,42.0625,42.0625,41.3125,41.625,3243300
2000-01-13,26.518632888793945,43.5,44.125,41.9375,42.0,5029300
2000-01-14,26.74724006652832,43.875,44.9375,43.625,44.75,5759600
2000-01-18,27.052043914794922,44.375,44.875,43.875,44.5,5947800
2000-01-19,27.39495277404785,44.9375,45.625,44.25,44.625,4288100
2000-01-20,26.823434829711914,44.0,46.125,44.0,45.75,6083200
2000-01-21,26.55673599243164,43.5625,45.0,43.3125,45.0,6105200
2000-01-24,26.251914978027344,43.0625,44.9375,42.375,44.25,5749800
2000-01-25,27.166345596313477,44.5625,45.0,43.625,43.75,3742800
2000-01-26,28.11888885498047,46.125,46.3125,44.5,44.75,6589300
2000-01-27,28.30940055847168,46.4375,47.5,45.3125,46.875,4539700
2000-01-28,27.31876564025879,44.8125,46.1875,44.3125,46.1875,3981200
2000-01-31,27.890295028686523,45.75,45.75,43.25,44.8125,3717100
2000-02-01,28.271312713623047,46.375,46.5,44.96875,45.5,2960700
2000-02-02,27.433067321777344,45.0,46.5625,44.75,46.125,3099000
2000-02-03,27.890295028686523,45.75,45.8125,44.0,45.375,3275900
2000-02-04,29.300033569335938,48.0625,49.625,45.9375,46.0,5717100
2000-02-07,30.023956298828125,49.25,49.25,47.5,47.875,4373700
2000-02-08,30.2525691986084,49.625,49.6875,48.6875,49.0,3328600
2000-02-09,29.795360565185547,48.875,49.6875,48.75,49.5,3685400
2000-02-10,29.261930465698242,48.0,49.1875,48.0,49.0,2088800
2000-02-11,28.042695999145508,46.0,48.75,45.0,48.75,6163300
2000-02-14,28.271312713623047,46.375,48.0625,46.1875,46.375,4625300
2000-02-15,27.699783325195312,45.4375,46.625,44.875,46.625,4631000
2000-02-16,26.975849151611328,44.25,46.0,44.0625,45.4375,4768700
2000-02-17,28.385591506958008,46.5625,47.25,46.1875,46.25,5653400
2000-02-18,29.07142448425293,47.6875,48.375,47.375,47.5,5579200
2000-02-22,29.985857009887695,49.1875,49.875,47.6875,48.0,4152000
2000-02-23,29.56675148010254,48.5,49.25,47.5625,49.1875,3148900
2000-02-24,30.176374435424805,49.5,49.9375,48.125,49.0,6309100
2000-02-25,28.91903305053711,47.4375,49.8125,46.375,49.75,3017400
2000-02-28,29.261930465698242,48.0,49.5625,45.5625,47.4375,5692500
2000-02-29,29.52864646911621,48.4375,49.0,47.1875,48.125,3287800
2000-03-01,29.947765350341797,49.125,49.3125,47.4375,48.375,2397400
2000-03-02,29.871545791625977,49.0,50.5,48.6875,49.0,3221400
2000-03-03,31.31941795349121,51.375,51.5,49.125,49.25,3125600
2000-03-06,30.176374435424805,49.5,52.9375,49.0625,52.25,6101200
2000-03-07,30.176374435424805,49.5,50.5,49.0625,50.5,3503100
2000-03-08,29.833467483520508,48.9375,49.375,48.1875,49.0,3249500
2000-03-09,30.481204986572266,50.0,50.1875,48.5,48.5,3474500
2000-03-10,31.243227005004883,51.25,52.1875,49.75,50.0,2983400
2000-03-13,30.595478057861328,50.1875,51.9375,49.8125,50.25,2100300
2000-03-14,28.576114654541016,46.875,50.5625,46.0,50.375,5478100
2000-03-15,29.871545791625977,49.0,49.75,46.5625,47.5,4447500
2000-03-16,32.08144760131836,52.625,53.75,49.3125,49.75,4219900
2000-03-17,32.11955261230469,52.6875,54.8125,52.1875,52.75,5073000
2000-03-20,32.53865432739258,53.375,53.875,52.5625,52.875,2401600
2000-03-21,32.46245574951172,53.25,53.5,50.5,53.5,6058300
2000-03-22,33.376888275146484,54.75,55.0,52.4375,53.0,3023100
2000-03-23,34.177024841308594,56.0625,56.4375,53.0,54.5,4397100
2000-03-24,33.529300689697266,55.0,56.5625,54.875,55.8125,3598900
2000-03-27,34.748538970947266,57.0,57.375,53.5,54.5,3683200
2000-03-28,34.02461624145508,55.8125,57.875,55.0625,56.0,4724700
2000-03-29,33.79600524902344,55.4375,57.125,54.75,56.375,4548100
2000-03-30,31.090801239013672,51.0,54.625,49.75,54.5,7870600
2000-03-31,31.357513427734375,51.4375,53.125,50.875,51.75,4488300
2000-04-03,33.60549545288086,55.125,55.75,52.875,53.0,3844500
2000-04-04,34.06272506713867,55.875,56.75,52.25,55.375,6795500
2000-04-05,34.08712387084961,55.875,56.625,54.5,55.0,4359400
2000-04-06,34.1252555847168,55.9375,57.1875,55.5,55.75,2629200
2000-04-07,34.201515197753906,56.0625,57.375,55.8125,56.5,2438000
2000-04-10,35.1928596496582,57.6875,57.6875,55.9375,56.25,2500800
2000-04-11,34.0108757019043,55.75,57.0625,55.5625,57.0,2408100
2000-04-12,32.98139190673828,54.0625,56.3125,53.9375,55.9375,2716700
2000-04-13,31.1893310546875,51.125,54.4375,50.5,54.0,5164500
2000-04-14,29.626062393188477,48.5625,50.625,47.75,50.0,4857000
2000-04-17,29.435420989990234,48.25,48.4375,45.25,47.75,6556200
2000-04-18,31.91379737854004,52.3125,52.875,48.8125,48.9375,3817300
2000-04-19,32.02817153930664,52.5,52.75,51.1875,52.25,2380100
