Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,4.028964042663574,6.984375,7.5,6.84375,7.5,832800
2000-01-04,4.083043575286865,7.078125,7.09375,6.890625,6.96875,259600
2000-01-05,4.119098663330078,7.140625,7.171875,6.953125,7.015625,459200
2000-01-06,4.065017223358154,7.046875,7.109375,6.828125,7.078125,301600
2000-01-07,4.046989440917969,7.015625,7.078125,6.96875,7.015625,161600
2000-01-10,3.8667240142822266,6.703125,6.953125,6.6875,6.953125,456400
2000-01-11,3.8396835327148438,6.65625,6.84375,6.640625,6.71875,648400
2000-01-12,3.8396835327148438,6.65625,6.6875,6.28125,6.59375,826400
2000-01-13,3.929816246032715,6.8125,7.09375,6.71875,6.71875,1039600
2000-01-14,3.965871810913086,6.875,7.03125,6.84375,6.84375,995200
2000-01-18,3.7495522499084473,6.5,6.90625,6.5,6.875,1020400
2000-01-19,3.6684300899505615,6.359375,6.546875,6.1875,6.5,960400
2000-01-20,3.623363971710205,6.28125,6.359375,6.25,6.34375,443600
2000-01-21,3.6053366661071777,6.25,6.359375,6.140625,6.34375,534800
2000-01-24,3.4791510105133057,6.03125,6.265625,5.953125,6.21875,838800
2000-01-25,3.4701361656188965,6.015625,6.15625,5.9375,6.0625,816400
2000-01-26,3.5512568950653076,6.15625,6.46875,6.0625,6.0625,1647200
2000-01-27,3.6594173908233643,6.34375,6.5625,6.296875,6.34375,779200
2000-01-28,3.731523275375366,6.46875,6.5,6.1875,6.3125,738000
2000-01-31,3.812643051147461,6.609375,6.671875,6.4375,6.4375,479600
2000-02-01,3.7765913009643555,6.546875,6.625,6.359375,6.625,426400
2000-02-02,3.569283962249756,6.1875,6.515625,6.078125,6.5,626800
2000-02-03,3.7495522499084473,6.5,6.5625,6.28125,6.3125,1090400
2000-02-04,3.929816246032715,6.8125,6.875,6.5,6.59375,1041600
2000-02-07,3.812643051147461,6.609375,6.765625,6.53125,6.765625,617600
2000-02-08,3.8937647342681885,6.75,6.84375,6.59375,6.59375,497200
2000-02-09,3.9027767181396484,6.765625,6.765625,6.671875,6.703125,389600
2000-02-10,3.9117884635925293,6.78125,6.875,6.75,6.765625,561200
2000-02-11,3.9117884635925293,6.78125,6.90625,6.765625,6.8125,823600
2000-02-14,3.9027767181396484,6.765625,6.796875,6.734375,6.765625,424800
2000-02-15,4.046989440917969,7.015625,7.015625,6.75,6.75,761600
2000-02-16,3.965871810913086,6.875,6.96875,6.84375,6.953125,725200
2000-02-17,3.9388325214385986,6.828125,6.90625,6.8125,6.859375,424000
2000-02-18,3.965871810913086,6.875,6.90625,6.78125,6.78125,1544800
2000-02-22,3.9568581581115723,6.859375,6.90625,6.75,6.75,248400
