Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,29.255779266357422,40.5,41.3125,40.25,41.125,147600
2000-01-04,28.849454879760742,39.9375,40.5,39.25,40.25,145100
2000-01-05,30.33934783935547,42.0,42.5,39.9375,39.9375,429900
2000-01-06,32.596736907958984,45.125,45.375,41.625,42.0625,481300
2000-01-07,33.95114517211914,47.0,48.375,44.4375,44.875,464500
2000-01-10,33.454524993896484,46.3125,48.0625,46.1875,47.5,238800
2000-01-11,33.13847351074219,45.875,47.375,45.25,46.5625,188100
2000-01-12,34.267189025878906,47.4375,47.75,45.875,45.875,337100
2000-01-13,35.666786193847656,49.375,49.625,47.75,47.75,363300
2000-01-14,34.086605072021484,47.1875,50.0,46.5,49.4375,172100
2000-01-18,33.72541046142578,46.6875,47.9375,45.75,47.0625,194200
2000-01-19,33.49968338012695,46.375,47.1875,45.8125,46.9375,117800
2000-01-20,31.964651107788086,44.25,46.375,44.0625,46.375,174600
2000-01-21,31.69374656677246,43.875,44.9375,43.625,44.625,74500
2000-01-24,32.41613006591797,44.875,44.9375,43.25,44.25,125700
2000-01-25,31.016557693481445,42.9375,44.3125,42.625,43.75,128600
2000-01-26,31.242284774780273,43.25,44.5625,42.375,43.1875,265600
2000-01-27,31.60348892211914,43.75,44.0625,42.3125,43.3125,189100
2000-01-28,31.784076690673828,44.0,44.6875,42.75,43.8125,261000
2000-01-31,30.33934783935547,42.0,43.875,41.6875,43.875,153800
2000-02-01,30.42963409423828,42.125,42.625,41.8125,42.125,190500
2000-02-02,31.332569122314453,43.375,43.5,42.3125,42.3125,191600
2000-02-03,32.0549430847168,44.375,44.5,43.125,43.375,191100
2000-02-04,31.648601531982422,43.8125,44.75,43.0,44.1875,168800
2000-02-07,31.332569122314453,43.375,43.75,43.0,43.5625,70900
2000-02-08,30.33934783935547,42.0,43.75,42.0,43.5625,134900
2000-02-09,29.616975784301758,41.0,42.5,40.875,42.5,120000
2000-02-10,28.89459228515625,40.0,41.0,39.5,41.0,159300
2000-02-11,28.62371253967285,39.625,40.375,39.375,40.125,97000
2000-02-14,28.172239303588867,39.0,39.5625,38.3125,39.375,141400
2000-02-15,28.533416748046875,39.5,40.25,38.6875,39.125,175400
2000-02-16,28.533416748046875,39.5,40.625,39.3125,39.75,121200
2000-02-17,28.759145736694336,39.8125,40.0,39.125,39.375,138700
2000-02-18,27.901363372802734,38.625,39.75,38.375,39.5625,102800
2000-02-22,27.8561954498291,38.5625,38.6875,38.0,38.6875,184300
2000-02-23,27.449878692626953,38.0,38.4375,37.5,38.4375,222000
2000-02-24,26.411460876464844,36.5625,37.9375,35.875,37.9375,590900
2000-02-25,26.501773834228516,36.6875,37.75,36.1875,36.5625,157200
2000-02-28,26.64131736755371,36.75,36.875,35.8125,36.25,122800
2000-02-29,25.735145568847656,35.5,37.75,35.5,36.625,273200
2000-03-01,26.550703048706055,36.625,37.0,35.5625,35.5625,160200
2000-03-02,26.68662452697754,36.8125,38.4375,36.6875,37.5,257200
2000-03-03,27.139699935913086,37.4375,37.6875,36.875,37.0,363200
2000-03-06,26.867856979370117,37.0625,37.5,37.0625,37.4375,84100
2000-03-07,26.913148880004883,37.125,37.3125,36.5,37.125,107400
2000-03-08,27.95524787902832,38.5625,39.125,37.125,37.125,156400
2000-03-09,28.04586410522461,38.6875,39.0625,38.125,38.5625,128000
2000-03-10,28.816110610961914,39.75,40.25,38.5625,38.5625,70900
2000-03-13,28.49896240234375,39.3125,40.125,38.9375,39.5,87800
2000-03-14,27.320940017700195,37.6875,39.1875,37.0,38.875,153400
2000-03-15,30.945621490478516,42.6875,43.5,37.6875,37.6875,246200
2000-03-16,34.47966003417969,47.5625,49.125,42.9375,42.9375,463800
2000-03-17,33.12041473388672,45.6875,47.375,44.9375,47.0,200700
2000-03-20,34.07188034057617,47.0,48.5,45.8125,45.8125,216700
2000-03-21,33.34695053100586,46.0,47.625,46.0,47.25,179500
2000-03-22,32.803253173828125,45.25,46.5,45.0,46.375,193200
2000-03-23,33.800052642822266,46.625,47.4375,45.625,45.75,298900
2000-03-24,33.0297966003418,45.5625,47.125,44.8125,46.5625,206400
2000-03-27,32.98448944091797,45.5,46.625,44.9375,45.3125,137800
2000-03-28,32.89386749267578,45.375,46.4375,44.875,45.625,135300
2000-03-29,32.66732406616211,45.0625,45.5,43.875,44.875,235300
2000-03-30,32.62202835083008,45.0,46.8125,44.625,45.1875,202200
2000-03-31,34.43435287475586,47.5,47.5,45.375,45.375,240300
2000-04-03,33.89065170288086,46.75,48.0,46.4375,47.5,203600
2000-04-04,32.62202835083008,45.0,47.125,44.25,47.0,157800
2000-04-05,33.392276763916016,46.0625,46.75,44.375,44.375,145300
2000-04-06,33.12041473388672,45.6875,46.0625,44.375,45.875,199400
2000-04-07,32.89386749267578,45.375,45.75,45.0625,45.4375,136300
2000-04-10,33.34695053100586,46.0,47.4375,45.25,45.375,216900
2000-04-11,34.75149917602539,47.9375,48.25,45.5625,46.0,148400
2000-04-12,35.11397171020508,48.4375,49.625,47.875,47.875,328300
2000-04-13,35.11397171020508,48.4375,48.875,48.375,48.5,102300
2000-04-14,34.07188034057617,47.0,48.4375,46.4375,48.25,149200
2000-04-17,34.38905334472656,47.4375,48.125,46.3125,47.0625,203300
2000-04-18,36.29198455810547,50.0625,50.75,46.625,47.4375,307000
2000-04-19,39.146419525146484,54.0,54.1875,50.0,50.0625,272700
2000-04-20,38.421478271484375,53.0,55.0,51.625,53.6875,262700
2000-04-24,38.149658203125,52.625,53.3125,52.0625,53.3125,230500
2000-04-25,39.32762908935547,54.25,55.25,52.0625,52.6875,256300
2000-04-26,38.19496154785156,52.6875,54.75,52.5,54.5,161200
2000-04-27,37.78716278076172,52.125,52.9375,51.6875,52.9375,104400
2000-04-28,38.421478271484375,53.0,53.375,52.375,52.375,132100
2000-05-01,39.19172286987305,54.0625,54.875,53.0,53.0,164600
2000-05-02,38.10431671142578,52.5625,53.5,51.125,52.875,214600
2000-05-03,37.42471694946289,51.625,52.3125,50.875,52.3125,97000
2000-05-04,37.9683952331543,52.375,52.75,51.375,51.75,106800
2000-05-05,38.05903244018555,52.5,52.9375,51.6875,52.625,175500
2000-05-08,38.466796875,53.0625,53.4375,52.375,52.75,116900
2000-05-09,39.010501861572266,53.8125,53.8125,53.0625,53.0625,91800
2000-05-10,38.602718353271484,53.25,54.0,52.9375,53.5625,239800
2000-05-11,38.965171813964844,53.75,54.3125,53.375,53.5,137200
2000-05-12,38.738643646240234,53.4375,54.9375,53.1875,53.75,125800
2000-05-15,38.738643646240234,53.4375,54.4375,52.9375,53.3125,150200
2000-05-16,39.010501861572266,53.8125,54.4375,53.625,53.6875,121100
2000-05-17,38.91989517211914,53.6875,53.8125,52.0625,53.8125,154200
2000-05-18,37.74185562133789,52.0625,53.5,51.25,53.375,123500
2000-05-19,36.835693359375,50.8125,52.1875,50.125,52.1875,122400
2000-05-22,37.8777961730957,52.25,53.0625,51.25,51.25,112200
2000-05-23,37.3340950012207,51.5,52.0,50.9375,52.0,126000
2000-05-24,37.243492126464844,51.375,51.4375,50.25,51.375,120200
2000-05-25,37.06223678588867,51.125,52.875,50.625,52.75,138100
2000-05-26,35.61236572265625,49.125,51.25,48.375,51.25,116800
2000-05-30,35.25259017944336,48.5,50.6875,48.5,49.1875,156900
2000-05-31,35.570579528808594,48.9375,49.4375,48.875,49.0,180700
2000-06-01,35.752281188964844,49.1875,49.1875,48.125,49.125,148400
2000-06-02,36.25199508666992,49.875,50.75,49.1875,49.1875,312400
2000-06-05,35.93400573730469,49.4375,50.5,48.375,49.9375,168200
2000-06-06,36.11571502685547,49.6875,50.0625,48.6875,49.3125,177600
2000-06-07,35.93400573730469,49.4375,49.875,49.0625,49.5625,119800
2000-06-08,35.752281188964844,49.1875,49.75,48.9375,49.1875,186400
2000-06-09,36.07029724121094,49.625,49.75,49.375,49.4375,151500
2000-06-12,33.9805793762207,46.75,49.5625,46.25,49.5,139700
2000-06-13,34.3440055847168,47.25,48.0625,47.0,47.0,203000
2000-06-14,33.299156188964844,45.8125,47.25,45.6875,47.25,171500
2000-06-15,31.936290740966797,43.9375,45.875,43.5625,45.875,337900
2000-06-16,31.164011001586914,42.875,44.0625,42.375,43.625,402700
2000-06-19,30.346294403076172,41.75,42.625,41.375,42.625,307800
2000-06-20,31.391159057617188,43.1875,43.75,41.4375,41.75,320900
2000-06-21,31.52742576599121,43.375,43.9375,43.125,43.125,458300
2000-06-22,31.436567306518555,43.25,43.75,43.0,43.25,290400
2000-06-23,30.482587814331055,41.9375,43.5625,41.5625,43.25,128500
2000-06-26,29.8465633392334,41.0625,43.25,40.75,43.25,197200
2000-06-27,30.164594650268555,41.5,43.0,40.9375,41.3125,212200
2000-06-28,29.93744659423828,41.1875,41.875,40.4375,41.5,121500
2000-06-29,29.710298538208008,40.875,42.0625,40.8125,41.4375,206500
2000-06-30,29.403636932373047,40.453125,41.875,40.3125,40.875,211600
2000-07-03,30.255434036254883,41.625,41.75,40.375,40.5,46000
2000-07-05,30.755144119262695,42.3125,42.3125,40.3125,40.75,135900
2000-07-06,30.845998764038086,42.4375,42.4375,41.625,42.1875,174500
2000-07-07,30.482587814331055,41.9375,42.625,41.9375,42.3125,154100
2000-07-10,30.57342529296875,42.0625,42.375,41.8125,42.0,119300
2000-07-11,31.890857696533203,43.875,43.9375,42.125,42.3125,186100
2000-07-12,31.709142684936523,43.625,44.375,43.0625,43.75,163600
2000-07-13,32.34513854980469,44.5,45.0625,43.625,43.625,216200
2000-07-14,32.02712631225586,44.0625,45.125,43.75,44.75,323400
2000-07-17,32.11798858642578,44.1875,44.25,43.9375,44.125,173600
2000-07-18,31.80000877380371,43.75,44.1875,43.125,44.0,471000
2000-07-19,30.89144515991211,42.5,43.875,42.3125,43.875,272300
2000-07-20,30.800575256347656,42.375,42.5625,42.0625,42.5,319100
2000-07-21,30.618871688842773,42.125,42.5,41.5,42.0,215200
2000-07-24,30.527997970581055,42.0,42.75,41.9375,42.125,324000
2000-07-25,30.800575256347656,42.375,42.625,41.875,42.25,789900
2000-07-26,30.845998764038086,42.4375,42.75,41.9375,42.25,394700
2000-07-27,30.89144515991211,42.5,43.1875,42.4375,42.4375,353400
2000-07-28,30.482587814331055,41.9375,42.5,41.5,42.5,85000
2000-07-31,30.6643009185791,42.1875,42.375,41.9375,41.9375,133100
2000-08-01,31.482004165649414,43.3125,43.625,42.0625,42.0625,138100
2000-08-02,31.25485610961914,43.0,43.375,42.75,43.1875,153500
2000-08-03,31.754575729370117,43.6875,44.1875,43.125,43.25,115600
2000-08-04,32.390567779541016,44.5625,44.8125,43.8125,43.9375,71800
2000-08-07,33.66256332397461,46.3125,46.75,44.5625,44.5625,248000
2000-08-08,33.3900032043457,45.9375,47.0,45.625,46.0625,136600
2000-08-09,32.34513854980469,44.5,46.0,44.3125,46.0,75800
2000-08-10,32.799442291259766,45.125,45.875,44.6875,44.75,91800
2000-08-11,34.11686706542969,46.9375,46.9375,44.375,44.875,133900
2000-08-14,33.480873107910156,46.0625,47.1875,45.3125,46.8125,89200
2000-08-15,32.75401306152344,45.0625,45.9375,45.0,45.9375,97600
2000-08-16,33.43544387817383,46.0,46.5,45.3125,45.3125,71200
2000-08-17,33.3900032043457,45.9375,46.1875,45.625,45.75,63100
2000-08-18,32.935707092285156,45.3125,46.3125,45.125,45.9375,84300
2000-08-21,32.2088623046875,44.3125,45.375,44.25,45.1875,145400
2000-08-22,31.6182861328125,43.5,44.6875,43.5,44.5,94200
2000-08-23,30.755144119262695,42.3125,43.5,42.0,43.5,329100
2000-08-24,28.34743309020996,39.0,41.125,37.625,40.75,1676600
2000-08-25,29.07428550720215,40.0,40.75,38.875,39.125,406800
2000-08-28,27.9840145111084,38.5,39.75,38.375,39.75,326000
2000-08-29,29.07428550720215,40.0,41.25,38.5,38.5,607100
2000-08-30,28.72051429748535,39.375,40.375,39.1875,39.625,238300
2000-08-31,29.1763973236084,40.0,40.3125,39.0625,39.5,192000
2000-09-01,28.629348754882812,39.25,40.125,39.0,40.0,181300
2000-09-05,28.857288360595703,39.5625,39.875,38.75,39.5,184100
2000-09-06,28.811708450317383,39.5,40.0,38.9375,39.3125,170200
2000-09-07,28.492589950561523,39.0625,39.8125,38.9375,39.75,216700
2000-09-08,28.902891159057617,39.625,39.8125,39.125,39.1875,214000
2000-09-11,29.1763973236084,40.0,40.1875,39.0,39.625,257300
2000-09-12,28.7661075592041,39.4375,39.875,39.25,39.75,255300
2000-09-13,28.811708450317383,39.5,40.125,39.25,39.375,294100
2000-09-14,28.948471069335938,39.6875,39.9375,39.25,39.5,198000
2000-09-15,28.355831146240234,38.875,39.8125,38.8125,39.5625,301900
2000-09-18,26.714645385742188,36.625,38.375,36.0,38.3125,444800
2000-09-19,26.942594528198242,36.9375,37.5,36.1875,36.5,251200
2000-09-20,26.988168716430664,37.0,37.5625,36.3125,36.375,310900
2000-09-21,26.62347412109375,36.5,37.3125,36.3125,36.9375,183300
2000-09-22,26.03082275390625,35.6875,36.4375,35.4375,36.0,252100
2000-09-25,26.251466751098633,35.9900016784668,36.349998474121094,35.52000045776367,35.59000015258789,246700
2000-09-26,25.70441246032715,35.2400016784668,35.45000076293945,34.70000076293945,35.0,483400
2000-09-27,25.974308013916016,35.61000061035156,35.650001525878906,34.900001525878906,35.2400016784668,445400
2000-09-28,26.68181800842285,36.58000183105469,37.0,35.720001220703125,37.0,190500
2000-09-29,27.92181968688965,38.279998779296875,38.900001525878906,37.689998626708984,38.0,266800
2000-10-02,27.440425872802734,37.619998931884766,38.279998779296875,37.619998931884766,38.279998779296875,124600
2000-10-03,27.170528411865234,37.25,38.150001525878906,36.0,36.0,351000
2000-10-04,24.96771240234375,34.22999954223633,34.45000076293945,33.25,33.25,850200
2000-10-05,25.128183364868164,34.45000076293945,34.849998474121094,32.810001373291016,34.099998474121094,478200
2000-10-06,24.486297607421875,33.56999969482422,34.5,33.41999816894531,34.29999923706055,362300
2000-10-09,24.799955368041992,34.0,34.599998474121094,33.560001373291016,33.560001373291016,153300
