Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,15.694618225097656,24.0625,24.875,23.75,24.0,906900
2000-01-04,14.512420654296875,22.25,23.625,22.1875,23.25,1783800
2000-01-05,14.675479888916016,22.5,23.1875,22.5,22.5,1180300
2000-01-06,14.512420654296875,22.25,22.375,21.9375,22.0625,1688400
2000-01-07,13.9824800491333,21.4375,22.6875,21.25,22.5,1528800
2000-01-10,13.941709518432617,21.375,21.6875,21.3125,21.5,1222900
2000-01-11,14.75700855255127,22.625,22.625,21.5,21.625,1595500
2000-01-12,14.430891036987305,22.125,22.3125,21.8125,22.1875,2195200
2000-01-13,13.941709518432617,21.375,22.125,21.25,22.125,3962600
2000-01-14,13.574819564819336,20.8125,21.4375,20.5,21.375,3470900
2000-01-18,14.430891036987305,22.125,22.125,20.9375,21.0625,3087200
2000-01-19,14.267831802368164,21.875,22.1875,21.5625,22.125,1759200
2000-01-20,13.737881660461426,21.0625,21.25,20.6875,21.1875,1913300
2000-01-21,13.819417953491211,21.1875,21.375,20.8125,20.9375,1359300
2000-01-24,13.370994567871094,20.5,20.6875,20.125,20.25,1240000
2000-01-25,12.637223243713379,19.375,20.5,19.125,20.5,1482500
2000-01-26,12.800281524658203,19.625,19.9375,19.4375,19.9375,1015800
2000-01-27,13.9824800491333,21.4375,21.4375,19.75,20.125,1753900
2000-01-28,13.085647583007812,20.0625,21.6875,19.75,21.4375,1453500
2000-01-31,13.28946590423584,20.375,20.5,20.0625,20.25,914500
2000-02-01,12.963340759277344,19.875,20.125,19.625,20.125,925900
2000-02-02,13.615592956542969,20.875,21.125,20.3125,20.375,1665000
2000-02-03,13.860176086425781,21.25,21.375,20.3125,20.8125,1779500
2000-02-04,15.653847694396973,24.0,24.625,22.25,22.4375,5190800
2000-02-07,14.838545799255371,22.75,25.4375,22.625,25.4375,4931900
2000-02-08,14.349364280700684,22.0,22.625,22.0,22.625,1513600
2000-02-09,15.572311401367188,23.875,24.375,23.1875,23.4375,2560300
2000-02-10,16.06150245666504,24.625,25.125,23.375,24.1875,2603400
2000-02-11,15.613088607788086,23.9375,24.5,23.625,24.1875,1541200
2000-02-14,15.123903274536133,23.1875,23.875,23.0,23.875,1458800
2000-02-15,15.653847694396973,24.0,24.1875,22.1875,22.8125,1736300
2000-02-16,15.816910743713379,24.25,24.6875,23.1875,24.4375,1374600
2000-02-17,15.04236888885498,23.0625,24.5,23.0,24.375,1133600
2000-02-18,15.979964256286621,24.5,24.6875,23.4375,23.625,1470000
2000-02-22,16.346860885620117,25.0625,25.9375,23.875,24.25,2265500
2000-02-23,15.164667129516602,23.25,24.625,23.25,24.5,1700800
2000-02-24,15.123903274536133,23.1875,23.5625,22.875,23.375,1593000
2000-02-25,14.553183555603027,22.3125,22.5625,22.0625,22.5,1001700
2000-02-28,14.430891036987305,22.125,23.0625,22.0625,22.4375,1258900
2000-02-29,14.430891036987305,22.125,22.6875,21.875,22.375,980900
2000-03-01,14.75700855255127,22.625,22.625,22.0625,22.0625,681700
2000-03-02,14.10476303100586,21.625,22.3125,21.1875,22.0,1231400
2000-03-03,14.083538055419922,21.5625,22.1875,21.4375,21.5625,765000
2000-03-06,14.369298934936523,22.0,22.25,21.5,21.5625,464200
