Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,11.23295783996582,20.125,20.375,19.8125,20.25,694200
2000-01-04,11.302725791931152,20.25,20.375,19.875,20.125,859600
2000-01-05,11.23295783996582,20.125,20.375,19.75,20.25,969300
2000-01-06,11.895779609680176,21.3125,21.5625,19.6875,20.1875,1390700
2000-01-07,11.546923637390137,20.6875,21.375,20.5,21.25,730800
2000-01-10,11.895779609680176,21.3125,21.3125,20.375,20.8125,700400
2000-01-11,11.930658340454102,21.375,21.6875,21.0625,21.125,749700
2000-01-12,11.826004028320312,21.1875,21.8125,20.9375,21.625,666400
2000-01-13,12.139969825744629,21.75,22.75,21.3125,21.4375,1058900
2000-01-14,11.965546607971191,21.4375,21.875,21.25,21.75,871300
2000-01-18,11.372499465942383,20.375,21.0,20.125,21.0,1251300
2000-01-19,11.198073387145996,20.0625,20.4375,20.0,20.25,1144700
2000-01-20,11.02364730834961,19.75,20.25,19.1875,20.0625,2308200
2000-01-21,10.988765716552734,19.6875,20.0,19.4375,20.0,728400
2000-01-24,10.570144653320312,18.9375,19.9375,18.9375,19.9375,743800
2000-01-25,10.500375747680664,18.8125,19.8125,18.3125,19.0,848000
2000-01-26,9.907330513000488,17.75,18.75,17.3125,18.4375,1686100
2000-01-27,9.767791748046875,17.5,18.4375,17.3125,18.125,1854000
2000-01-28,9.62824821472168,17.25,17.6875,17.0625,17.25,1595000
2000-01-31,9.488707542419434,17.0,17.3125,16.5625,17.25,1309500
2000-02-01,9.34916877746582,16.75,17.25,16.75,16.75,1023700
2000-02-02,9.215008735656738,16.3125,16.75,16.25,16.5625,1065900
2000-02-03,9.073779106140137,16.0625,16.5,16.0,16.375,1025200
2000-02-04,8.897244453430176,15.75,16.1875,15.5,16.0625,1264800
2000-02-07,9.17970085144043,16.25,16.4375,15.75,16.0,1249800
2000-02-08,8.685405731201172,15.375,16.25,15.3125,16.0,1128600
2000-02-09,8.650100708007812,15.3125,15.9375,15.3125,15.875,1693300
2000-02-10,8.4735689163208,15.0,15.75,15.0,15.5,1809900
2000-02-11,8.261730194091797,14.625,15.3125,14.5625,15.3125,986200
2000-02-14,8.544183731079102,15.125,15.625,14.8125,15.0,2381300
2000-02-15,8.579487800598145,15.1875,15.5,15.0,15.125,1072600
2000-02-16,8.61479377746582,15.25,15.375,14.6875,15.25,1664900
2000-02-17,8.36764907836914,14.8125,15.1875,14.6875,14.8125,1176800
2000-02-18,8.36764907836914,14.8125,15.125,14.8125,14.9375,1047000
2000-02-22,8.544183731079102,15.125,15.3125,14.6875,14.6875,1024400
2000-02-23,8.332340240478516,14.75,15.0,14.6875,14.875,1218800
2000-02-24,7.7674384117126465,13.75,14.75,13.6875,14.75,2180200
2000-02-25,7.7674384117126465,13.75,14.0625,13.6875,13.75,1923700
2000-02-28,7.873358249664307,13.9375,14.125,13.5625,14.0625,2864500
2000-02-29,7.66151762008667,13.5625,14.125,13.4375,13.9375,2224400
2000-03-01,7.838054180145264,13.875,14.1875,13.4375,13.625,1533600
