Date,adj_close,Close,High,Low,Open,Volume
2000-01-28,5.719823360443115,12.0,12.1875,12.0,12.0,11192000
2000-01-31,5.749618053436279,12.0625,12.0625,12.0,12.0,1880900
2000-02-01,5.719823360443115,12.0,12.0625,12.0,12.0,367100
2000-02-02,5.749618053436279,12.0625,12.0625,12.0,12.0,697400
2000-02-03,5.719823360443115,12.0,12.0625,12.0,12.0,579800
2000-02-04,5.4219183921813965,11.375,12.0625,11.25,12.0,1681900
2000-02-07,5.153800964355469,10.8125,11.125,10.5,11.125,927200
2000-02-08,4.706939220428467,9.875,10.875,9.75,10.75,795400
2000-02-09,4.826102256774902,10.125,10.25,9.75,9.875,1710100
2000-02-10,5.064430236816406,10.625,11.25,10.4375,10.5,571500
2000-02-11,4.796310901641846,10.0625,10.9375,10.0,10.75,1062000
2000-02-14,4.67714786529541,9.8125,10.3125,9.75,10.1875,289000
2000-02-15,4.9750566482543945,10.4375,10.625,9.9375,10.0,541400
2000-02-16,5.03463888168335,10.5625,10.625,10.25,10.5625,360700
2000-02-17,4.945267677307129,10.375,10.875,10.25,10.875,291600
2000-02-18,5.004850387573242,10.5,10.75,10.3125,10.5,330700
2000-02-22,4.9154744148254395,10.3125,10.625,9.875,10.25,314500
2000-02-23,4.826102256774902,10.125,10.3125,9.8125,9.9375,494300
2000-02-24,4.736731052398682,9.9375,10.3125,9.875,10.125,919900
2000-02-25,4.9750566482543945,10.4375,10.625,10.0,10.3125,1095500
2000-02-28,4.826102256774902,10.125,10.3125,10.0,10.25,366800
2000-02-29,5.183592319488525,10.875,11.25,10.0,10.125,1652500
2000-03-01,5.243172645568848,11.0,11.25,10.875,10.875,266700
2000-03-02,5.481499671936035,11.5,11.9375,10.8125,10.875,890300
2000-03-03,5.213385581970215,10.9375,11.5,10.875,11.5,160300
2000-03-06,5.1240105628967285,10.75,10.8125,10.375,10.5,242800
2000-03-07,4.885684967041016,10.25,10.75,10.0625,10.625,393500
2000-03-08,4.945267677307129,10.375,10.5,9.875,10.1875,424200
2000-03-09,5.004850387573242,10.5,10.8125,10.25,10.3125,310100
2000-03-10,4.885684967041016,10.25,10.5,10.0,10.5,168900
2000-03-13,4.647359848022461,9.75,10.125,9.5625,10.0,1767400
2000-03-14,4.706939220428467,9.875,10.125,9.75,9.75,660500
2000-03-15,4.5877790451049805,9.625,9.875,9.25,9.875,1231100
2000-03-16,4.647359848022461,9.75,10.25,9.5,9.8125,404100
2000-03-17,4.557987213134766,9.5625,9.9375,9.25,9.75,814800
2000-03-20,4.5877790451049805,9.625,9.875,9.5,9.6875,473200
2000-03-21,4.5877790451049805,9.625,9.8125,9.5,9.5625,176200
2000-03-22,4.557987213134766,9.5625,9.75,9.5,9.625,430300
2000-03-23,4.617568016052246,9.6875,9.8125,9.5,9.5,477400
2000-03-24,4.647359848022461,9.75,9.875,9.5625,9.5625,236700
2000-03-27,4.706939220428467,9.875,10.0,9.75,9.75,67600
2000-03-28,4.67714786529541,9.8125,10.0,9.75,9.875,157900
2000-03-29,4.67714786529541,9.8125,9.9375,9.8125,9.8125,253000
2000-03-30,4.67714786529541,9.8125,10.125,9.8125,9.8125,235200
2000-03-31,5.004850387573242,10.5,10.5,9.75,9.8125,627300
2000-04-03,4.9154744148254395,10.3125,10.375,10.0625,10.375,108400
2000-04-04,4.796310901641846,10.0625,10.375,10.0,10.375,411000
2000-04-05,4.885684967041016,10.25,10.375,9.875,9.9375,196100
2000-04-06,5.153800964355469,10.8125,11.125,10.125,10.25,296700
2000-04-07,5.004850387573242,10.5,10.625,10.25,10.5,262800
2000-04-10,4.9154744148254395,10.3125,10.75,10.25,10.5,139400
