Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,7.311441421508789,19.8125,19.9375,19.75,19.9375,36200
2000-01-04,7.196113586425781,19.5,19.9375,19.0,19.9375,148500
2000-01-05,7.1038594245910645,19.25,19.25,18.8125,19.0,178700
2000-01-06,7.242242813110352,19.625,19.8125,19.375,19.375,452800
2000-01-07,7.380634307861328,20.0,20.0,19.75,19.75,290700
2000-01-10,7.426764488220215,20.125,20.1875,19.9375,20.0,158200
2000-01-11,7.449827671051025,20.1875,20.3125,20.0,20.125,146000
2000-01-12,7.380634307861328,20.0,20.25,20.0,20.25,120000
2000-01-13,7.357569694519043,19.9375,20.1875,19.9375,20.0,85400
2000-01-14,7.288372993469238,19.75,20.0,19.75,20.0,80500
2000-01-18,7.4036970138549805,20.0625,20.6875,19.75,19.875,548000
2000-01-19,7.449827671051025,20.1875,20.3125,20.0625,20.125,77100
2000-01-20,7.495953559875488,20.3125,20.3125,20.125,20.25,271000
2000-01-21,7.5420823097229,20.4375,20.5,20.3125,20.375,95000
2000-01-24,7.5190205574035645,20.375,20.5,20.375,20.5,34600
2000-01-25,7.5420823097229,20.4375,20.5625,20.375,20.375,100400
2000-01-26,7.565145969390869,20.5,20.5625,20.4375,20.5,151100
2000-01-27,7.5882134437561035,20.5625,20.625,20.5,20.5,59100
2000-01-28,7.565145969390869,20.5,20.625,20.4375,20.625,118700
2000-01-31,7.5420823097229,20.4375,20.5,20.4375,20.5,94800
2000-02-01,7.5882134437561035,20.5625,20.625,20.4375,20.5,366600
2000-02-02,7.565145969390869,20.5,20.625,20.5,20.625,238200
2000-02-03,7.5882134437561035,20.5625,20.625,20.5,20.5625,380400
2000-02-04,7.565145969390869,20.5,20.5625,20.4375,20.5625,101300
2000-02-07,7.5882134437561035,20.5625,20.625,20.375,20.375,230300
2000-02-08,7.5420823097229,20.4375,20.5625,20.375,20.5,88000
2000-02-09,7.5420823097229,20.4375,20.6875,20.25,20.375,143500
2000-02-10,7.5420823097229,20.4375,20.5625,20.375,20.4375,93300
2000-02-11,7.4036970138549805,20.0625,20.6875,20.0625,20.5,43200
2000-02-14,7.495953559875488,20.3125,20.375,20.0,20.0625,153200
2000-02-15,7.611274719238281,20.625,20.625,20.375,20.5625,144800
2000-02-16,7.611274719238281,20.625,20.6875,20.5,20.625,117900
2000-02-17,7.5882134437561035,20.5625,20.5625,20.4375,20.5,102100
2000-02-18,7.565145969390869,20.5,20.5625,20.3125,20.5625,79300
2000-02-22,7.5882134437561035,20.5625,20.5625,20.25,20.25,195500
2000-02-23,7.565145969390869,20.5,20.625,20.4375,20.625,103200
2000-02-24,7.5420823097229,20.4375,20.5,20.1875,20.5,235900
2000-02-25,7.472888469696045,20.25,20.25,20.125,20.25,43400
2000-02-28,7.426764488220215,20.125,20.25,20.0,20.125,135400
2000-02-29,7.449827671051025,20.1875,20.25,20.0,20.1875,172000
2000-03-01,7.449827671051025,20.1875,20.25,20.0625,20.25,169500
2000-03-02,7.426764488220215,20.125,20.25,20.0625,20.25,73300
2000-03-03,7.4036970138549805,20.0625,20.1875,20.0625,20.1875,103400
2000-03-06,7.449827671051025,20.1875,20.1875,19.9375,20.0,106600
2000-03-07,7.449827671051025,20.1875,20.1875,20.0625,20.0625,170700
2000-03-08,7.472888469696045,20.25,20.3125,20.125,20.125,263200
2000-03-09,7.449827671051025,20.1875,20.375,20.0625,20.375,184000
2000-03-10,7.449827671051025,20.1875,20.25,20.0,20.25,201000
2000-03-13,7.449827671051025,20.1875,20.25,20.0625,20.125,681900
2000-03-14,7.5190205574035645,20.375,20.375,20.1875,20.25,156800
2000-03-15,7.657409191131592,20.75,20.75,20.375,20.4375,372100
2000-03-16,7.726601600646973,20.9375,20.9375,20.75,20.75,337100
2000-03-17,7.726601600646973,20.9375,21.0625,20.875,20.9375,333000
2000-03-20,7.749665260314941,21.0,21.125,20.9375,21.0,73400
2000-03-21,7.749665260314941,21.0,21.0625,20.875,20.875,119400
2000-03-22,7.8880510330200195,21.375,21.375,21.0,21.0625,215100
2000-03-23,7.934179306030273,21.5,21.5,21.3125,21.3125,512700
2000-03-24,7.8880510330200195,21.375,21.5,21.3125,21.5,58700
2000-03-27,7.86498498916626,21.3125,21.4375,21.1875,21.375,66100
2000-03-28,7.795794486999512,21.125,21.4375,21.0,21.3125,30100
2000-03-29,7.818859100341797,21.1875,21.25,21.0,21.125,42800
