Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,3.518720865249634,8.65625,8.78125,8.4375,8.625,1024800
2000-01-04,3.5568299293518066,8.75,8.875,8.625,8.625,1462200
2000-01-05,3.633044958114624,8.9375,9.09375,8.84375,8.875,2963400
2000-01-06,3.7346675395965576,9.1875,9.25,8.875,9.0,854600
2000-01-07,3.6584529876708984,9.0,9.25,8.9375,9.21875,920000
2000-01-10,3.62034273147583,8.90625,9.09375,8.875,9.0625,855400
2000-01-11,3.429799795150757,8.4375,8.53125,8.125,8.53125,3798000
2000-01-12,3.58223557472229,8.8125,8.8125,8.375,8.40625,1728400
2000-01-13,3.5568299293518066,8.75,8.84375,8.59375,8.71875,874800
2000-01-14,3.5441274642944336,8.71875,8.71875,8.4375,8.6875,1452000
2000-01-18,3.518720865249634,8.65625,8.71875,8.53125,8.65625,1398000
2000-01-19,3.506016492843628,8.625,8.6875,8.5,8.6875,4103000
2000-01-20,3.4933130741119385,8.59375,8.59375,8.53125,8.53125,1091800
2000-01-21,3.5441274642944336,8.71875,8.71875,8.5,8.59375,1649000
2000-01-24,3.4933130741119385,8.59375,8.6875,8.5625,8.59375,1118800
2000-01-25,3.506016492843628,8.625,8.71875,8.46875,8.5625,1140400
2000-01-26,3.7854812145233154,9.3125,9.5625,9.0,9.40625,9202200
2000-01-27,3.7219676971435547,9.15625,9.25,9.03125,9.25,2469200
2000-01-28,3.68385910987854,9.0625,9.15625,8.96875,9.125,1798200
2000-01-31,3.772779941558838,9.28125,9.34375,9.03125,9.0625,1273400
2000-02-01,3.798185110092163,9.34375,9.34375,9.21875,9.21875,968800
2000-02-02,3.8108882904052734,9.375,9.5,9.28125,9.28125,1315400
2000-02-03,3.8617002964019775,9.5,9.625,9.40625,9.4375,1677200
2000-02-04,3.8617002964019775,9.5,9.53125,9.4375,9.5,1912200
2000-02-07,3.874401569366455,9.53125,9.59375,9.46875,9.5,1934600
2000-02-08,3.874401569366455,9.53125,9.5625,9.5,9.5,1772400
2000-02-09,3.8108882904052734,9.375,9.59375,9.375,9.53125,1681200
2000-02-10,3.8108882904052734,9.375,9.5,9.3125,9.4375,2027000
2000-02-11,3.8235902786254883,9.40625,9.4375,9.3125,9.375,1072000
2000-02-14,3.8235902786254883,9.40625,9.5,9.375,9.40625,4459400
2000-02-15,3.8362927436828613,9.4375,9.46875,9.375,9.40625,1369800
2000-02-16,3.848997116088867,9.46875,9.5,9.40625,9.40625,2387200
2000-02-17,3.8108882904052734,9.375,9.53125,9.375,9.46875,2765000
2000-02-18,3.8077123165130615,9.367188453674316,9.46875,9.3125,9.375,2007200
2000-02-22,3.772779941558838,9.28125,9.375,9.25,9.3125,2422600
2000-02-23,3.7346675395965576,9.1875,9.28125,9.1875,9.25,2959000
2000-02-24,3.709266424179077,9.125,9.25,9.0625,9.1875,5127000
2000-02-25,3.8108882904052734,9.375,9.375,9.0625,9.09375,5155800
2000-02-28,3.68385910987854,9.0625,9.34375,8.875,9.34375,5035200
2000-02-29,3.6584529876708984,9.0,9.03125,8.90625,9.0,1706200
2000-03-01,3.6584529876708984,9.0,9.0,8.78125,9.0,1559000
2000-03-02,3.5695338249206543,8.78125,8.9375,8.65625,8.9375,964800
2000-03-03,3.58223557472229,8.8125,8.875,8.75,8.8125,1707800
2000-03-06,3.531423330307007,8.6875,8.84375,8.53125,8.8125,966400
2000-03-07,3.506016492843628,8.625,8.71875,8.5625,8.625,1497400
2000-03-08,3.4552063941955566,8.5,8.65625,8.46875,8.5,1649600
2000-03-09,3.4679064750671387,8.53125,8.625,8.5,8.53125,1510600
2000-03-10,3.5441274642944336,8.71875,8.84375,8.625,8.6875,1982400
2000-03-13,3.506016492843628,8.625,8.75,8.59375,8.625,1119800
2000-03-14,3.4552063941955566,8.5,8.625,8.4375,8.53125,1834400
2000-03-15,3.62034273147583,8.90625,8.90625,8.5,8.5,7568200
2000-03-16,3.800715923309326,9.21875,9.25,8.78125,8.78125,3178800
2000-03-17,3.633228302001953,8.8125,9.15625,8.78125,9.125,2376000
2000-03-20,3.581692934036255,8.6875,8.96875,8.59375,8.90625,1274400
2000-03-21,3.581692934036255,8.6875,8.71875,8.5,8.71875,1008400
2000-03-22,3.5043911933898926,8.5,8.625,8.40625,8.59375,1011800
2000-03-23,3.539821147918701,8.585938453674316,8.6875,8.375,8.375,673000
2000-03-24,3.581692934036255,8.6875,8.71875,8.5,8.59375,1058200
2000-03-27,3.5945773124694824,8.71875,8.84375,8.625,8.6875,1133200
2000-03-28,3.530156373977661,8.5625,8.71875,8.5,8.5625,841200
2000-03-29,3.60745906829834,8.75,8.78125,8.40625,8.4375,1146200
2000-03-30,3.5688095092773438,8.65625,8.8125,8.5,8.8125,763800
2000-03-31,3.4528541564941406,8.375,8.59375,8.34375,8.59375,938800
2000-04-03,3.427086591720581,8.3125,8.46875,8.09375,8.46875,884800
2000-04-04,3.427086591720581,8.3125,8.59375,8.25,8.40625,1332200
2000-04-05,3.5043911933898926,8.5,8.625,8.28125,8.3125,1083000
