Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,56.830265045166016,61.8125,65.4375,60.125,65.0625,1353500
2000-01-04,55.106407165527344,59.9375,61.25,59.5,60.25,1611800
2000-01-05,53.89967727661133,58.625,60.375,56.25,59.875,1855800
2000-01-06,51.25641632080078,55.75,58.4375,55.25,58.0,964700
2000-01-07,52.34822082519531,56.9375,57.125,54.875,55.75,809200
2000-01-10,56.9452018737793,61.9375,63.375,58.25,58.25,1109800
2000-01-11,55.2787971496582,60.125,63.25,59.4375,61.8125,1933400
2000-01-12,56.14072036743164,61.0625,62.375,57.75,58.8125,1405400
2000-01-13,55.853416442871094,60.75,61.6875,59.5,61.125,1474900
2000-01-14,62.5190315246582,68.0,72.25,64.5,64.5,3204300
2000-01-18,64.0705337524414,69.6875,72.375,67.8125,68.3125,1533900
2000-01-19,71.02348327636719,77.25,78.25,74.5,75.875,3629200
2000-01-20,68.32276153564453,74.3125,78.0625,74.0,77.0,3571000
2000-01-21,66.54139709472656,72.375,75.25,71.1875,75.25,2060100
2000-01-24,65.5645523071289,71.3125,74.4375,70.6875,72.375,1412500
2000-01-25,66.25410461425781,72.0625,72.375,67.3125,71.0,1786600
2000-01-26,63.84067916870117,69.4375,71.875,67.0,71.8125,1358600
2000-01-27,63.09366226196289,68.625,71.0,67.875,70.0625,1601800
2000-01-28,57.807132720947266,62.875,68.5625,62.75,68.5,1414700
2000-01-31,59.53101348876953,64.75,65.4375,62.5,64.25,1457700
2000-02-01,64.53023529052734,70.1875,70.625,63.625,64.75,2122700
2000-02-02,66.02426147460938,71.8125,72.75,69.9375,70.1875,1913500
2000-02-03,69.1846694946289,75.25,75.625,71.125,71.5625,1477600
2000-02-04,66.88619232177734,72.75,75.4375,72.625,75.0,1189800
2000-02-07,70.73616027832031,76.9375,77.4375,72.5625,73.0,1175500
2000-02-08,71.2533187866211,77.5,77.625,73.75,76.6875,1391800
2000-02-09,68.95482635498047,75.0,79.5625,74.6875,77.75,1990400
2000-02-10,72.574951171875,78.9375,79.25,75.75,76.0,1321300
2000-02-11,69.29957580566406,75.375,80.0,75.0625,80.0,1251700
2000-02-14,71.0809097290039,77.3125,77.9375,75.0,76.1875,1042400
2000-02-15,72.17273712158203,78.5,78.5,75.875,77.1875,1146900
2000-02-16,73.55181121826172,80.0,80.9375,79.0625,79.5,1135300
2000-02-17,74.12645721435547,80.625,81.3125,77.25,79.25,1112800
2000-02-18,71.2533187866211,77.5,80.5625,76.625,80.5,884200
2000-02-22,76.53987121582031,83.25,84.5,77.0,77.5625,2110400
2000-02-23,74.41374969482422,80.9375,85.125,79.625,84.75,2520300
2000-02-24,79.06820678710938,86.0,86.0,81.75,81.875,1698100
2000-02-25,78.03388977050781,84.875,89.5,84.125,85.0,1878900
2000-02-28,78.09131622314453,84.9375,85.25,79.375,84.75,1858700
2000-02-29,79.98760223388672,87.0,89.0,84.875,85.5,1461200
2000-03-01,82.28609466552734,89.5,89.6875,87.0,87.0,1443000
2000-03-02,77.17192840576172,83.9375,90.9375,83.25,89.6875,2166900
2000-03-03,81.30921936035156,88.4375,89.1875,83.9375,83.9375,1293700
2000-03-06,80.15998840332031,87.1875,90.25,87.0,88.4375,1224500
2000-03-07,79.98760223388672,87.0,89.875,85.875,87.1875,1380500
2000-03-08,75.50554656982422,82.125,87.0,80.6875,87.0,1906100
2000-03-09,76.08013916015625,82.75,84.5,80.625,82.125,2270200
2000-03-10,82.34355163574219,89.5625,90.8125,83.375,83.5,2812800
2000-03-13,81.82640075683594,89.0,89.0,85.8125,87.625,1506600
2000-03-14,74.98838806152344,81.5625,93.4375,81.5625,90.5,1918700
2000-03-15,68.72498321533203,74.75,81.5625,74.75,81.5625,2123500
2000-03-16,69.87425231933594,76.0,78.6875,71.5,78.0,3301100
2000-03-17,76.31001281738281,83.0,86.0,76.5625,76.75,2397900
2000-03-20,77.91893005371094,84.75,86.75,80.1875,80.1875,2033100
2000-03-21,76.31001281738281,83.0,87.625,81.0,87.625,2103400
2000-03-22,82.74578857421875,90.0,90.0,83.25,83.25,1980900
2000-03-23,81.07937622070312,88.1875,90.0,87.375,89.9375,1063400
2000-03-24,84.29730224609375,91.6875,94.75,88.25,89.9375,1557600
2000-03-27,81.94129180908203,89.125,94.9375,88.25,91.4375,1290900
2000-03-28,79.47044372558594,86.4375,91.0,86.375,91.0,1042800
2000-03-29,76.99956512451172,83.75,87.3125,80.25,87.125,1911600
2000-03-30,73.32197570800781,79.75,85.1875,77.125,83.8125,1510900
2000-03-31,75.390625,82.0,82.8125,76.0625,81.25,1766700
2000-04-03,68.15036010742188,74.125,82.0,72.375,82.0,2758700
2000-04-04,74.41374969482422,80.9375,82.375,69.9375,76.0,3298300
2000-04-05,79.98760223388672,87.0,89.125,77.25,79.0,2699600
2000-04-06,88.49201202392578,96.25,96.875,89.5,90.0,3726800
2000-04-07,90.1009750366211,98.0,98.9375,94.375,98.0,2408100
2000-04-10,86.53829956054688,94.125,99.5625,92.5625,98.8125,2269500
2000-04-11,84.7569580078125,92.1875,93.4375,89.5,92.3125,3048500
2000-04-12,77.63163757324219,84.4375,94.5,84.25,92.4375,2065600
2000-04-13,76.65481567382812,83.375,93.0,82.0,84.625,2702900
2000-04-14,69.35706329345703,75.4375,85.375,73.0625,83.5,2948200
2000-04-17,80.21747589111328,87.25,87.375,73.5,73.5,2273500
2000-04-18,84.52713012695312,91.9375,94.0,83.75,87.25,1935000
2000-04-19,84.69951629638672,92.125,102.0,92.0,98.5,5119200
2000-04-20,88.54949951171875,96.3125,99.4375,90.6875,93.125,2861200
2000-04-24,85.0442886352539,92.5,94.75,87.0,94.625,2358700
2000-04-25,95.04273986816406,103.375,107.0,95.0,95.0,2989700
2000-04-26,93.95094299316406,102.1875,107.0,101.0625,103.4375,2680900
2000-04-27,99.23749542236328,107.9375,110.625,100.125,100.625,2375800
2000-04-28,101.13374328613281,110.0,112.0,108.125,109.3125,1739800
2000-05-01,100.50166320800781,109.3125,115.4375,109.0,110.0625,2287800
2000-05-02,99.2949447631836,108.0,114.6875,107.875,108.5,2161500
2000-05-03,92.11216735839844,100.1875,107.5625,97.25,107.5625,2521600
2000-05-04,96.47930908203125,104.9375,105.9375,100.25,101.75,2134900
2000-05-05,99.86958312988281,108.625,109.75,104.5,106.0,2128700
2000-05-08,93.26139831542969,101.4375,109.625,101.1875,108.375,1505100
2000-05-09,86.1934814453125,93.75,103.875,93.5,101.4375,2436300
2000-05-10,77.22940063476562,84.0,90.25,82.375,90.25,3757800
2000-05-11,76.31001281738281,83.0,85.3125,80.25,84.0625,3290400
2000-05-12,80.84953308105469,87.9375,91.9375,84.125,84.4375,2319000
2000-05-15,79.93014526367188,86.9375,89.4375,82.4375,87.6875,2004100
2000-05-16,82.05622100830078,89.25,91.375,86.5625,89.625,2311200
2000-05-17,84.12489318847656,91.5,92.25,87.5625,89.0,2190100
2000-05-18,83.43536376953125,90.75,92.4375,89.625,91.5,2049900
2000-05-19,77.91893005371094,84.75,90.5625,83.125,90.5625,2217500
2000-05-22,77.68910217285156,84.5,84.9375,76.5625,83.9375,2632600
2000-05-23,69.1846694946289,75.25,82.0,74.375,82.0,5671200
2000-05-24,64.81755828857422,70.5,74.5,65.0,74.0,6567300
2000-05-25,68.15036010742188,74.125,78.0625,71.25,71.5,4950200
2000-05-26,66.88619232177734,72.75,76.5,71.0,74.4375,1521800
2000-05-30,77.7465591430664,84.5625,84.8125,75.6875,75.6875,2445500
2000-05-31,79.06820678710938,86.0,88.1875,84.75,85.125,3308400
2000-06-01,83.2629623413086,90.5625,92.0,86.625,86.625,2172000
2000-06-02,91.27896881103516,99.28125,101.0,96.5,98.75,2866000
2000-06-05,88.26219177246094,96.0,102.5,94.625,99.1875,2083200
2000-06-06,84.58457946777344,92.0,98.6875,91.25,96.3125,1820800
2000-06-07,87.2853012084961,94.9375,95.0625,90.625,92.25,1508200
2000-06-08,86.0786361694336,93.625,98.0,91.5625,96.625,1353900
2000-06-09,83.89505004882812,91.25,95.5,90.6875,94.3125,1283100
2000-06-12,80.44729614257812,87.5,93.125,87.0,93.125,1376900
2000-06-13,80.1025390625,87.125,88.6875,83.75,87.75,2008500
2000-06-14,78.03388977050781,84.875,88.875,84.8125,88.0,2611000
2000-06-15,79.98760223388672,87.0,87.5,84.125,85.5,1800300
2000-06-16,74.24138641357422,80.75,87.9375,79.875,87.5,3372100
2000-06-19,76.65481567382812,83.375,83.9375,78.3125,81.5,3853900
2000-06-20,75.27571868896484,81.875,85.4375,80.125,82.5625,2435400
2000-06-21,72.86228942871094,79.25,81.9375,78.875,80.0,2149000
2000-06-22,74.47119903564453,81.0,83.875,79.375,80.0,2832000
2000-06-23,74.47119903564453,81.0,82.4375,79.625,81.25,1541200
2000-06-26,72.86228942871094,79.25,84.3125,76.625,81.125,1966900
2000-06-27,69.87425231933594,76.0,80.6875,73.1875,78.375,3047500
2000-06-28,71.0809097290039,77.3125,79.4375,75.3125,76.25,1963800
2000-06-29,68.95482635498047,75.0,77.6875,73.75,77.0,1803600
2000-06-30,67.57572174072266,73.5,78.75,73.40625,76.5,2474600
2000-07-03,71.31078338623047,77.5625,77.8125,73.5625,74.25,931400
2000-07-05,67.23097229003906,73.125,75.125,71.0,74.25,2305500
2000-07-06,69.58692169189453,75.6875,75.75,72.4375,73.375,2187200
2000-07-07,71.71300506591797,78.0,81.0,76.375,77.5,2111400
2000-07-10,72.86228942871094,79.25,80.8125,77.625,78.25,1359000
2000-07-11,69.81675720214844,75.9375,79.8125,74.8125,79.3125,1760300
2000-07-12,67.11603546142578,73.0,78.0,72.3125,76.375,4130200
2000-07-13,66.42648315429688,72.25,74.5,68.25,73.625,5574900
2000-07-14,69.24213409423828,75.3125,75.5,72.375,72.5625,3423900
2000-07-17,72.6324462890625,79.0,79.0,74.5625,75.5,2637400
2000-07-18,62.5190315246582,68.0,76.375,67.5,76.0625,3903000
2000-07-19,65.04740142822266,70.75,70.75,67.3125,69.0,7057300
2000-07-20,64.81755828857422,70.5,72.875,69.0625,70.0,3983200
