Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,10.243597984313965,16.0625,16.375,16.0,16.375,235200
2000-01-04,10.203743934631348,16.0,16.125,15.9375,16.0,188600
2000-01-05,10.243597984313965,16.0625,16.3125,16.0,16.0,168900
2000-01-06,10.323311805725098,16.1875,16.3125,16.0,16.1875,177700
2000-01-07,10.801623344421387,16.9375,16.9375,16.3125,16.3125,170300
2000-01-10,10.682042121887207,16.75,16.9375,16.6875,16.9375,204000
2000-01-11,10.76175594329834,16.875,16.9375,16.5,16.5,182200
2000-01-12,10.562463760375977,16.5625,16.9375,16.5,16.8125,90500
2000-01-13,10.961044311523438,17.1875,17.375,17.0,17.375,602200
2000-01-14,10.403035163879395,16.3125,17.1875,16.125,17.1875,227500
2000-01-18,10.203743934631348,16.0,16.375,15.9375,16.3125,228600
2000-01-19,10.044306755065918,15.75,16.0625,15.75,16.0,199800
2000-01-20,9.964588165283203,15.625,15.9375,15.625,15.875,215600
2000-01-21,9.845016479492188,15.4375,15.6875,15.375,15.6875,152800
2000-01-24,9.446433067321777,14.8125,15.5,14.8125,15.375,293500
2000-01-25,9.0877103805542,14.25,14.875,13.625,14.875,723800
2000-01-26,8.928271293640137,14.0,14.5625,13.875,14.25,262000
2000-01-27,9.047850608825684,14.1875,14.25,13.8125,14.0,239100
2000-01-28,9.0877103805542,14.25,14.3125,13.875,14.25,251700
2000-01-31,8.728973388671875,13.6875,14.375,13.5625,14.375,506400
2000-02-01,8.84856128692627,13.875,14.0,13.6875,13.6875,348800
2000-02-02,8.649261474609375,13.5625,14.125,13.5,14.0,717300
2000-02-03,8.449972152709961,13.25,13.75,13.125,13.625,486700
2000-02-04,8.290536880493164,13.0,13.25,12.9375,13.125,442700
2000-02-07,8.210822105407715,12.875,13.0,12.5625,13.0,217400
2000-02-08,8.170964241027832,12.8125,12.875,12.5625,12.875,539500
2000-02-09,7.971670150756836,12.5,12.9375,12.4375,12.875,280900
2000-02-10,7.612950801849365,11.9375,12.5625,11.75,12.375,414400
2000-02-11,7.174505233764648,11.25,12.0,11.0,11.9375,826500
2000-02-14,7.015074729919434,11.0,11.4375,10.75,11.25,605600
2000-02-15,6.895492076873779,10.8125,11.125,10.75,11.0,714100
2000-02-16,6.935354709625244,10.875,11.0,10.75,10.9375,423500
2000-02-17,6.855639934539795,10.75,11.0625,10.625,10.9375,518300
2000-02-18,6.815780162811279,10.6875,10.8125,10.5625,10.75,353300
2000-02-22,6.77592134475708,10.625,10.9375,10.5,10.8125,443700
2000-02-23,6.337481498718262,9.9375,10.625,9.8125,10.625,455300
2000-02-24,6.337481498718262,9.9375,10.0625,9.75,10.0,769400
2000-02-25,6.975213050842285,10.9375,11.5625,10.125,10.125,720700
2000-02-28,6.960811138153076,10.875,11.75,10.75,11.625,394900
2000-02-29,6.600769519805908,10.3125,11.25,10.3125,10.875,688900
2000-03-01,6.7607879638671875,10.5625,11.0,10.25,10.4375,377800
2000-03-02,6.680776119232178,10.4375,10.8125,10.3125,10.625,395000
2000-03-03,6.680776119232178,10.4375,10.75,10.1875,10.5625,321000
2000-03-06,6.44074821472168,10.0625,10.625,10.0625,10.4375,361700
2000-03-07,6.320734977722168,9.875,10.3125,9.75,10.0625,443200
2000-03-08,6.400745868682861,10.0,10.1875,9.875,9.9375,665400
2000-03-09,6.480758190155029,10.125,10.625,10.0,10.125,532400
2000-03-10,6.0007004737854,9.375,10.125,9.125,10.0,837900
2000-03-13,6.0007004737854,9.375,9.875,9.3125,9.5,304400
2000-03-14,5.960691928863525,9.3125,9.75,9.25,9.5625,421300
2000-03-15,5.760672092437744,9.0,9.0,8.5,9.0,1607400
2000-03-16,6.480758190155029,10.125,10.5,8.875,9.0,970200
2000-03-17,6.240728378295898,9.75,10.375,9.75,9.875,657400
2000-03-20,6.44074821472168,10.0625,10.5,9.875,10.0,436500
2000-03-21,6.680776119232178,10.4375,10.5,10.0,10.1875,424100
2000-03-22,6.720784664154053,10.5,10.5625,10.375,10.5,578700
2000-03-23,6.960811138153076,10.875,11.0,10.5625,10.75,459900
2000-03-24,6.800793647766113,10.625,10.875,10.4375,10.875,799700
2000-03-27,6.480758190155029,10.125,10.75,10.0,10.625,409200
2000-03-28,6.560763835906982,10.25,10.4375,10.0,10.0,468100
2000-03-29,6.480758190155029,10.125,10.375,9.9375,10.25,339700
2000-03-30,6.840798854827881,10.6875,11.125,10.125,10.125,560900
2000-03-31,7.12082576751709,11.125,11.125,10.3125,10.8125,1130400
2000-04-03,6.560763835906982,10.25,11.1875,10.125,11.125,485300
2000-04-04,6.88080358505249,10.75,10.75,10.375,10.375,291100
2000-04-05,7.12082576751709,11.125,11.125,10.5625,10.875,372700
2000-04-06,6.640773773193359,10.375,11.0,10.25,11.0,469600
2000-04-07,6.480758190155029,10.125,10.375,10.0625,10.125,304900
2000-04-10,6.520759105682373,10.1875,10.5,10.125,10.5,192000
2000-04-11,6.640773773193359,10.375,10.375,10.0625,10.3125,170700
2000-04-12,6.44074821472168,10.0625,10.5625,10.0,10.4375,203800
2000-04-13,6.920803070068359,10.8125,10.875,10.125,10.1875,483400
2000-04-14,6.480758190155029,10.125,10.8125,10.125,10.8125,253600
2000-04-17,6.680776119232178,10.4375,10.5,10.0,10.1875,325100
2000-04-18,6.640773773193359,10.375,10.375,10.125,10.3125,165300
2000-04-19,6.600769519805908,10.3125,10.4375,10.125,10.4375,196800
2000-04-20,6.680776119232178,10.4375,10.5625,10.1875,10.1875,146200
2000-04-24,6.680776119232178,10.4375,10.625,10.25,10.5625,257100
2000-04-25,7.040823936462402,11.0,11.125,10.5,10.5,355300
2000-04-26,7.040823936462402,11.0,11.25,11.0,11.0,459400
2000-04-27,7.040823936462402,11.0,11.375,10.9375,11.0,961900
2000-04-28,6.680776119232178,10.4375,11.0625,10.4375,11.0625,384800
2000-05-01,6.680776119232178,10.4375,10.9375,10.4375,10.5625,194400
2000-05-02,6.640773773193359,10.375,10.6875,10.3125,10.5,138200
2000-05-03,6.560763835906982,10.25,10.75,10.25,10.375,370800
2000-05-04,6.88080358505249,10.75,10.875,10.4375,10.5625,438900
2000-05-05,6.640773773193359,10.375,10.75,10.0,10.75,343800
2000-05-08,6.520759105682373,10.1875,10.4375,10.0,10.4375,172500
2000-05-09,6.520759105682373,10.1875,10.3125,9.8125,10.125,465700
2000-05-10,6.640773773193359,10.375,10.5,9.9375,10.0625,256100
2000-05-11,6.800793647766113,10.625,10.8125,10.3125,10.5,601400
2000-05-12,6.720784664154053,10.5,10.75,10.25,10.625,197500
2000-05-15,6.520759105682373,10.1875,10.625,10.1875,10.5625,287600
2000-05-16,6.720784664154053,10.5,10.5,10.1875,10.3125,159100
2000-05-17,6.680776119232178,10.4375,10.5,10.1875,10.4375,180400
2000-05-18,6.680776119232178,10.4375,10.625,10.25,10.4375,185200
2000-05-19,6.44074821472168,10.0625,10.5625,10.0625,10.4375,270700
2000-05-22,6.480758190155029,10.125,10.3125,10.0,10.1875,321800
2000-05-23,6.44074821472168,10.0625,10.375,9.875,10.125,232100
2000-05-24,6.320734977722168,9.875,10.1875,9.875,10.125,370700
2000-05-25,6.44074821472168,10.0625,10.375,9.875,9.875,455300
2000-05-26,6.320734977722168,9.875,10.1875,9.875,10.125,433800
2000-05-30,6.46694278717041,10.0625,10.0625,9.9375,9.9375,157500
2000-05-31,6.346442222595215,9.875,10.25,9.875,10.0625,250300
2000-06-01,6.507114410400391,10.125,10.1875,9.875,9.875,262700
2000-06-02,6.5472798347473145,10.1875,10.25,10.0625,10.1875,178400
2000-06-05,6.667781829833984,10.375,10.4375,10.0,10.125,306400
2000-06-06,6.5472798347473145,10.1875,10.4375,10.125,10.375,320100
2000-06-07,6.507114410400391,10.125,10.125,9.875,10.0625,246700
2000-06-08,6.426779270172119,10.0,10.125,9.9375,10.125,675200
2000-06-09,6.426779270172119,10.0,10.0,9.875,10.0,180100
2000-06-12,6.3062744140625,9.8125,10.0,9.75,10.0,161800
2000-06-13,6.266109466552734,9.75,9.8125,9.6875,9.75,158300
2000-06-14,6.185771942138672,9.625,9.8125,9.5625,9.8125,117900
2000-06-15,6.346442222595215,9.875,9.9375,9.625,9.625,237200
2000-06-16,6.3062744140625,9.8125,9.875,9.6875,9.75,316600
2000-06-19,6.185771942138672,9.625,9.875,9.625,9.8125,176700
2000-06-20,6.14560604095459,9.5625,9.6875,9.5,9.625,226300
2000-06-21,5.824265480041504,9.0625,9.1875,8.875,9.125,790800
2000-06-22,5.743931293487549,8.9375,9.25,8.9375,9.1875,360900
2000-06-23,5.703766345977783,8.875,9.0,8.75,9.0,253700
2000-06-26,5.743931293487549,8.9375,9.125,8.875,9.0,162800
2000-06-27,5.502930641174316,8.5625,9.0625,8.5625,9.0,260500
2000-06-28,5.743931293487549,8.9375,8.9375,8.625,8.6875,189300
2000-06-29,5.824265480041504,9.0625,9.25,8.875,9.0625,294400
2000-06-30,5.623429298400879,8.75,9.1875,8.5,9.0,531600
2000-07-03,5.703766345977783,8.875,9.0,8.75,8.75,89300
2000-07-05,5.703766345977783,8.875,9.125,8.875,8.875,330400
2000-07-06,5.784100532531738,9.0,9.0625,8.9375,8.9375,207600
2000-07-07,5.703766345977783,8.875,9.3125,8.875,9.125,609700
2000-07-10,5.703766345977783,8.875,9.3125,8.875,8.875,220900
2000-07-11,5.743931293487549,8.9375,9.125,8.875,9.0,546900
2000-07-12,5.743931293487549,8.9375,9.0625,8.9375,8.9375,143400
2000-07-13,5.904605388641357,9.1875,9.25,8.9375,8.9375,361400
2000-07-14,5.86443567276001,9.125,9.3125,9.125,9.25,137300
2000-07-17,5.824265480041504,9.0625,9.25,9.0,9.25,221300
2000-07-18,5.94476842880249,9.25,9.375,9.0,9.0625,224500
2000-07-19,6.025105953216553,9.375,9.4375,9.3125,9.3125,1355800
2000-07-20,6.266109466552734,9.75,9.8125,9.5,9.625,411900
2000-07-21,6.065270900726318,9.4375,9.875,9.375,9.8125,214600
2000-07-24,6.025105953216553,9.375,9.5625,9.375,9.375,222000
2000-07-25,6.025105953216553,9.375,9.5625,9.3125,9.5,225000
2000-07-26,6.065270900726318,9.4375,9.5625,9.3125,9.4375,271400
2000-07-27,6.14560604095459,9.5625,9.5625,9.4375,9.5,327700
2000-07-28,6.105440139770508,9.5,9.625,9.375,9.4375,229600
2000-07-31,6.025105953216553,9.375,9.5625,9.25,9.5,212400
2000-08-01,5.784100532531738,9.0,9.25,8.9375,9.25,355100
2000-08-02,5.743931293487549,8.9375,9.0625,8.875,9.0,506800
2000-08-03,6.065270900726318,9.4375,9.5625,8.875,9.0,287300
2000-08-04,6.025105953216553,9.375,9.875,9.1875,9.3125,328000
2000-08-07,6.14560604095459,9.5625,9.75,9.25,9.25,236300
2000-08-08,5.904605388641357,9.1875,9.5625,9.0625,9.5,435800
2000-08-09,6.105440139770508,9.5,9.5,9.1875,9.25,363200
2000-08-10,6.14560604095459,9.5625,9.5625,9.4375,9.5,394500
2000-08-11,6.065270900726318,9.4375,9.5625,9.375,9.5,188600
2000-08-14,6.025105953216553,9.375,9.5,9.3125,9.5,256400
2000-08-15,6.025105953216553,9.375,9.6875,9.3125,9.375,212900
2000-08-16,6.14560604095459,9.5625,9.5625,9.375,9.4375,117900
2000-08-17,6.14560604095459,9.5625,9.5625,9.4375,9.5625,193800
2000-08-18,6.185771942138672,9.625,9.625,9.4375,9.5,249700
2000-08-21,6.065270900726318,9.4375,9.625,9.375,9.625,212200
2000-08-22,6.065270900726318,9.4375,9.5,9.3125,9.375,141500
2000-08-23,6.105440139770508,9.5,9.5,9.3125,9.3125,82700
2000-08-24,6.14560604095459,9.5625,9.5625,9.4375,9.4375,169500
2000-08-25,6.105440139770508,9.5,9.5,9.4375,9.5,262300
2000-08-28,6.025105953216553,9.375,9.4375,9.3125,9.375,177000
2000-08-29,5.984934329986572,9.3125,9.375,9.25,9.3125,132000
2000-08-30,5.889733791351318,9.125,9.25,9.0,9.125,149800
2000-08-31,5.930077075958252,9.1875,9.375,9.0,9.0625,377400
2000-09-01,6.0107526779174805,9.3125,9.375,9.1875,9.25,165900
2000-09-05,5.930077075958252,9.1875,9.25,9.125,9.1875,177400
2000-09-06,5.970414161682129,9.25,9.3125,9.125,9.125,368200
2000-09-07,6.09143590927124,9.4375,9.4375,9.25,9.3125,144900
2000-09-08,6.09143590927124,9.4375,9.4375,9.3125,9.375,136100
2000-09-11,6.051096439361572,9.375,9.4375,9.125,9.375,154700
2000-09-12,6.0107526779174805,9.3125,9.375,9.1875,9.375,391900
2000-09-13,6.0107526779174805,9.3125,9.5,9.3125,9.4375,272600
2000-09-14,6.09143590927124,9.4375,9.5625,9.25,9.5,294800
2000-09-15,6.051096439361572,9.375,9.4375,9.25,9.25,408200
2000-09-18,5.970414161682129,9.25,9.4375,9.1875,9.3125,290500
2000-09-19,6.131778240203857,9.5,9.5,9.125,9.1875,234800
2000-09-20,6.252800464630127,9.6875,9.6875,9.4375,9.4375,307700
2000-09-21,6.293139934539795,9.75,9.8125,9.5625,9.6875,195300
2000-09-22,6.131778240203857,9.5,9.75,9.4375,9.75,908100
2000-09-25,6.09143590927124,9.4375,9.5625,9.375,9.5,868100
2000-09-26,6.252800464630127,9.6875,9.6875,9.4375,9.4375,627800
2000-09-27,6.212456226348877,9.625,9.75,9.625,9.625,1489900
2000-09-28,6.172117233276367,9.5625,9.6875,9.5,9.6875,600000
2000-09-29,6.454502105712891,10.0,10.0,9.5625,9.625,302400
2000-10-02,6.293139934539795,9.75,10.0625,9.6875,10.0,285100
2000-10-03,6.494840145111084,10.0625,10.1875,9.875,9.875,174500
2000-10-04,6.494840145111084,10.0625,10.0625,10.0,10.0625,64500
2000-10-05,6.7772297859191895,10.5,11.1875,10.0,10.0,437700
2000-10-06,7.059611797332764,10.9375,10.9375,10.5,10.5625,290200
2000-10-09,7.099956512451172,11.0,11.0,10.75,10.875,106700
2000-10-10,7.099956512451172,11.0,11.0,10.5625,11.0,198800
2000-10-11,6.978928089141846,10.8125,11.0,10.6875,10.9375,111000
2000-10-12,7.059611797332764,10.9375,10.9375,10.75,10.75,135300
2000-10-13,6.7368855476379395,10.4375,10.9375,10.4375,10.8125,309100
2000-10-16,6.57552433013916,10.1875,10.5625,10.125,10.375,188700
2000-10-17,6.454502105712891,10.0,10.125,9.875,10.125,189200
2000-10-18,6.454502105712891,10.0,10.125,9.75,9.875,111400
2000-10-19,6.57552433013916,10.1875,10.1875,9.875,10.0,128700
2000-10-20,6.57552433013916,10.1875,10.4375,10.0,10.1875,218900
2000-10-23,6.494840145111084,10.0625,10.1875,10.0,10.125,100100
2000-10-24,6.57552433013916,10.1875,10.1875,10.125,10.125,70800
2000-10-25,6.6965460777282715,10.375,10.4375,10.125,10.125,153900
2000-10-26,6.938591480255127,10.75,10.8125,10.375,10.375,240400
2000-10-27,7.301657199859619,11.3125,11.3125,10.75,10.75,336900
2000-10-30,7.220970630645752,11.1875,11.375,11.0,11.1875,93800
2000-10-31,7.220970630645752,11.1875,11.3125,11.0,11.25,203400
2000-11-01,7.7454071044921875,12.0,12.0625,11.0625,11.0625,406000
2000-11-02,8.350513458251953,12.9375,13.375,12.4375,12.5,475400
2000-11-03,8.592555046081543,13.3125,13.4375,12.9375,12.9375,260400
2000-11-06,8.632895469665527,13.375,13.8125,13.25,13.4375,641300
2000-11-07,8.471537590026855,13.125,13.5625,13.0625,13.5,125000
2000-11-08,8.995964050292969,13.9375,14.125,13.0625,13.125,700500
2000-11-09,9.278349876403809,14.375,14.625,13.75,14.0,984800
2000-11-10,9.19766902923584,14.25,14.4375,13.875,14.25,264800
2000-11-13,8.874943733215332,13.75,14.125,12.25,14.0,450600
2000-11-14,7.987443923950195,12.375,13.5,12.1875,13.5,378400
2000-11-15,8.229491233825684,12.75,12.8125,12.125,12.25,223200
2000-11-16,7.9471049308776855,12.3125,12.75,12.1875,12.75,210700
2000-11-17,7.906765460968018,12.25,12.625,12.0625,12.3125,216600
2000-11-20,7.705066680908203,11.9375,12.3125,11.5,12.25,395000
2000-11-21,8.229491233825684,12.75,12.75,11.625,11.9375,308200
2000-11-22,8.632895469665527,13.375,13.375,12.4375,12.625,238300
2000-11-24,8.229491233825684,12.75,13.125,12.5625,13.125,201000
2000-11-27,8.673238754272461,13.4375,13.5,12.625,12.625,223500
2000-11-28,8.592555046081543,13.3125,13.375,12.8125,13.1875,551400
2000-11-29,8.942146301269531,13.8125,13.9375,13.125,13.3125,159600
2000-11-30,9.063539505004883,14.0,14.0,13.6875,13.75,308900
2000-12-01,9.063539505004883,14.0,14.25,13.8125,13.9375,502000
2000-12-04,8.092442512512207,12.5,13.5,12.1875,13.5,929800
2000-12-05,7.849668502807617,12.125,12.6875,12.0,12.6875,600000
2000-12-06,7.606898784637451,11.75,12.25,11.625,12.125,552000
2000-12-07,7.7687482833862305,12.0,12.125,11.5,11.75,554500
2000-12-08,7.890132427215576,12.1875,12.1875,11.375,12.0,710300
2000-12-11,7.930590629577637,12.25,12.25,11.8125,12.1875,306800
2000-12-12,7.606898784637451,11.75,12.125,11.625,12.125,417000
2000-12-13,7.606898784637451,11.75,11.75,11.125,11.75,348900
2000-12-14,7.323663234710693,11.3125,11.75,11.3125,11.75,486400
2000-12-15,7.283199787139893,11.25,11.5,10.8125,11.125,905900
2000-12-18,7.606898784637451,11.75,11.75,11.3125,11.375,425000
2000-12-19,7.445046424865723,11.5,11.6875,11.375,11.625,346600
2000-12-20,7.445046424865723,11.5,11.875,11.4375,11.5,397100
2000-12-21,8.051980972290039,12.4375,12.4375,11.5625,11.5625,459600
2000-12-22,8.21382999420166,12.6875,13.0,12.25,12.375,525400
2000-12-26,8.132908821105957,12.5625,12.875,12.4375,12.5625,288900
2000-12-27,8.173368453979492,12.625,12.75,12.5625,12.5625,433600
