Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,8.28117561340332,9.3125,9.46875,9.03125,9.03125,535200
2000-01-04,8.114439964294434,9.125,9.265625,9.046875,9.265625,290800
2000-01-05,8.447903633117676,9.5,9.5,9.15625,9.15625,532000
2000-01-06,9.073162078857422,10.203125,10.234375,9.453125,9.46875,1078400
2000-01-07,9.823471069335938,11.046875,11.25,10.25,10.25,1452400
2000-01-10,10.29588508605957,11.578125,11.75,11.15625,11.15625,1233600
2000-01-11,9.892940521240234,11.125,11.546875,11.125,11.546875,1100400
2000-01-12,9.851259231567383,11.078125,11.171875,11.0,11.140625,360400
2000-01-13,10.22641372680664,11.5,11.5,11.0625,11.0625,556800
2000-01-14,10.18472957611084,11.453125,11.671875,11.34375,11.5,858800
2000-01-18,10.170839309692383,11.4375,11.625,11.40625,11.515625,230400
2000-01-19,9.906838417053223,11.140625,11.421875,10.875,11.40625,782800
2000-01-20,10.671043395996094,12.0,12.140625,11.875,12.0,1220800
2000-01-21,10.671043395996094,12.0,12.28125,11.96875,12.015625,1683600
2000-01-24,10.671043395996094,12.0,12.046875,11.9375,11.96875,1110400
2000-01-25,10.545985221862793,11.859375,12.25,11.84375,12.015625,998400
2000-01-26,10.351461410522461,11.640625,11.984375,11.640625,11.859375,775200
2000-01-27,10.22641372680664,11.5,11.875,11.5,11.640625,813200
2000-01-28,10.004095077514648,11.25,11.640625,11.1875,11.5,526800
2000-01-31,9.934627532958984,11.171875,11.390625,11.0625,11.28125,377600
2000-02-01,10.01799201965332,11.265625,11.296875,10.9375,11.203125,574800
2000-02-02,10.22641372680664,11.5,11.59375,11.21875,11.265625,538000
2000-02-03,10.684932708740234,12.015625,12.09375,11.5,11.5,812000
2000-02-04,10.782195091247559,12.125,12.359375,11.984375,11.984375,808800
2000-02-07,10.615462303161621,11.9375,12.125,11.875,12.125,238000
2000-02-08,10.47651481628418,11.78125,12.234375,11.765625,11.9375,426400
2000-02-09,10.22641372680664,11.5,11.984375,11.46875,11.8125,371600
2000-02-10,10.12914752960205,11.390625,11.4375,10.828125,11.4375,766800
2000-02-11,10.059682846069336,11.3125,11.515625,11.25,11.359375,342400
2000-02-14,9.823471069335938,11.046875,11.25,11.015625,11.21875,300800
2000-02-15,10.281994819641113,11.5625,11.75,10.90625,11.0,1029200
2000-02-16,9.587263107299805,10.78125,11.546875,10.78125,11.546875,565600
2000-02-17,9.448317527770996,10.625,10.84375,10.546875,10.84375,774000
2000-02-18,9.087060928344727,10.21875,10.625,10.140625,10.625,958400
2000-02-22,8.962007522583008,10.078125,10.21875,9.8125,10.21875,1105600
