Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,27.041255950927734,39.375,39.875,39.3125,39.4375,247700
2000-01-04,26.955427169799805,39.25,39.625,39.0,39.125,252500
2000-01-05,28.75815773010254,41.875,43.0,39.0625,39.25,394000
2000-01-06,28.801088333129883,41.9375,42.0,40.9375,41.625,320400
2000-01-07,28.886930465698242,42.0625,42.375,41.75,42.125,178300
2000-01-10,30.045846939086914,43.75,44.1875,42.3125,42.3125,311700
2000-01-11,29.402006149291992,42.8125,43.5625,42.5,43.5625,304700
2000-01-12,28.972787857055664,42.1875,43.3125,41.8125,43.0,213200
2000-01-13,29.444915771484375,42.875,43.1875,42.0,42.4375,274800
2000-01-14,29.530778884887695,43.0,43.0625,42.25,42.9375,224000
2000-01-18,30.346302032470703,44.1875,44.4375,42.0625,43.0,224300
2000-01-19,30.30338478088379,44.125,44.5625,42.75,42.75,249600
2000-01-20,29.917068481445312,43.5625,44.375,43.25,44.125,241000
2000-01-21,29.35909080505371,42.75,44.0,42.5625,44.0,233200
2000-01-24,28.972787857055664,42.1875,43.25,42.0,43.0,170600
2000-01-25,28.886930465698242,42.0625,47.75,41.875,44.125,773000
2000-01-26,29.444915771484375,42.875,42.875,42.0,42.125,483000
2000-01-27,29.57369041442871,43.0625,43.625,42.625,42.625,279400
2000-01-28,28.801088333129883,41.9375,43.0,41.625,43.0,215100
2000-01-31,29.05861473083496,42.3125,42.875,41.8125,41.8125,182000
2000-02-01,29.05861473083496,42.3125,42.375,41.9375,42.125,154400
2000-02-02,29.01569366455078,42.25,42.75,42.0625,42.1875,87100
2000-02-03,29.444915771484375,42.875,43.0,41.5,42.625,142400
2000-02-04,29.230316162109375,42.5625,43.5,42.375,42.625,139100
2000-02-07,28.886930465698242,42.0625,42.75,42.0,42.5,115100
2000-02-08,28.929851531982422,42.125,42.3125,42.0,42.0625,195800
2000-02-09,28.75815773010254,41.875,42.25,41.875,42.0625,232400
2000-02-10,28.886930465698242,42.0625,42.75,41.9375,42.0,123500
2000-02-11,28.243093490600586,41.125,42.25,40.9375,42.0625,311600
2000-02-14,28.328941345214844,41.25,41.375,40.5,41.125,178400
2000-02-15,28.886930465698242,42.0625,42.375,41.25,41.3125,182900
2000-02-16,28.886930465698242,42.0625,42.25,42.0,42.1875,160200
2000-02-17,29.14448356628418,42.4375,43.0,42.0,42.0,140400
2000-02-18,28.844003677368164,42.0,42.4375,41.75,42.1875,319200
