Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,5.862672328948975,21.09375,21.25,20.9375,21.21875,305200
2000-01-04,5.819246292114258,20.9375,20.96875,20.75,20.9375,492600
2000-01-05,5.940843105316162,21.375,21.375,20.75,20.75,580400
2000-01-06,6.001642227172852,21.59375,21.71875,21.25,21.25,687600
2000-01-07,6.114551067352295,22.0,22.15625,21.71875,21.75,724400
2000-01-10,6.157982349395752,22.15625,22.25,21.9375,22.0,626600
2000-01-11,6.123237133026123,22.03125,22.25,21.90625,22.1875,530800
2000-01-12,6.09718132019043,21.9375,22.0625,21.875,22.03125,430400
2000-01-13,6.027695178985596,21.6875,21.96875,21.6875,21.9375,453200
2000-01-14,5.923469066619873,21.3125,21.8125,21.3125,21.5625,437000
2000-01-18,5.871358871459961,21.125,21.28125,20.90625,21.25,669600
2000-01-19,5.897413730621338,21.21875,21.25,21.0,21.0,673600
2000-01-20,5.862672328948975,21.09375,21.4375,21.09375,21.125,439600
2000-01-21,5.923469066619873,21.3125,21.3125,21.0625,21.09375,338200
2000-01-24,5.853989124298096,21.0625,21.28125,21.03125,21.25,465600
2000-01-25,5.845302581787109,21.03125,21.1875,21.0,21.03125,708600
2000-01-26,5.853989124298096,21.0625,21.1875,20.625,21.0,875400
2000-01-27,5.871358871459961,21.125,21.125,20.84375,21.0,362000
2000-01-28,5.819246292114258,20.9375,21.15625,20.8125,21.15625,330800
2000-01-31,5.767133712768555,20.75,21.03125,20.75,21.0,419400
2000-02-01,5.836617946624756,21.0,21.0,20.71875,20.75,365800
2000-02-02,5.8279337882995605,20.96875,21.09375,20.875,20.875,374400
2000-02-03,5.793195724487305,20.84375,21.03125,20.75,20.875,992000
2000-02-04,5.801875114440918,20.875,20.96875,20.78125,20.78125,290800
2000-02-07,5.784504413604736,20.8125,20.9375,20.6875,20.6875,254800
2000-02-08,5.819246292114258,20.9375,21.0,20.78125,20.84375,533600
2000-02-09,5.793195724487305,20.84375,21.0,20.8125,20.96875,282800
2000-02-10,5.688963890075684,20.46875,20.84375,20.4375,20.75,554400
2000-02-11,5.628164768218994,20.25,20.6875,20.21875,20.5,921000
