Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,7.813713073730469,8.59375,8.78125,8.34375,8.78125,181400
2000-01-04,7.700060844421387,8.46875,8.5,8.3125,8.5,193400
2000-01-05,7.6716508865356445,8.4375,8.4375,8.25,8.375,304800
2000-01-06,7.359097957611084,8.09375,8.40625,7.9375,8.40625,199000
2000-01-07,7.074963092803955,7.78125,8.09375,7.75,8.09375,231400
2000-01-10,7.160204887390137,7.875,8.0,7.625,7.9375,337000
2000-01-11,6.961310386657715,7.65625,7.8125,7.53125,7.8125,318000
2000-01-12,6.59193229675293,7.25,7.65625,7.1875,7.65625,219600
2000-01-13,6.6487603187561035,7.3125,7.34375,7.25,7.3125,95600
2000-01-14,6.279383659362793,6.90625,7.4375,6.75,7.4375,755000
2000-01-18,6.250970840454102,6.875,6.875,6.6875,6.84375,431800
2000-01-19,6.364625930786133,7.0,7.09375,6.875,6.875,261800
2000-01-20,6.364625930786133,7.0,7.28125,6.9375,7.03125,525800
2000-01-21,6.279383659362793,6.90625,7.0,6.875,6.90625,767600
2000-01-24,6.16572904586792,6.78125,7.0,6.75,6.9375,258200
2000-01-25,5.6542887687683105,6.21875,6.6875,6.0625,6.6875,654000
2000-01-26,5.341737270355225,5.875,6.1875,5.78125,6.1875,521200
2000-01-27,5.256498336791992,5.78125,5.96875,5.78125,5.875,272400
2000-01-28,5.1428422927856445,5.65625,5.8125,5.625,5.78125,98400
2000-01-31,5.057604789733887,5.5625,5.6875,5.53125,5.59375,303400
2000-02-01,5.057604789733887,5.5625,5.65625,5.4375,5.625,290200
2000-02-02,5.1996684074401855,5.71875,5.78125,5.625,5.65625,182600
2000-02-03,5.228086948394775,5.75,5.8125,5.71875,5.71875,196200
2000-02-04,5.256498336791992,5.78125,5.84375,5.75,5.78125,411400
2000-02-07,5.341737270355225,5.875,6.0625,5.75,5.8125,123000
2000-02-08,5.284913539886475,5.8125,6.03125,5.78125,6.03125,170800
2000-02-09,5.398566722869873,5.9375,6.09375,5.75,5.875,276200
2000-02-10,5.739528179168701,6.3125,6.375,5.9375,6.0,130400
2000-02-11,5.857822418212891,6.4375,6.53125,6.09375,6.25,138400
2000-02-14,5.65877103805542,6.21875,6.4375,6.0625,6.4375,194000
2000-02-15,5.260665416717529,5.78125,6.03125,5.78125,6.0,231400
2000-02-16,5.175357341766357,5.6875,5.875,5.5625,5.84375,376800
2000-02-17,5.2322306632995605,5.75,6.0625,5.65625,5.75,296800
2000-02-18,5.118485450744629,5.625,5.78125,5.625,5.75,368000
2000-02-22,5.0900492668151855,5.59375,5.625,5.5625,5.59375,129600
2000-02-23,4.976304531097412,5.46875,5.6875,5.40625,5.65625,168200
2000-02-24,4.7772536277771,5.25,5.46875,5.25,5.4375,247800
2000-02-25,4.3222761154174805,4.75,5.21875,4.5,5.21875,1106800
2000-02-28,4.236968994140625,4.65625,4.84375,4.59375,4.75,655200
2000-02-29,4.3222761154174805,4.75,4.75,4.65625,4.71875,607200
2000-03-01,4.436023235321045,4.875,4.96875,4.8125,4.8125,406200
2000-03-02,4.436023235321045,4.875,4.9375,4.8125,4.9375,307800
2000-03-03,4.379150867462158,4.8125,4.875,4.78125,4.84375,229800
2000-03-06,4.0094780921936035,4.40625,4.75,4.375,4.75,565000
2000-03-07,4.0379157066345215,4.4375,4.4375,4.21875,4.40625,883400
2000-03-08,4.0379157066345215,4.4375,4.53125,4.34375,4.375,538000
2000-03-09,4.208532333374023,4.625,4.625,4.4375,4.4375,1103200
2000-03-10,4.151659965515137,4.5625,4.625,4.5,4.5,397800
2000-03-13,4.236968994140625,4.65625,4.8125,4.5,4.5,237000
2000-03-14,4.521329879760742,4.96875,5.25,4.78125,4.84375,501000
2000-03-15,4.976304531097412,5.46875,5.53125,5.15625,5.1875,450400
2000-03-16,5.2322306632995605,5.75,5.75,5.34375,5.46875,196600
2000-03-17,5.00474214553833,5.5,5.75,5.46875,5.625,112800
2000-03-20,4.862560749053955,5.34375,5.5,5.28125,5.5,97800
2000-03-21,4.7772536277771,5.25,5.40625,5.125,5.40625,162200
2000-03-22,4.7772536277771,5.25,6.0,5.03125,5.15625,682600
2000-03-23,4.635075092315674,5.09375,5.3125,5.09375,5.25,500000
2000-03-24,4.691946983337402,5.15625,5.3125,5.09375,5.125,367200
2000-03-27,4.72038459777832,5.1875,5.25,5.125,5.15625,110000
2000-03-28,4.663506507873535,5.125,5.25,5.125,5.1875,144000
2000-03-29,4.691946983337402,5.15625,5.28125,5.125,5.125,92800
2000-03-30,4.83412504196167,5.3125,5.4375,5.15625,5.21875,150200
2000-03-31,4.83412504196167,5.3125,5.84375,5.28125,5.375,374400
2000-04-03,5.118485450744629,5.625,5.6875,5.28125,5.28125,147800
2000-04-04,4.947866439819336,5.4375,5.5625,5.375,5.5625,195200
2000-04-05,4.976304531097412,5.46875,5.46875,5.375,5.46875,131600
2000-04-06,5.00474214553833,5.5,5.78125,5.5,5.5,84800
2000-04-07,5.1469197273254395,5.65625,5.71875,5.625,5.71875,155400
2000-04-10,4.83412504196167,5.3125,5.59375,5.3125,5.59375,328000
2000-04-11,4.919435977935791,5.40625,5.4375,5.3125,5.3125,235800
2000-04-12,5.203789710998535,5.71875,5.875,5.34375,5.40625,280200
2000-04-13,5.033176422119141,5.53125,5.6875,5.5,5.59375,178800
2000-04-14,5.0900492668151855,5.59375,5.65625,5.40625,5.5,270800
2000-04-17,5.260665416717529,5.78125,5.78125,5.4375,5.53125,128200
2000-04-18,5.573463439941406,6.125,6.125,5.75,5.75,177000
2000-04-19,5.459717273712158,6.0,6.09375,5.875,6.09375,401800
2000-04-20,4.862560749053955,5.34375,6.0,5.3125,6.0,350800
2000-04-24,4.947866439819336,5.4375,5.53125,5.0625,5.3125,314600
2000-04-25,5.260665416717529,5.78125,5.8125,5.5625,5.5625,218600
2000-04-26,5.1469197273254395,5.65625,5.71875,5.5625,5.71875,49200
2000-04-27,4.976304531097412,5.46875,5.46875,5.3125,5.3125,265400
2000-04-28,5.1469197273254395,5.65625,5.65625,5.3125,5.375,265800
2000-05-01,5.4028449058532715,5.9375,5.9375,5.59375,5.59375,74000
2000-05-02,5.317541122436523,5.84375,5.9375,5.8125,5.875,170800
2000-05-03,5.4028449058532715,5.9375,5.9375,5.84375,5.84375,75800
2000-05-04,5.687206268310547,6.25,6.25,5.9375,5.9375,147400
2000-05-05,5.715641021728516,6.28125,6.375,6.25,6.28125,53200
2000-05-08,5.459717273712158,6.0,6.21875,5.875,6.21875,137800
2000-05-09,5.459717273712158,6.0,6.0625,5.625,5.9375,103200
2000-05-10,5.48815393447876,6.03125,6.0625,5.84375,5.9375,173400
2000-05-11,5.5211663246154785,6.0625,6.3125,5.96875,6.0,156600
2000-05-12,5.293489933013916,5.8125,6.09375,5.8125,6.0625,129400
2000-05-15,5.464249134063721,6.0,6.0,5.625,5.8125,217200
2000-05-16,5.435791015625,5.96875,6.1875,5.9375,6.0,56600
2000-05-17,5.00889253616333,5.5,6.0,5.5,5.96875,141400
2000-05-18,5.065813064575195,5.5625,5.65625,5.5,5.5625,122000
2000-05-19,5.122734069824219,5.625,5.625,5.5,5.5,36600
2000-05-22,5.037352561950684,5.53125,5.625,5.46875,5.59375,128200
2000-05-23,4.980433940887451,5.46875,5.59375,5.46875,5.53125,93800
2000-05-24,5.065813064575195,5.5625,5.59375,5.46875,5.46875,111800
2000-05-25,5.00889253616333,5.5,5.5625,5.5,5.5625,73400
2000-05-26,5.094271659851074,5.59375,5.59375,5.5,5.5,142200
2000-05-30,5.094271659851074,5.59375,5.65625,5.53125,5.65625,73200
2000-05-31,5.044466972351074,5.539062976837158,5.625,5.53125,5.53125,95200
2000-06-01,5.129848957061768,5.632812976837158,5.71875,5.632812976837158,5.6875,44600
2000-06-02,5.208108425140381,5.71875,5.75,5.679687976837158,5.75,165200
2000-06-05,5.136964321136475,5.640625,5.71875,5.625,5.6875,524000
2000-06-06,5.122734069824219,5.625,5.6875,5.59375,5.59375,157800
2000-06-07,5.179652214050293,5.6875,5.6875,5.5625,5.5625,56200
2000-06-08,5.122734069824219,5.625,5.6875,5.53125,5.6875,95200
2000-06-09,5.265028953552246,5.78125,5.8125,5.65625,5.65625,117400
2000-06-12,5.236572265625,5.75,5.78125,5.710937976837158,5.75,87600
2000-06-13,5.208108425140381,5.71875,5.78125,5.71875,5.75,103200
2000-06-14,5.00889253616333,5.5,5.78125,5.46875,5.6875,111600
2000-06-15,4.951974391937256,5.4375,5.5625,5.375,5.5,83600
2000-06-16,4.980433940887451,5.46875,5.625,5.4375,5.5,163000
2000-06-19,4.980433940887451,5.46875,5.5,5.375,5.46875,88400
2000-06-20,4.7812180519104,5.25,5.46875,5.25,5.46875,68200
2000-06-21,4.752756118774414,5.21875,5.34375,5.1875,5.25,59400
2000-06-22,4.809675216674805,5.28125,5.28125,5.1875,5.21875,87800
2000-06-23,4.496621131896973,4.9375,5.25,4.875,5.21875,260600
2000-06-26,4.439702987670898,4.875,5.0,4.875,4.96875,95400
2000-06-27,4.439702987670898,4.875,5.03125,4.84375,4.84375,114800
2000-06-28,4.35432243347168,4.78125,4.84375,4.75,4.78125,117400
2000-06-29,4.325863838195801,4.75,4.78125,4.71875,4.75,153400
2000-06-30,4.72429895401001,5.1875,5.1875,4.625,4.71875,380800
2000-07-03,4.610458850860596,5.0625,5.125,5.015625,5.125,41400
2000-07-05,4.496621131896973,4.9375,5.15625,4.9375,5.125,59600
2000-07-06,4.553539752960205,5.0,5.0,4.84375,4.9375,54800
2000-07-07,4.610458850860596,5.0625,5.0625,4.953125,5.0,57000
2000-07-10,4.582000732421875,5.03125,5.03125,5.0,5.0,90600
2000-07-11,4.553539752960205,5.0,5.09375,5.0,5.03125,52600
2000-07-12,4.866596698760986,5.34375,5.34375,5.0,5.0,154200
2000-07-13,4.923516750335693,5.40625,5.4375,5.3125,5.3125,53000
2000-07-14,4.752756118774414,5.21875,5.46875,5.09375,5.46875,165000
2000-07-17,4.752756118774414,5.21875,5.28125,5.1875,5.21875,46200
2000-07-18,4.866596698760986,5.34375,5.34375,5.15625,5.15625,70600
2000-07-19,4.7812180519104,5.25,5.3125,5.15625,5.28125,29000
2000-07-20,4.52508020401001,4.96875,5.03125,4.9375,4.9375,42600
2000-07-21,4.610458850860596,5.0625,5.0625,4.875,4.96875,79600
2000-07-24,4.35432243347168,4.78125,5.09375,4.78125,5.09375,331400
2000-07-25,4.382785797119141,4.8125,4.84375,4.78125,4.8125,247000
2000-07-26,4.411241054534912,4.84375,4.875,4.8125,4.8125,288800
2000-07-27,4.439702987670898,4.875,4.875,4.8125,4.8125,390000
2000-07-28,4.382785797119141,4.8125,4.875,4.8125,4.84375,53400
2000-07-31,4.582000732421875,5.03125,5.0625,4.8125,4.8125,297400
2000-08-01,4.496621131896973,4.9375,5.21875,4.9375,5.0625,593600
2000-08-02,4.553539752960205,5.0,5.0625,4.96875,5.0,448400
2000-08-03,4.610458850860596,5.0625,5.09375,4.9375,4.9375,20400
