Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,3.4176836013793945,15.375,15.75,15.125,15.125,112600
2000-01-04,3.403790235519409,15.3125,15.625,15.1875,15.1875,134800
2000-01-05,3.501042127609253,15.75,15.75,15.375,15.5,93200
2000-01-06,3.6816515922546387,16.5625,16.625,15.875,15.875,164200
2000-01-07,3.7372231483459473,16.8125,16.9375,16.5625,16.625,132500
2000-01-10,3.806687593460083,17.125,17.1875,16.6875,16.9375,179200
2000-01-11,3.7372231483459473,16.8125,17.1875,16.625,17.125,98400
2000-01-12,3.6816515922546387,16.5625,16.9375,16.5,16.875,88400
2000-01-13,3.6955440044403076,16.625,16.625,16.4375,16.5625,80500
2000-01-14,3.6816515922546387,16.5625,16.6875,16.5625,16.6875,86400
2000-01-18,3.5844008922576904,16.125,16.6875,16.125,16.6875,249200
2000-01-19,3.709437370300293,16.6875,16.75,16.0625,16.125,214300
2000-01-20,3.792794704437256,17.0625,17.1875,16.8125,16.8125,118900
2000-01-21,3.8622615337371826,17.375,17.4375,16.9375,16.9375,78200
2000-01-24,3.792794704437256,17.0625,17.5,17.0625,17.5,99900
2000-01-25,3.778902769088745,17.0,17.25,16.9375,17.125,131800
2000-01-26,3.820582151412964,17.1875,17.4375,17.0625,17.125,74800
2000-01-27,3.778902769088745,17.0,17.375,16.9375,17.25,118800
2000-01-28,3.7685482501983643,16.375,16.4375,16.1875,16.4375,69700
2000-01-31,3.711012125015259,16.125,16.5,16.125,16.4375,68700
2000-02-01,3.696626663208008,16.0625,16.375,15.875,16.125,78900
2000-02-02,3.639091968536377,15.8125,16.125,15.75,16.0,98100
2000-02-03,3.5815587043762207,15.5625,15.875,15.5625,15.875,85500
2000-02-04,3.567173480987549,15.5,15.625,15.4375,15.625,129100
2000-02-07,3.5527915954589844,15.4375,15.625,15.375,15.4375,94600
2000-02-08,3.5527915954589844,15.4375,15.625,15.375,15.5625,68000
2000-02-09,3.452103614807129,15.0,15.3125,14.9375,15.125,155800
2000-02-10,3.423337459564209,14.875,15.0,14.75,14.75,91500
2000-02-11,3.423337459564209,14.875,15.0,14.8125,14.875,62900
2000-02-14,3.46648907661438,15.0625,15.0625,14.8125,14.875,114100
2000-02-15,3.48087215423584,15.125,15.1875,15.0,15.0,54600
2000-02-16,3.524021625518799,15.3125,15.5,15.25,15.25,44900
2000-02-17,3.5096397399902344,15.25,15.3125,15.125,15.3125,60400
2000-02-18,3.524021625518799,15.3125,15.4375,15.25,15.25,68300
2000-02-22,3.524021625518799,15.3125,15.75,15.3125,15.5,95600
2000-02-23,3.538405656814575,15.375,15.75,15.125,15.6875,126100
2000-02-24,3.5096397399902344,15.25,15.3125,15.125,15.3125,40500
2000-02-25,3.46648907661438,15.0625,15.3125,15.0,15.25,89200
2000-02-28,3.4952545166015625,15.1875,15.3125,15.125,15.1875,67100
2000-02-29,3.5815587043762207,15.5625,15.5625,15.0,15.0625,131800
2000-03-01,3.5096397399902344,15.25,15.625,15.125,15.625,76100
2000-03-02,3.538405656814575,15.375,15.375,15.0625,15.25,51900
2000-03-03,3.5096397399902344,15.25,15.5,15.125,15.5,43500
2000-03-06,3.4952545166015625,15.1875,15.375,15.0,15.375,70300
2000-03-07,3.4089529514312744,14.8125,15.125,14.8125,15.125,77100
2000-03-08,3.48087215423584,15.125,15.1875,14.875,14.9375,56700
2000-03-09,3.3945677280426025,14.75,15.1875,14.75,15.1875,68900
2000-03-10,3.524021625518799,15.3125,15.375,14.75,14.75,100400
2000-03-13,3.48087215423584,15.125,15.5,15.125,15.4375,78500
2000-03-14,3.452103614807129,15.0,15.1875,14.9375,15.1875,62000
2000-03-15,3.4089529514312744,14.8125,15.0,14.5625,14.9375,192300
2000-03-16,3.43772029876709,14.9375,15.0625,14.875,14.875,102100
2000-03-17,3.452103614807129,15.0,15.1875,14.875,14.9375,99300
2000-03-20,3.538405656814575,15.375,15.375,15.0,15.125,83900
2000-03-21,3.5815587043762207,15.5625,15.625,15.3125,15.5,75200
2000-03-22,3.624708652496338,15.75,15.75,15.375,15.6875,61700
2000-03-23,3.567173480987549,15.5,15.875,15.375,15.6875,66000
2000-03-24,3.423337459564209,14.875,15.5625,14.625,15.5,141500
2000-03-27,3.452103614807129,15.0,15.125,14.875,15.0,65500
2000-03-28,3.423337459564209,14.875,15.25,14.875,15.0,104700
2000-03-29,3.452103614807129,15.0,15.125,14.875,15.0,80100
2000-03-30,3.3658013343811035,14.625,15.0,14.625,15.0,179000
2000-03-31,3.22196364402771,14.0,14.875,13.9375,14.6875,279600
2000-04-03,3.236347198486328,14.0625,14.4375,14.0625,14.125,221000
2000-04-04,3.193194627761841,13.875,14.125,13.8125,14.125,168600
2000-04-05,3.3082661628723145,14.375,14.375,13.875,13.875,192100
2000-04-06,3.3801841735839844,14.6875,14.75,14.3125,14.3125,59300
2000-04-07,3.3514161109924316,14.5625,14.8125,14.5,14.75,90100
2000-04-10,3.3514161109924316,14.5625,14.8125,14.5,14.6875,168100
2000-04-11,3.4089529514312744,14.8125,14.875,14.4375,14.5,92400
2000-04-12,3.610323905944824,15.6875,15.9375,14.9375,15.0,165800
2000-04-13,3.639091968536377,15.8125,16.25,15.6875,15.6875,140100
2000-04-14,3.4952545166015625,15.1875,16.0,15.125,15.8125,109600
2000-04-17,3.5527915954589844,15.4375,15.5,15.125,15.25,89600
2000-04-18,3.610323905944824,15.6875,15.75,15.5,15.5,57900
2000-04-19,3.739779472351074,16.25,16.375,15.6875,15.6875,152000
2000-04-20,3.7973127365112305,16.5,16.5,16.125,16.125,88300
2000-04-24,3.826080799102783,16.625,16.6875,16.375,16.5,135900
2000-04-25,3.826080799102783,16.625,16.6875,16.375,16.625,144000
2000-04-26,3.8404650688171387,16.6875,16.75,16.5,16.5625,160100
2000-04-27,3.811697483062744,16.5625,16.75,16.5,16.625,185500
2000-04-28,3.8021552562713623,15.9375,16.125,15.75,16.125,143900
2000-05-01,3.787245273590088,15.875,15.875,15.6875,15.8125,97000
