Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,6.861767292022705,10.90625,11.5,10.5,11.5,1150000
2000-01-04,6.6454949378967285,10.5625,10.875,10.4375,10.875,819200
2000-01-05,6.684817314147949,10.625,10.625,10.28125,10.53125,1192000
2000-01-06,5.3478569984436035,8.5,8.84375,8.25,8.75,16286000
2000-01-07,5.2593793869018555,8.359375,8.734375,8.09375,8.5625,8594000
2000-01-10,5.436328887939453,8.640625,8.640625,8.3125,8.5,3294000
2000-01-11,5.465821266174316,8.6875,8.765625,8.59375,8.625,2456000
2000-01-12,5.308533191680908,8.4375,8.6875,8.375,8.625,2912000
2000-01-13,5.367514133453369,8.53125,8.75,8.34375,8.625,1522400
2000-01-14,5.387176990509033,8.5625,8.71875,8.5,8.5625,1647600
2000-01-18,5.593619346618652,8.890625,9.25,8.59375,8.6875,2048800
2000-01-19,5.888539791107178,9.359375,9.375,8.984375,9.0625,3440000
2000-01-20,5.7509074211120605,9.140625,9.359375,9.015625,9.34375,2512800
2000-01-21,5.652605056762695,8.984375,9.1875,8.96875,9.15625,1072400
2000-01-24,5.613280773162842,8.921875,9.15625,8.921875,9.046875,1320400
2000-01-25,5.416666507720947,8.609375,8.90625,8.4375,8.890625,1085200
2000-01-26,5.200393199920654,8.265625,8.65625,8.15625,8.640625,1014400
2000-01-27,4.895646095275879,7.78125,8.25,7.6875,8.21875,2920800
2000-01-28,4.954630374908447,7.875,8.015625,7.65625,7.828125,1341200
2000-01-31,4.984122276306152,7.921875,8.0,7.65625,7.875,1486800
2000-02-01,5.092257499694824,8.09375,8.140625,7.9375,7.96875,1652800
2000-02-02,5.220057010650635,8.296875,8.4375,8.140625,8.21875,2069600
2000-02-03,5.082428455352783,8.078125,8.375,8.0,8.296875,1290400
2000-02-04,5.141413688659668,8.171875,8.3125,8.0,8.109375,1772400
2000-02-07,5.0627665519714355,8.046875,8.234375,8.0,8.203125,576000
2000-02-08,5.190565586090088,8.25,8.28125,8.125,8.25,943600
2000-02-09,5.151242256164551,8.1875,8.375,8.125,8.3125,540400
2000-02-10,5.05293607711792,8.03125,8.15625,7.828125,8.15625,890400
2000-02-11,4.758018970489502,7.5625,8.03125,7.53125,8.03125,766000
2000-02-14,4.679373264312744,7.4375,7.71875,7.328125,7.65625,1405600
2000-02-15,4.5810675621032715,7.28125,7.5,7.265625,7.5,686800
2000-02-16,4.0698747634887695,6.46875,7.265625,6.1875,7.25,5622800
2000-02-17,4.718697547912598,7.5,7.5,6.5625,6.6875,6516400
2000-02-18,4.413946628570557,7.015625,7.515625,7.0,7.5,2543600
