Date,adj_close,Close,High,Low,Open,Volume
2000-01-03,5.388215065002441,7.5625,7.71875,7.5625,7.71875,29200
2000-01-04,5.443880558013916,7.640625,7.6875,7.59375,7.6875,555600
2000-01-05,5.421614646911621,7.609375,7.671875,7.5625,7.65625,222400
2000-01-06,5.365948677062988,7.53125,7.65625,7.5,7.625,97600
2000-01-07,5.421614646911621,7.609375,7.65625,7.53125,7.53125,86400
2000-01-10,5.5329413414001465,7.765625,7.796875,7.625,7.625,92400
2000-01-11,5.377081871032715,7.546875,7.75,7.546875,7.734375,46800
2000-01-12,5.4104814529418945,7.59375,7.59375,7.515625,7.515625,116800
2000-01-13,5.499539852142334,7.71875,7.75,7.59375,7.59375,69600
2000-01-14,5.429239749908447,7.578125,7.640625,7.53125,7.640625,149600
2000-01-18,5.451630592346191,7.609375,7.625,7.578125,7.59375,104000
2000-01-19,5.462825298309326,7.625,7.625,7.546875,7.546875,244800
2000-01-20,5.440435886383057,7.59375,7.609375,7.5625,7.59375,93600
2000-01-21,5.462825298309326,7.625,7.640625,7.59375,7.59375,144000
2000-01-24,5.440435886383057,7.59375,7.65625,7.59375,7.609375,114400
2000-01-25,5.6755170822143555,7.921875,7.921875,7.578125,7.578125,307600
2000-01-26,5.664322376251221,7.90625,7.921875,7.890625,7.921875,5200
2000-01-27,5.529989719390869,7.71875,7.890625,7.71875,7.890625,37600
2000-01-28,5.563571929931641,7.765625,7.84375,7.703125,7.703125,294400
2000-01-31,5.541183948516846,7.734375,7.78125,7.65625,7.765625,181200
2000-02-01,5.585961818695068,7.796875,7.796875,7.734375,7.75,233600
2000-02-02,5.4740190505981445,7.640625,7.796875,7.625,7.796875,20400
2000-02-03,5.373270034790039,7.5,7.65625,7.5,7.65625,63200
2000-02-04,5.339689254760742,7.453125,7.46875,7.453125,7.46875,14800
2000-02-07,5.507601737976074,7.6875,7.6875,7.453125,7.453125,97200
2000-02-08,5.630739688873291,7.859375,7.90625,7.71875,7.71875,118400
2000-02-09,5.619545936584473,7.84375,7.875,7.84375,7.859375,12400
2000-02-10,5.6755170822143555,7.921875,7.96875,7.8125,7.828125,216000
2000-02-11,5.552380084991455,7.75,7.875,7.75,7.875,101600
2000-02-14,5.6531267166137695,7.890625,7.890625,7.6875,7.75,350000
2000-02-15,5.082216739654541,7.09375,7.28125,5.75,5.75,1554000
2000-02-16,5.015051364898682,7.0,7.0625,7.0,7.0625,37200
